file,line,pattern,classification,line_text
src/Bounds.cpp,756,route_mask,allowed_legacy_cli_but_not_paper_core,"int route_mask_max_v,"
src/Bounds.cpp,760,route_mask,allowed_legacy_cli_but_not_paper_core,"bool route_mask_support_duration_pruning_enabled,"
src/Bounds.cpp,763,route_mask,allowed_legacy_cli_but_not_paper_core,"bool route_mask_operation_budget_cuts_enabled,"
src/Bounds.cpp,892,route_mask,allowed_legacy_cli_but_not_paper_core,instance.V > route_mask_max_v) {
src/Bounds.cpp,998,route_mask,allowed_legacy_cli_but_not_paper_core,const bool route_mask_relaxation =
src/Bounds.cpp,999,route_mask,allowed_legacy_cli_but_not_paper_core,integer_inventory_relaxation && instance.V <= route_mask_max_v &&
src/Bounds.cpp,1003,route_mask,allowed_legacy_cli_but_not_paper_core,route_mask_relaxation &&
src/Bounds.cpp,1007,route_mask,allowed_legacy_cli_but_not_paper_core,!route_mask_relaxation &&
src/Bounds.cpp,1035,route_mask,allowed_legacy_cli_but_not_paper_core,std::vector<std::vector<int>> allowed_route_masks_by_vehicle(instance.M);
src/Bounds.cpp,1036,route_mask,allowed_legacy_cli_but_not_paper_core,std::vector<std::vector<int>> route_mask_pickup_budget_by_vehicle(instance.M);
src/Bounds.cpp,1037,route_mask,allowed_legacy_cli_but_not_paper_core,if (route_mask_relaxation) {
src/Bounds.cpp,1041,route_mask,allowed_legacy_cli_but_not_paper_core,bound.route_mask_support_duration_pruning =
src/Bounds.cpp,1042,route_mask,allowed_legacy_cli_but_not_paper_core,route_mask_support_duration_pruning_enabled;
src/Bounds.cpp,1054,route_mask,allowed_legacy_cli_but_not_paper_core,++bound.route_mask_count_before_support_duration;
src/Bounds.cpp,1055,route_mask,allowed_legacy_cli_but_not_paper_core,if (route_mask_support_duration_pruning_enabled &&
src/Bounds.cpp,1057,route_mask,allowed_legacy_cli_but_not_paper_core,++bound.route_masks_removed_by_support_duration;
src/Bounds.cpp,1058,route_mask,allowed_legacy_cli_but_not_paper_core,bound.route_mask_support_duration_max_removed_subset_size =
src/Bounds.cpp,1059,route_mask,allowed_legacy_cli_but_not_paper_core,"std::max(bound.route_mask_support_duration_max_removed_subset_size,"
src/Bounds.cpp,1061,route_mask,allowed_legacy_cli_but_not_paper_core,if (bound.route_mask_support_duration_removed_examples.size() < 8) {
src/Bounds.cpp,1070,route_mask,allowed_legacy_cli_but_not_paper_core,bound.route_mask_support_duration_removed_examples.push_back(
src/Bounds.cpp,1075,route_mask,allowed_legacy_cli_but_not_paper_core,allowed_route_masks_by_vehicle[k].push_back(mask);
src/Bounds.cpp,1076,route_mask,allowed_legacy_cli_but_not_paper_core,++bound.route_mask_count_after_support_duration;
src/Bounds.cpp,1078,route_mask,allowed_legacy_cli_but_not_paper_core,if (route_mask_operation_budget_cuts_enabled && cunit > 1e-12) {
src/Bounds.cpp,1088,route_mask,allowed_legacy_cli_but_not_paper_core,if (pickup_budget == 0) ++bound.route_mask_operation_budget_zero_masks;
src/Bounds.cpp,1090,route_mask,allowed_legacy_cli_but_not_paper_core,++bound.route_mask_operation_budget_tightened_masks;
src/Bounds.cpp,1092,route_mask,allowed_legacy_cli_but_not_paper_core,if (bound.route_mask_operation_budget_min <= 0.0) {
src/Bounds.cpp,1093,route_mask,allowed_legacy_cli_but_not_paper_core,bound.route_mask_operation_budget_min = pickup_budget;
src/Bounds.cpp,1095,route_mask,allowed_legacy_cli_but_not_paper_core,bound.route_mask_operation_budget_min =
src/Bounds.cpp,1096,route_mask,allowed_legacy_cli_but_not_paper_core,"std::min(bound.route_mask_operation_budget_min,"
src/Bounds.cpp,1099,route_mask,allowed_legacy_cli_but_not_paper_core,bound.route_mask_operation_budget_max =
src/Bounds.cpp,1100,route_mask,allowed_legacy_cli_but_not_paper_core,"std::max(bound.route_mask_operation_budget_max,"
src/Bounds.cpp,1103,route_mask,allowed_legacy_cli_but_not_paper_core,if (bound.route_mask_operation_budget_examples.size() < 8) {
src/Bounds.cpp,1111,route_mask,allowed_legacy_cli_but_not_paper_core,bound.route_mask_operation_budget_examples.push_back(
src/Bounds.cpp,1119,route_mask,allowed_legacy_cli_but_not_paper_core,route_mask_pickup_budget_by_vehicle[k].push_back(pickup_budget);
src/Bounds.cpp,1122,route_mask,allowed_legacy_cli_but_not_paper_core,if (route_mask_operation_budget_cuts_enabled && cunit <= 1e-12) {
src/Bounds.cpp,1123,route_mask,allowed_legacy_cli_but_not_paper_core,bound.route_mask_operation_budget_examples.push_back(
src/Bounds.cpp,1126,route_mask,allowed_legacy_cli_but_not_paper_core,if (route_mask_operation_budget_cuts_enabled) {
src/Bounds.cpp,1127,route_mask,allowed_legacy_cli_but_not_paper_core,bound.route_mask_operation_budget_cuts_added =
