instance,runtime_budget,status,certified_original_problem,LB,UB,gap,open_leaf_count,closed_leaf_count,certificate_source,paper_core_valid,plain_cplex_used_as_certificate,diagnostic_rows_used,runtime_seconds,crash_or_timeout,logging_complete,comparison_to_previous_result,json_path
high_imbalance_seed3201,300,gcap_frontier_not_closed,False,1.74210803,2.44340319194,0.287015734552,2,4,tailored_bc_assisted_noncertified,true,False,False,310.915548,false,True,fresh_stability_row_no_previous_import,results\gf_tailored_bc_stability_round\raw\frontier_high_imbalance_seed3201_300s.json
high_imbalance_seed3201,30,gcap_frontier_not_closed,False,1.50460803,2.44340319194,0.384216229658,3,1,tailored_bc_assisted_noncertified,true,False,False,50.0749481,false,True,fresh_stability_row_no_previous_import,results\gf_tailored_bc_stability_round\raw\frontier_high_imbalance_seed3201_30s.json
high_imbalance_seed3202,1200,optimal,True,1.74931345205,1.74931345205,0,0,7,relaxation_only,true,False,False,294.4046096,false,True,fresh_stability_row_no_previous_import,results\gf_tailored_bc_stability_round\raw\frontier_high_imbalance_seed3202_1200s.json
high_imbalance_seed3202,300,gcap_frontier_not_closed,False,1.06421478404,1.74931345205,0.391638598107,1,6,tailored_bc_assisted_noncertified,true,False,False,312.9898343,false,True,fresh_stability_row_no_previous_import,results\gf_tailored_bc_stability_round\raw\frontier_high_imbalance_seed3202_300s.json
high_imbalance_seed3202,30,gcap_frontier_not_closed,False,0.82671478404,1.74931345205,0.527406147211,3,1,tailored_bc_assisted_noncertified,true,False,False,39.3004817,false,True,fresh_stability_row_no_previous_import,results\gf_tailored_bc_stability_round\raw\frontier_high_imbalance_seed3202_30s.json
moderate_seed3301,300,gcap_frontier_not_closed,False,0.0122881381662,0.0491525526647,0.75,6,2,tailored_bc_assisted_noncertified,true,False,False,301.1170622,false,True,fresh_stability_row_no_previous_import,results\gf_tailored_bc_stability_round\raw\frontier_moderate_seed3301_300s.json
moderate_seed3301,30,gcap_frontier_not_closed,False,0,0.0491525526647,1,4,0,tailored_bc_assisted_noncertified,true,False,False,30.8175605,false,True,fresh_stability_row_no_previous_import,results\gf_tailored_bc_stability_round\raw\frontier_moderate_seed3301_30s.json
moderate_seed3302,300,gcap_frontier_not_closed,False,0.0305681572733,0.195636206549,0.84375,5,3,tailored_bc_assisted_noncertified,true,False,False,310.0953675,false,True,fresh_stability_row_no_previous_import,results\gf_tailored_bc_stability_round\raw\frontier_moderate_seed3302_300s.json
moderate_seed3302,30,gcap_frontier_not_closed,False,0,0.195636206549,1,4,0,tailored_bc_assisted_noncertified,true,False,False,31.8813976,false,True,fresh_stability_row_no_previous_import,results\gf_tailored_bc_stability_round\raw\frontier_moderate_seed3302_30s.json
tight_T_seed3101,300,optimal,True,0.107252734134,0.107252734134,0,0,4,relaxation_only,true,False,False,76.5972772,false,True,fresh_stability_row_no_previous_import,results\gf_tailored_bc_stability_round\raw\frontier_tight_T_seed3101_300s.json
tight_T_seed3101,30,gcap_frontier_not_closed,False,0,0.107252734134,1,4,0,tailored_bc_assisted_noncertified,true,False,False,31.7088966,false,True,fresh_stability_row_no_previous_import,results\gf_tailored_bc_stability_round\raw\frontier_tight_T_seed3101_30s.json
tight_T_seed3102,1200,wrapper_error_noncertified,False,0,0,1,0,0,,true,False,False,0,true,True,fresh_stability_row_no_previous_import,results\gf_tailored_bc_stability_round\raw\frontier_tight_T_seed3102_1200s.json
tight_T_seed3102,300,wrapper_error_noncertified,False,0.0,0.0,1.0,0,0,,true,False,False,278.2491500377655,true,True,fresh_stability_row_no_previous_import,results\gf_tailored_bc_stability_round\raw\frontier_tight_T_seed3102_300s.json
tight_T_seed3102,30,gcap_frontier_not_closed,False,0.31574776659,0.600704436685,0.474370843117,4,0,tailored_bc_assisted_noncertified,true,False,False,39.8100818,false,True,fresh_stability_row_no_previous_import,results\gf_tailored_bc_stability_round\raw\frontier_tight_T_seed3102_30s.json
v12_m1,1200,optimal,True,0.357200583208,0.357200583208,0,0,9,tailored_bc_certified,true,False,False,1200.040244,false,True,fresh_stability_row_no_previous_import,results\gf_tailored_bc_stability_round\raw\frontier_v12_m1_1200s.json
v12_m1,300,gcap_frontier_not_closed,False,0.34856314104,0.357200583208,0.0241809296353,5,6,tailored_bc_assisted_noncertified,true,False,False,302.8653277,false,True,fresh_stability_row_no_previous_import,results\gf_tailored_bc_stability_round\raw\frontier_v12_m1_300s.json
v12_m1,30,gcap_frontier_not_closed,False,0.133950218703,0.357200583208,0.625,3,2,tailored_bc_assisted_noncertified,true,False,False,39.7263164,false,True,fresh_stability_row_no_previous_import,results\gf_tailored_bc_stability_round\raw\frontier_v12_m1_30s.json
v12_m2,300,optimal,True,0.718504070755,0.718504070755,0,0,12,relaxation_only,true,False,False,290.9689193,false,True,fresh_stability_row_no_previous_import,results\gf_tailored_bc_stability_round\raw\frontier_v12_m2_300s.json
v12_m2,30,gcap_frontier_not_closed,False,0.269439026533,0.718504070755,0.625,3,2,tailored_bc_assisted_noncertified,true,False,False,34.5548394,false,True,fresh_stability_row_no_previous_import,results\gf_tailored_bc_stability_round\raw\frontier_v12_m2_30s.json
