instance,budget_seconds,time_seconds,global_LB,incumbent_UB,nodes,event
high_imbalance_seed3201,300,0.0002011,0,0,0,start
high_imbalance_seed3201,300,30.0084614,2.27929643823,1e+75,1562,heartbeat
high_imbalance_seed3201,300,60.0219618,2.27958889789,1e+75,2789,heartbeat
high_imbalance_seed3201,300,90.0334589,2.27990244341,1e+75,4394,heartbeat
high_imbalance_seed3201,300,120.0401158,2.28025288479,1e+75,5952,heartbeat
high_imbalance_seed3201,300,150.0484073,2.28088679647,1e+75,7605,heartbeat
high_imbalance_seed3201,30,0.0001901,0,0,0,start
high_imbalance_seed3201,30,30.0044448,2.29616235141,1e+75,1426,heartbeat
high_imbalance_seed3201,30,60.0084502,2.29685896604,1e+75,2851,heartbeat
high_imbalance_seed3201,30,90.0157465,2.29716890779,1e+75,4080,heartbeat
high_imbalance_seed3202,1200,0.0002627,0,5.04160189596,0,initial_empty_incumbent
high_imbalance_seed3202,1200,20.0151246,0.638995585916,1.74931345205,0,initial_after_seed
high_imbalance_seed3202,1200,39.2330492,0.82671478404,1.74931345205,0,interval_relaxation_0
high_imbalance_seed3202,1200,59.6766483,1.06421478404,1.74931345205,0,interval_relaxation_1
high_imbalance_seed3202,1200,104.326946,1.06421478404,1.74931345205,0,interval_relaxation_2
high_imbalance_seed3202,1200,120.822042,1.06421478404,1.74931345205,0,interval_relaxation_3
high_imbalance_seed3202,1200,165.3085113,1.06421478404,1.74931345205,0,adaptive_split_child_4
high_imbalance_seed3202,1200,184.1514767,1.06421478404,1.74931345205,0,adaptive_split_child_5
high_imbalance_seed3202,1200,228.6216821,1.06421478404,1.74931345205,0,adaptive_split_child_6
high_imbalance_seed3202,1200,250.6375793,1.06421478404,1.74931345205,0,adaptive_split_child_7
high_imbalance_seed3202,1200,272.2875814,1.74931345205,1.74931345205,0,adaptive_split_child_8
high_imbalance_seed3202,1200,294.4045051,1.74931345205,1.74931345205,0,adaptive_split_child_9
high_imbalance_seed3202,1200,294.404568,1.74931345205,1.74931345205,0,route_pool_before_final_summary
high_imbalance_seed3202,1200,294.4046147,1.74931345205,1.74931345205,0,final_summary
high_imbalance_seed3202,300,0.000271,0,0,0,start
high_imbalance_seed3202,300,30.0143588,1.60252383227,1e+75,1299,heartbeat
high_imbalance_seed3202,300,60.0258527,1.60279940997,1e+75,2738,heartbeat
high_imbalance_seed3202,300,90.0400016,1.60293824516,1e+75,4818,heartbeat
high_imbalance_seed3202,300,120.0464491,1.60302507565,1e+75,6751,heartbeat
high_imbalance_seed3202,300,150.0508705,1.60307676644,1e+75,8561,heartbeat
high_imbalance_seed3202,30,0.0002024,0,0,0,start
high_imbalance_seed3202,30,30.010054,1.69653262182,1e+75,2351,heartbeat
high_imbalance_seed3202,30,60.0113011,1.7074208456,1e+75,5126,heartbeat
high_imbalance_seed3202,30,90.0253692,1.71101336985,1e+75,8010,heartbeat
moderate_seed3301,300,0.0002076,0,0,0,start
moderate_seed3301,300,30.0045336,0.0487305667279,1e+75,1177,heartbeat
moderate_seed3301,300,60.0076623,0.0489209015481,1e+75,2208,heartbeat
moderate_seed3301,300,90.021543,0.0489209015481,1e+75,3267,heartbeat
moderate_seed3301,300,120.0368275,0.0489209015481,1e+75,4129,heartbeat
moderate_seed3301,300,150.0381007,0.0489209015481,1e+75,4840,heartbeat
moderate_seed3301,30,0.0002004,0,0,0,start
moderate_seed3301,30,30.0062649,0.0442989040588,1e+75,1520,heartbeat
moderate_seed3301,30,60.0116944,0.0454021888257,1e+75,2686,heartbeat
moderate_seed3302,300,0.0001878,0,0,0,start
moderate_seed3302,300,30.0004998,0.139524717471,1e+75,993,heartbeat
moderate_seed3302,300,60.012383,0.14133281772,1e+75,2208,heartbeat
moderate_seed3302,300,90.0208526,0.141678782547,1e+75,3288,heartbeat
moderate_seed3302,300,120.0267968,0.141967180862,1e+75,4272,heartbeat
moderate_seed3302,300,150.0344889,0.142338353683,1e+75,5348,heartbeat
moderate_seed3302,30,0.0001846,0,0,0,start
moderate_seed3302,30,30.0070305,0.123591743447,1e+75,509,heartbeat
moderate_seed3302,30,60.0136811,0.12487175208,1e+75,1044,heartbeat
moderate_seed3302,30,90.0256546,0.125421364794,1e+75,1561,heartbeat
tight_T_seed3101,300,0.0002953,0,3.08221203056,0,initial_empty_incumbent
tight_T_seed3101,300,20.0130025,0,0.107252734134,0,initial_after_seed
tight_T_seed3101,300,31.8841722,0.0268131835335,0.107252734134,0,interval_relaxation_0
tight_T_seed3101,300,47.1881854,0.053626367067,0.107252734134,0,interval_relaxation_1
tight_T_seed3101,300,62.0182627,0.0804395506005,0.107252734134,0,interval_relaxation_2
tight_T_seed3101,300,76.597113,0.107252734134,0.107252734134,0,interval_relaxation_3
tight_T_seed3101,300,76.5972129,0.107252734134,0.107252734134,0,route_pool_before_final_summary
tight_T_seed3101,300,76.5972854,0.107252734134,0.107252734134,0,final_summary
tight_T_seed3101,30,0.000202,0,0,0,start
tight_T_seed3101,30,30.0108005,0.0179404621097,1e+75,1280,heartbeat
tight_T_seed3101,30,60.0162917,0.0193100361576,1e+75,3010,heartbeat
tight_T_seed3101,30,90.0239836,0.0198021747403,1e+75,4445,heartbeat
tight_T_seed3102,1200,0.0002617,0,4.01813657439,0,initial_empty_incumbent
tight_T_seed3102,1200,20.0106237,0.31574776659,0.600704436685,0,initial_after_seed
tight_T_seed3102,1200,67.5309918,0.31574776659,0.600704436685,0,interval_relaxation_0
tight_T_seed3102,1200,112.4876432,0.31574776659,0.600704436685,0,interval_relaxation_1
tight_T_seed3102,1200,112.4879408,0.31574776659,0.600704436685,0,interval_relaxation_3
tight_T_seed3102,1200,128.5449467,0.31574776659,0.600704436685,0,interval_relaxation_2
tight_T_seed3102,1200,147.4388984,0.450176109171,0.600704436685,0,adaptive_split_child_4
tight_T_seed3102,300,0.0002471,0,4.01813657439,0,initial_empty_incumbent
tight_T_seed3102,300,20.0143203,0.31574776659,0.600704436685,0,initial_after_seed
tight_T_seed3102,300,67.6213739,0.31574776659,0.600704436685,0,interval_relaxation_0
tight_T_seed3102,300,112.5108424,0.31574776659,0.600704436685,0,interval_relaxation_1
tight_T_seed3102,300,112.511138,0.31574776659,0.600704436685,0,interval_relaxation_3
tight_T_seed3102,300,128.5899251,0.31574776659,0.600704436685,0,interval_relaxation_2
tight_T_seed3102,300,147.4131677,0.450176109171,0.600704436685,0,adaptive_split_child_4
tight_T_seed3102,300,193.4705259,0.31574776659,0.600704436685,0,adaptive_split_child_5
tight_T_seed3102,300,213.0448819,0.450176109171,0.600704436685,0,adaptive_split_child_6
tight_T_seed3102,300,258.5150198,0.31574776659,0.600704436685,0,adaptive_split_child_7
tight_T_seed3102,300,277.9265232,0.450176109171,0.600704436685,0,adaptive_split_child_8
tight_T_seed3102,30,0.0001849,0,0,0,start
tight_T_seed3102,30,30.0005961,0.483855076382,1e+75,914,heartbeat
tight_T_seed3102,30,60.0157753,0.486137705518,1e+75,2126,heartbeat
tight_T_seed3102,30,90.0213088,0.487343631228,1e+75,2939,heartbeat
v12_m1,1200,0.0001674,0,0,0,start
v12_m1,1200,30.0054484,0.351536456553,1e+75,16259,heartbeat
v12_m1,1200,60.0149099,0.357165302499,0.357200583208,22066,final
v12_m1,300,0.0001756,0,0,0,start
v12_m1,30,0.0002073,0,0,0,start
v12_m1,30,30.0048164,0.347181198218,1e+75,18741,heartbeat
v12_m1,30,60.0134053,0.351634887763,1e+75,38049,heartbeat
v12_m1,30,90.0152915,0.354316593836,1e+75,56457,heartbeat
v12_m2,300,0.0002431,0,1.00822320985,0,initial_empty_incumbent
v12_m2,300,14.3092105,0.0655870045173,0.718504070755,0,initial_after_seed
v12_m2,300,24.4835173,0.210697292355,0.718504070755,0,interval_relaxation_0
v12_m2,300,34.6381842,0.390323310044,0.718504070755,0,interval_relaxation_1
v12_m2,300,56.6542604,0.569949327733,0.718504070755,0,interval_relaxation_2
v12_m2,300,60.3936153,0.576842045533,0.718504070755,0,interval_relaxation_3
v12_m2,300,70.9357102,0.718504070755,0.718504070755,0,adaptive_split_child_4
v12_m2,300,88.6413621,0.666655054378,0.718504070755,0,adaptive_split_child_5
v12_m2,300,112.5899351,0.67050492418,0.718504070755,0,adaptive_split_child_6
v12_m2,300,126.5745832,0.67050492418,0.718504070755,0,adaptive_split_child_7
v12_m2,300,150.5172761,0.69879292929,0.718504070755,0,adaptive_split_child_8
v12_m2,300,172.7984344,0.69879292929,0.718504070755,0,adaptive_split_child_9
v12_m2,300,182.4239112,0.7115615588,0.718504070755,0,adaptive_split_child_10
v12_m2,300,204.7303391,0.7115615588,0.718504070755,0,adaptive_split_child_11
v12_m2,300,226.1005127,0.713246427853,0.718504070755,0,adaptive_split_child_12
v12_m2,300,230.8376053,0.713246427853,0.718504070755,0,adaptive_split_child_13
v12_m2,300,239.9837876,0.71668487967,0.718504070755,0,adaptive_split_child_14
v12_m2,300,251.1602556,0.71668487967,0.718504070755,0,adaptive_split_child_15
v12_m2,300,271.498259,0.7169935912,0.718504070755,0,adaptive_split_child_16
v12_m2,300,277.1171953,0.7169935912,0.718504070755,0,adaptive_split_child_17
v12_m2,300,284.7044393,0.718504070755,0.718504070755,0,adaptive_split_child_18
v12_m2,300,290.9687251,0.718504070755,0.718504070755,0,adaptive_split_child_19
v12_m2,300,290.9688181,0.718504070755,0.718504070755,0,route_pool_before_final_summary
v12_m2,300,290.9689263,0.718504070755,0.718504070755,0,final_summary
v12_m2,30,0.0001885,0,0,0,start
v12_m2,30,30.0104582,0.64730322722,1e+75,6555,heartbeat
v12_m2,30,60.0204904,0.651684506275,1e+75,12640,heartbeat
v12_m2,30,90.0269859,0.654400699683,1e+75,19159,heartbeat
