instance,budget_seconds,open_leaf_count,status,lower_bound,upper_bound,dominant_open_leaf_note
high_imbalance_seed3201,300,2,gcap_frontier_not_closed,1.74210803,2.44340319194,see interval CSV sidecars if emitted
high_imbalance_seed3201,30,3,gcap_frontier_not_closed,1.50460803,2.44340319194,see interval CSV sidecars if emitted
high_imbalance_seed3202,1200,0,optimal,1.74931345205,1.74931345205,see interval CSV sidecars if emitted
high_imbalance_seed3202,300,1,gcap_frontier_not_closed,1.06421478404,1.74931345205,see interval CSV sidecars if emitted
high_imbalance_seed3202,30,3,gcap_frontier_not_closed,0.82671478404,1.74931345205,see interval CSV sidecars if emitted
moderate_seed3301,300,6,gcap_frontier_not_closed,0.0122881381662,0.0491525526647,see interval CSV sidecars if emitted
moderate_seed3301,30,4,gcap_frontier_not_closed,0,0.0491525526647,see interval CSV sidecars if emitted
moderate_seed3302,300,5,gcap_frontier_not_closed,0.0305681572733,0.195636206549,see interval CSV sidecars if emitted
moderate_seed3302,30,4,gcap_frontier_not_closed,0,0.195636206549,see interval CSV sidecars if emitted
tight_T_seed3101,300,0,optimal,0.107252734134,0.107252734134,see interval CSV sidecars if emitted
tight_T_seed3101,30,4,gcap_frontier_not_closed,0,0.107252734134,see interval CSV sidecars if emitted
tight_T_seed3102,1200,0,wrapper_error_noncertified,0,0,see interval CSV sidecars if emitted
tight_T_seed3102,300,0,wrapper_error_noncertified,0.0,0.0,see interval CSV sidecars if emitted
tight_T_seed3102,30,4,gcap_frontier_not_closed,0.31574776659,0.600704436685,see interval CSV sidecars if emitted
v12_m1,1200,0,optimal,0.357200583208,0.357200583208,see interval CSV sidecars if emitted
v12_m1,300,5,gcap_frontier_not_closed,0.34856314104,0.357200583208,see interval CSV sidecars if emitted
v12_m1,30,3,gcap_frontier_not_closed,0.133950218703,0.357200583208,see interval CSV sidecars if emitted
v12_m2,300,0,optimal,0.718504070755,0.718504070755,see interval CSV sidecars if emitted
v12_m2,30,3,gcap_frontier_not_closed,0.269439026533,0.718504070755,see interval CSV sidecars if emitted
