snapshot_source,limitation_category,vector_api_called,vector_api_return_code,nonzero_values_count,sample_count,paper_certificate_role
smoke_root_or_first_relaxation_callback,callback_vector_export_working,True,0,40,32,diagnostic_only
dominant_k4_first_relaxation_callback,callback_vector_export_working,True,0,560,64,diagnostic_only
