path,method,status,claimed,working,api_return_code,nonzero_values_count,sample_variable_names,sample_variable_values,paper_certificate_role,audit_passed,failure_reason
results\gf_tailored_bc_stability_round\callback_vector_smoke.json,tailored-bc-relaxation-vector-smoke-test,callback_vector_export_working,True,True,0,40,bit_2;bit_3;bit_7;bit_10;bit_12;bit_13;bit_14;bit_15;bit_18;bit_21;bit_22;bit_23;bit_25;bit_26;bit_27;bit_30;bit_31;bit_32;bit_34;bit_36;bit_37;bit_41;bit_42;bit_43;bit_46;bit_47;bit_48;bit_49;bit_51;bit_53;bit_54;bit_56,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.82882882882882858;0.75448619351058366;0.85812641910202925;1;0.95949608144730081;1;1;1;1;0.34234234234234223;1;0.44371200468761424;0.11264923460045419,diagnostic_only,True,none
results\gf_tailored_bc_stability_round\raw\callback_vector_smoke.json,tailored-bc-relaxation-vector-smoke-test,callback_vector_export_working,True,True,0,40,bit_2;bit_3;bit_7;bit_10;bit_12;bit_13;bit_14;bit_15;bit_18;bit_21;bit_22;bit_23;bit_25;bit_26;bit_27;bit_30;bit_31;bit_32;bit_34;bit_36;bit_37;bit_41;bit_42;bit_43;bit_46;bit_47;bit_48;bit_49;bit_51;bit_53;bit_54;bit_56,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.82882882882882858;0.75448619351058366;0.85812641910202925;1;0.95949608144730081;1;1;1;1;0.34234234234234223;1;0.44371200468761424;0.11264923460045419,diagnostic_only,True,none
results\gf_tailored_bc_stability_round\raw\dominant_k4_low_gini_1_static_tailored_compact_bc_14400s_vector_probe.json,interval-cutoff-oracle,callback_vector_export_working,True,True,0,560,G;e_1;e_5;e_6;e_7;e_8;e_11;e_12;e_13;e_14;e_15;e_16;e_17;e_18;e_19;e_20;x_0_19_1;z_0_1;x_0_1_19;x_0_17_2;x_0_8_2;z_0_2;x_0_2_14;x_0_2_17;x_0_2_8;x_0_14_8;z_0_8;x_0_8_14;x_0_18_12;z_0_12;x_0_12_18;z_0_14,0.016764828795065082;0.081939002299757036;0.081939002299757036;0.081939002299757036;0.11542689764444791;0.081939002299757036;0.081939002299757036;0.11542689764444791;0.081939002299757036;0.081939002299757036;0.081939002299757036;0.081939002299757036;0.081939002299757036;0.081939002299757036;0.081939002299757036;0.11542689764444791;0.39495061646511542;0.39495061646511542;0.39495061646511542;0.20326035149477759;0.79673964850522239;1;0.43168881708835316;0.20326035149477764;0.36505083141686934;0.63494916858313089;1;0.20326035149477759;0.24500365842287988;0.24500365842287988;0.24500365842287988;0.63494916858313089,diagnostic_only,True,none
results\gf_tailored_bc_stability_round\raw\regression_moderate_seed3302_hard_best_combined_paper_safe_300s.json,interval-cutoff-oracle,callback_vector_export_working,True,True,0,576,G;e_1;e_2;e_3;e_4;e_6;e_7;e_8;e_9;e_10;e_12;e_13;e_15;e_18;e_20;x_0_12_3;z_0_3;x_0_3_12;x_0_16_4;z_0_4;x_0_4_16;x_0_8_5;z_0_5;x_0_5_8;x_0_19_7;z_0_7;x_0_7_19;z_0_8;x_0_19_10;z_0_10;x_0_10_19;x_0_14_11,0.059953031039259419;0.30303030303099998;0.17291720668610011;0.17291720668610011;0.026131475649502436;0.17291720668610011;0.17291720668610011;0.17291720668610011;0.17291720668610011;0.68113059814356824;0.17291720668610011;0.17291720668610011;0.17291720668610011;0.17291720668610011;0.17291720668610011;0.047127999203246028;0.047127999203246028;0.047127999203246028;0.78036150668697446;0.78036150668697446;0.78036150668697446;0.29966730740839281;0.29966730740839281;0.29966730740839281;0.24353219927881675;0.24353219927881675;0.24353219927881675;0.29966730740839281;0.22070200786757216;0.22070200786757216;0.22070200786757216;0.55442827292122376,paper_core,True,none
results\gf_tailored_bc_stability_round\raw\regression_moderate_seed3302_hard_best_combined_paper_safe_30s.json,interval-cutoff-oracle,callback_vector_export_working,True,True,0,576,G;e_1;e_2;e_3;e_4;e_6;e_7;e_8;e_9;e_10;e_12;e_13;e_15;e_18;e_20;x_0_12_3;z_0_3;x_0_3_12;x_0_16_4;z_0_4;x_0_4_16;x_0_8_5;z_0_5;x_0_5_8;x_0_19_7;z_0_7;x_0_7_19;z_0_8;x_0_19_10;z_0_10;x_0_10_19;x_0_14_11,0.059953031039259419;0.30303030303099998;0.17291720668610011;0.17291720668610011;0.026131475649502436;0.17291720668610011;0.17291720668610011;0.17291720668610011;0.17291720668610011;0.68113059814356824;0.17291720668610011;0.17291720668610011;0.17291720668610011;0.17291720668610011;0.17291720668610011;0.047127999203246028;0.047127999203246028;0.047127999203246028;0.78036150668697446;0.78036150668697446;0.78036150668697446;0.29966730740839281;0.29966730740839281;0.29966730740839281;0.24353219927881675;0.24353219927881675;0.24353219927881675;0.29966730740839281;0.22070200786757216;0.22070200786757216;0.22070200786757216;0.55442827292122376,paper_core,True,none
results\gf_tailored_bc_stability_round\raw\regression_moderate_seed3302_hard_callback_cheap_cuts_300s.json,interval-cutoff-oracle,callback_vector_export_working,True,True,0,570,G;e_1;e_2;e_3;e_4;e_6;e_7;e_8;e_9;e_10;e_12;e_13;e_15;e_18;e_20;x_0_20_2;z_0_2;x_0_2_20;x_0_16_4;z_0_4;x_0_4_16;x_0_8_5;z_0_5;x_0_5_8;x_0_19_7;z_0_7;x_0_7_19;z_0_8;x_0_19_10;z_0_10;x_0_10_19;x_0_18_15,0.059953031039259426;0.30303030303099998;0.17331195849841652;0.17331195849841663;0.024380932240242292;0.17331195849841663;0.17331195849841674;0.17331195849841674;0.17331195849841652;0.67935201612505836;0.17331195849841663;0.17331195849841674;0.17331195849841663;0.17331195849841674;0.17331195849841663;0.091099577736498905;0.091099577736498905;0.091099577736498905;0.77998639024213301;0.77998639024213301;0.77998639024213301;0.29913157280596386;0.29913157280596386;0.29913157280596386;0.043379416515070657;0.043379416515070657;0.043379416515070657;0.29913157280596386;0.48544837749295017;0.48544837749295017;0.48544837749295017;0.25598076264917013,paper_core,True,none
results\gf_tailored_bc_stability_round\raw\regression_moderate_seed3302_hard_callback_cheap_cuts_30s.json,interval-cutoff-oracle,callback_vector_export_working,True,True,0,570,G;e_1;e_2;e_3;e_4;e_6;e_7;e_8;e_9;e_10;e_12;e_13;e_15;e_18;e_20;x_0_20_2;z_0_2;x_0_2_20;x_0_16_4;z_0_4;x_0_4_16;x_0_8_5;z_0_5;x_0_5_8;x_0_19_7;z_0_7;x_0_7_19;z_0_8;x_0_19_10;z_0_10;x_0_10_19;x_0_18_15,0.059953031039259426;0.30303030303099998;0.17331195849841652;0.17331195849841663;0.024380932240242292;0.17331195849841663;0.17331195849841674;0.17331195849841674;0.17331195849841652;0.67935201612505836;0.17331195849841663;0.17331195849841674;0.17331195849841663;0.17331195849841674;0.17331195849841663;0.091099577736498905;0.091099577736498905;0.091099577736498905;0.77998639024213301;0.77998639024213301;0.77998639024213301;0.29913157280596386;0.29913157280596386;0.29913157280596386;0.043379416515070657;0.043379416515070657;0.043379416515070657;0.29913157280596386;0.48544837749295017;0.48544837749295017;0.48544837749295017;0.25598076264917013,paper_core,True,none
results\gf_tailored_bc_stability_round\raw\regression_moderate_seed3302_hard_callback_full_paced_300s.json,interval-cutoff-oracle,callback_vector_export_working,True,True,0,590,G;e_1;e_2;e_3;e_4;e_6;e_7;e_8;e_9;e_10;e_12;e_13;e_15;e_18;e_20;x_0_20_2;z_0_2;x_0_2_20;x_0_12_3;z_0_3;x_0_3_12;x_0_16_4;z_0_4;x_0_4_16;x_0_17_5;x_0_8_5;z_0_5;x_0_5_17;x_0_5_8;z_0_8;x_0_19_10;z_0_10,0.059953031039259419;0.30303030303099998;0.17291720668610022;0.17291720668610022;0.026131475649500358;0.17291720668610022;0.17291720668610022;0.17291720668610022;0.17291720668610022;0.6811305981435658;0.17291720668610022;0.17291720668610022;0.17291720668610022;0.17291720668610022;0.17291720668610022;0.30312221307464343;0.30312221307464343;0.30312221307464343;0.07772094903725979;0.07772094903725979;0.07772094903725979;0.17119957488252224;0.17119957488252224;0.17119957488252224;0.16187115412952985;0.2996673074083932;0.46153846153792305;0.16187115412952985;0.2996673074083932;0.2996673074083932;0.091707995998248193;0.091707995998248193,paper_core,True,none
results\gf_tailored_bc_stability_round\raw\regression_moderate_seed3302_hard_callback_full_paced_30s.json,interval-cutoff-oracle,callback_vector_export_working,True,True,0,590,G;e_1;e_2;e_3;e_4;e_6;e_7;e_8;e_9;e_10;e_12;e_13;e_15;e_18;e_20;x_0_20_2;z_0_2;x_0_2_20;x_0_12_3;z_0_3;x_0_3_12;x_0_16_4;z_0_4;x_0_4_16;x_0_17_5;x_0_8_5;z_0_5;x_0_5_17;x_0_5_8;z_0_8;x_0_19_10;z_0_10,0.059953031039259419;0.30303030303099998;0.17291720668610022;0.17291720668610022;0.026131475649500358;0.17291720668610022;0.17291720668610022;0.17291720668610022;0.17291720668610022;0.6811305981435658;0.17291720668610022;0.17291720668610022;0.17291720668610022;0.17291720668610022;0.17291720668610022;0.30312221307464343;0.30312221307464343;0.30312221307464343;0.07772094903725979;0.07772094903725979;0.07772094903725979;0.17119957488252224;0.17119957488252224;0.17119957488252224;0.16187115412952985;0.2996673074083932;0.46153846153792305;0.16187115412952985;0.2996673074083932;0.2996673074083932;0.091707995998248193;0.091707995998248193,paper_core,True,none
results\gf_tailored_bc_stability_round\raw\regression_moderate_seed3302_hard_callback_no_cuts_300s.json,interval-cutoff-oracle,callback_vector_export_working,True,True,0,502,G;e_1;e_2;e_3;e_6;e_7;e_8;e_9;e_10;e_12;e_13;e_15;e_18;e_20;x_0_12_3;z_0_3;x_0_3_12;x_0_8_5;z_0_5;x_0_5_8;x_0_9_6;z_0_6;x_0_6_9;z_0_8;z_0_9;x_0_19_10;z_0_10;x_0_10_19;x_0_18_12;z_0_12;x_0_12_18;x_0_18_15,0.048909051637299999;0.30303030303099998;0.11498374085062268;0.11498374085062257;0.11498374085062257;0.11498374085062257;0.23854405086305719;0.1149837408506228;0.81949185682887427;0.23854405086305719;0.11498374085062257;0.1149837408506228;0.11498374085062257;0.23854405086305719;0.090283438955256423;0.090283438955256423;0.090283438955256423;0.2096661476561763;0.2096661476561763;0.2096661476561763;0.37881430805223076;0.37881430805223076;0.37881430805223076;0.2096661476561763;0.37881430805223076;0.5;0.5;0.5;0.32697129763515093;0.41725473659040735;0.32697129763515093;0.20348536676619766,paper_core,True,none
