parent_id,parent_lp_bound,left_id,left_lp_bound,left_infeasible,right_id,right_lp_bound,right_infeasible,post_split_bound,tolerance,decision
L0,0.00853251,L0.0,0.00924332,0,L0.1,0.0193627,0,0.00924332,1e-07,"strict_child_lp_bound_improvement"
L0.0,0.00924332,L0.0.0,0.0137444,0,L0.0.1,0.0136921,0,0.0136921,1e-07,"strict_child_lp_bound_improvement"
L0.0.1,0.0136921,L0.0.1.0,0.014274,0,L0.0.1.1,0.0161206,0,0.014274,1e-07,"strict_child_lp_bound_improvement"
L0.0.0,0.0137444,L0.0.0.0,0.0169326,0,L0.0.0.1,0.0154675,0,0.0154675,1e-07,"strict_child_lp_bound_improvement"
L0.0.1.0,0.014274,L0.0.1.0.0,0.0156525,0,L0.0.1.0.1,0.015261,0,0.015261,1e-07,"strict_child_lp_bound_improvement"
L0.0.1.0.1,0.015261,L0.0.1.0.1.0,0.0157561,0,L0.0.1.0.1.1,0.0157579,0,0.0157561,1e-07,"strict_child_lp_bound_improvement"
L0.0.0.1,0.0154675,L0.0.0.1.0,0.0170377,0,L0.0.0.1.1,0.0163306,0,0.0163306,1e-07,"strict_child_lp_bound_improvement"
L0.0.1.0.0,0.0156525,L0.0.1.0.0.0,0.0164227,0,L0.0.1.0.0.1,0.0160873,0,0.0160873,1e-07,"strict_child_lp_bound_improvement"
L0.0.1.0.1.0,0.0157561,L0.0.1.0.1.0.0,0.0161388,0,L0.0.1.0.1.0.1,0.0159743,0,0.0159743,1e-07,"strict_child_lp_bound_improvement"
L0.0.1.0.1.1,0.0157579,L0.0.1.0.1.1.0,0.0159364,0,L0.0.1.0.1.1.1,0.0160072,0,0.0159364,1e-07,"strict_child_lp_bound_improvement"
L0.0.1.0.1.1.0,0.0159364,L0.0.1.0.1.1.0.0,0.016054,0,L0.0.1.0.1.1.0.1,0.0160598,0,0.016054,1e-07,"strict_child_lp_bound_improvement"
L0.0.1.0.1.0.1,0.0159743,L0.0.1.0.1.0.1.0,0.0161661,0,L0.0.1.0.1.0.1.1,0.0160838,0,0.0160838,1e-07,"strict_child_lp_bound_improvement"
L0.0.1.0.1.1.1,0.0160072,L0.0.1.0.1.1.1.0,0.0160939,0,L0.0.1.0.1.1.1.1,0.0161324,0,0.0160939,1e-07,"strict_child_lp_bound_improvement"
L0.0.1.0.1.1.0.0,0.016054,L0.0.1.0.1.1.0.0.0,0.0161179,0,L0.0.1.0.1.1.0.0.1,0.0161128,0,0.0161128,1e-07,"strict_child_lp_bound_improvement"
L0.0.1.0.1.1.0.1,0.0160598,L0.0.1.0.1.1.0.1.0,0.016108,0,L0.0.1.0.1.1.0.1.1,0.0161219,0,0.016108,1e-07,"strict_child_lp_bound_improvement"
L0.0.1.0.1.0.1.1,0.0160838,L0.0.1.0.1.0.1.1.0,0.01618,0,L0.0.1.0.1.0.1.1.1,0.016139,0,0.016139,1e-07,"strict_child_lp_bound_improvement"
L0.0.1.0.0.1,0.0160873,L0.0.1.0.0.1.0,0.0164715,0,L0.0.1.0.0.1.1,0.0163045,0,0.0163045,1e-07,"strict_child_lp_bound_improvement"
L0.0.1.0.1.1.1.0,0.0160939,L0.0.1.0.1.1.1.0.0,0.0161372,0,L0.0.1.0.1.1.1.0.1,0.0161564,0,0.0161372,1e-07,"strict_child_lp_bound_improvement"
L0.0.1.1,0.0161206,L0.0.1.1.0,0.0161207,0,L0.0.1.1.1,0.0176571,0,0.0161207,1e-07,"strict_child_lp_bound_improvement"
L0.0.1.1.0,0.0161207,L0.0.1.1.0.0,0.016139,0,L0.0.1.1.0.1,0.0168196,0,0.016139,1e-07,"strict_child_lp_bound_improvement"
L0.0.1.0.1.1.1.1,0.0161324,L0.0.1.0.1.1.1.1.0,0.0161756,0,L0.0.1.0.1.1.1.1.1,0.0161953,0,0.0161756,1e-07,"strict_child_lp_bound_improvement"
L0.0.1.0.1.0.0,0.0161388,L0.0.1.0.1.0.0.0,0.0163316,0,L0.0.1.0.1.0.0.1,0.0162492,0,0.0162492,1e-07,"strict_child_lp_bound_improvement"
L0.0.1.1.0.0,0.016139,L0.0.1.1.0.0.0,0.0161725,0,L0.0.1.1.0.0.1,0.0164375,0,0.0161725,1e-07,"strict_child_lp_bound_improvement"
L0.0.1.0.1.0.1.0,0.0161661,L0.0.1.0.1.0.1.0.0,0.0162621,0,L0.0.1.0.1.0.1.0.1,0.016221,0,0.016221,1e-07,"strict_child_lp_bound_improvement"
L0.0.1.1.0.0.0,0.0161725,L0.0.1.1.0.0.0.0,0.0161906,0,L0.0.1.1.0.0.0.1,0.0163134,0,0.0161906,1e-07,"strict_child_lp_bound_improvement"
