run_id,parent_uid,parent_parent_uid,parent_native_depth,parent_gini_generation,child_gini_generation,parent_gamma_L,parent_gamma_U,split,parent_relaxation,lower_uid,lower_gamma_L,lower_gamma_U,lower_estimate,lower_gamma_floor,lower_weighted_penalty_lb,lower_domain_estimate,lower_lift,lower_station_deviation_lbs,lower_s_lower,lower_required_deviation,lower_deviation_lower_sum,lower_deviation_upper_sum,lower_dispersion_penalty_lb,lower_dispersion_bound_used,lower_domain_contradiction,lower_validation_status,upper_uid,upper_gamma_L,upper_gamma_U,upper_estimate,upper_gamma_floor,upper_weighted_penalty_lb,upper_domain_estimate,upper_lift,upper_station_deviation_lbs,upper_s_lower,upper_required_deviation,upper_deviation_lower_sum,upper_deviation_upper_sum,upper_dispersion_penalty_lb,upper_dispersion_bound_used,upper_domain_contradiction,upper_validation_status,estimate_mode,sibling_discriminated,creation_time,creation_node_count,open_nodes,simplex_iterations,validity_status,failure_reason
stage2__high_imbalance_seed3202__t_cpx_st_pon_diag__300s,0,-1,0,0,1,0,0.94999999999999996,0.47499999999999998,1.4371045130735147,1,0,0.47499999999999998,1.4371045130735147,0,3.9280985602676211,0.58921478404014316,0,2.5|0|0.3125|0|0.33333333333333337|0.21621621621621623|0.26470588235294112|0.10000000000000009|0|0|0|0|1|0|0|0.33333333333333326|0|0|1.3333333333333335|0,0,0,0,0,0,false,false,not_dispersion_coupled,2,0.47499999999999998,0.94999999999999996,1.4371045130735147,0.47499999999999998,3.9280985602676211,1.0642147840401432,0,2.5|0|0.3125|0|0.33333333333333337|0.21621621621621623|0.26470588235294112|0.10000000000000009|0|0|0|0|1|0|0|0.33333333333333326|0|0|1.3333333333333335|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,7.1922950999999999,0,1,14352,passed,
stage2__high_imbalance_seed3202__t_cpx_st_pon_diag__300s,2,0,1,1,2,0.47499999999999998,0.94999999999999996,0.71249999999999991,1.6445964737865395,3,0.47499999999999998,0.71249999999999991,1.6445964737865395,0.47499999999999998,3.9280985602676211,1.0642147840401432,0,2.5|0|0.3125|0|0.33333333333333337|0.21621621621621623|0.26470588235294112|0.10000000000000009|0|0|0|0|1|0|0|0.33333333333333326|0|0|1.3333333333333335|0,0,0,0,0,0,false,false,not_dispersion_coupled,4,0.71249999999999991,0.94999999999999996,1.6445964737865395,0.71249999999999991,3.9280985602676211,1.3017147840401431,0,2.5|0|0.3125|0|0.33333333333333337|0.21621621621621623|0.26470588235294112|0.10000000000000009|0|0|0|0|1|0|0|0.33333333333333326|0|0|1.3333333333333335|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,8.0824406,2,1,16253,passed,
stage2__high_imbalance_seed3202__t_cpx_st_pon_diag__300s,3,2,2,2,3,0.47499999999999998,0.71249999999999991,0.59375,1.6450043236260123,5,0.47499999999999998,0.59375,1.6450043236260123,0.47499999999999998,3.9280985602676211,1.0642147840401432,0,2.5|0|0.3125|0|0.33333333333333337|0.21621621621621623|0.26470588235294112|0.10000000000000009|0|0|0|0|1|0|0|0.33333333333333326|0|0|1.3333333333333335|0,0,0,0,0,0,false,false,not_dispersion_coupled,6,0.59375,0.71249999999999991,1.6450043236260123,0.59375,3.9280985602676211,1.1829647840401432,0,2.5|0|0.3125|0|0.33333333333333337|0.21621621621621623|0.26470588235294112|0.10000000000000009|0|0|0|0|1|0|0|0.33333333333333326|0|0|1.3333333333333335|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,8.2081671000000007,3,2,20486,passed,
stage2__high_imbalance_seed3202__t_cpx_st_pon_diag__300s,5,3,3,3,4,0.47499999999999998,0.59375,0.53437500000000004,1.6484417159355316,7,0.47499999999999998,0.53437500000000004,1.6484417159355316,0.47499999999999998,3.9280985602676211,1.0642147840401432,0,2.5|0|0.3125|0|0.33333333333333337|0.21621621621621623|0.26470588235294112|0.10000000000000009|0|0|0|0|1|0|0|0.33333333333333326|0|0|1.3333333333333335|0,0,0,0,0,0,false,false,not_dispersion_coupled,8,0.53437500000000004,0.59375,1.6484417159355316,0.53437500000000004,3.9280985602676211,1.1235897840401432,0,2.5|0|0.3125|0|0.33333333333333337|0.21621621621621623|0.26470588235294112|0.10000000000000009|0|0|0|0|1|0|0|0.33333333333333326|0|0|1.3333333333333335|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,8.3121720000000003,4,3,20833,passed,
stage2__high_imbalance_seed3202__t_cpx_st_pon_diag__300s,6,3,3,3,4,0.59375,0.71249999999999991,0.65312499999999996,1.7371277606883646,9,0.59375,0.65312499999999996,1.7371277606883646,0.59375,3.9280985602676211,1.1829647840401432,0,2.5|0|0.3125|0|0.33333333333333337|0.21621621621621623|0.26470588235294112|0.10000000000000009|0|0|0|0|1|0|0|0.33333333333333326|0|0|1.3333333333333335|0,0,0,0,0,0,false,false,not_dispersion_coupled,10,0.65312499999999996,0.71249999999999991,1.7371277606883646,0.65312499999999996,3.9280985602676211,1.2423397840401431,0,2.5|0|0.3125|0|0.33333333333333337|0.21621621621621623|0.26470588235294112|0.10000000000000009|0|0|0|0|1|0|0|0.33333333333333326|0|0|1.3333333333333335|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,8.9152515999999995,5,4,21207,passed,
stage2__high_imbalance_seed3202__t_cpx_st_pon_diag__300s,7,5,4,4,5,0.47499999999999998,0.53437500000000004,0.50468749999999996,1.6528771702899512,11,0.47499999999999998,0.50468749999999996,1.6528771702899512,0.47499999999999998,3.9280985602676211,1.0642147840401432,0,2.5|0|0.3125|0|0.33333333333333337|0.21621621621621623|0.26470588235294112|0.10000000000000009|0|0|0|0|1|0|0|0.33333333333333326|0|0|1.3333333333333335|0,0,0,0,0,0,false,false,not_dispersion_coupled,12,0.50468749999999996,0.53437500000000004,1.6528771702899512,0.50468749999999996,3.9280985602676211,1.0939022840401431,0,2.5|0|0.3125|0|0.33333333333333337|0.21621621621621623|0.26470588235294112|0.10000000000000009|0|0|0|0|1|0|0|0.33333333333333326|0|0|1.3333333333333335|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,9.0509830999999998,6,5,24471,passed,
stage2__high_imbalance_seed3202__t_cpx_st_pon_diag__300s,8,5,4,4,5,0.53437500000000004,0.59375,0.56406250000000002,1.6777527693934888,13,0.53437500000000004,0.56406250000000002,1.6777527693934888,0.53437500000000004,3.9280985602676211,1.1235897840401432,0,2.5|0|0.3125|0|0.33333333333333337|0.21621621621621623|0.26470588235294112|0.10000000000000009|0|0|0|0|1|0|0|0.33333333333333326|0|0|1.3333333333333335|0,0,0,0,0,0,false,false,not_dispersion_coupled,14,0.56406250000000002,0.59375,1.6777527693934888,0.56406250000000002,3.9280985602676211,1.1532772840401431,0,2.5|0|0.3125|0|0.33333333333333337|0.21621621621621623|0.26470588235294112|0.10000000000000009|0|0|0|0|1|0|0|0.33333333333333326|0|0|1.3333333333333335|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,9.2851861000000007,7,6,24953,passed,
stage2__high_imbalance_seed3202__t_cpx_st_pon_diag__300s,11,7,5,5,6,0.47499999999999998,0.50468749999999996,0.48984374999999997,1.6943060866914554,15,0.47499999999999998,0.48984374999999997,1.6943060866914554,0.47499999999999998,3.9280985602676211,1.0642147840401432,0,2.5|0|0.3125|0|0.33333333333333337|0.21621621621621623|0.26470588235294112|0.10000000000000009|0|0|0|0|1|0|0|0.33333333333333326|0|0|1.3333333333333335|0,0,0,0,0,0,false,false,not_dispersion_coupled,16,0.48984374999999997,0.50468749999999996,1.6943060866914554,0.48984374999999997,3.9280985602676211,1.0790585340401431,0,2.5|0|0.3125|0|0.33333333333333337|0.21621621621621623|0.26470588235294112|0.10000000000000009|0|0|0|0|1|0|0|0.33333333333333326|0|0|1.3333333333333335|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,9.8533249000000005,8,7,26370,passed,
stage2__high_imbalance_seed3202__t_cpx_st_pon_diag__300s,12,7,5,5,6,0.50468749999999996,0.53437500000000004,0.51953125,1.6618125815215226,17,0.50468749999999996,0.51953125,1.6618125815215226,0.50468749999999996,3.9280985602676211,1.0939022840401431,0,2.5|0|0.3125|0|0.33333333333333337|0.21621621621621623|0.26470588235294112|0.10000000000000009|0|0|0|0|1|0|0|0.33333333333333326|0|0|1.3333333333333335|0,0,0,0,0,0,false,false,not_dispersion_coupled,18,0.51953125,0.53437500000000004,1.6618125815215226,0.51953125,3.9280985602676211,1.1087460340401432,0,2.5|0|0.3125|0|0.33333333333333337|0.21621621621621623|0.26470588235294112|0.10000000000000009|0|0|0|0|1|0|0|0.33333333333333326|0|0|1.3333333333333335|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,9.9963303999999997,9,8,28079,passed,
stage2__high_imbalance_seed3202__t_cpx_st_pon_diag__300s,17,12,6,6,7,0.50468749999999996,0.51953125,0.51210937499999998,1.6659951903155401,19,0.50468749999999996,0.51210937499999998,1.6659951903155401,0.50468749999999996,3.9280985602676211,1.0939022840401431,0,2.5|0|0.3125|0|0.33333333333333337|0.21621621621621623|0.26470588235294112|0.10000000000000009|0|0|0|0|1|0|0|0.33333333333333326|0|0|1.3333333333333335|0,0,0,0,0,0,false,false,not_dispersion_coupled,20,0.51210937499999998,0.51953125,1.6659951903155401,0.51210937499999998,3.9280985602676211,1.1013241590401432,0,2.5|0|0.3125|0|0.33333333333333337|0.21621621621621623|0.26470588235294112|0.10000000000000009|0|0|0|0|1|0|0|0.33333333333333326|0|0|1.3333333333333335|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,10.187048799999999,10,9,28726,passed,
