row,variant,json,status,classification,time_budget_seconds,runtime_seconds,lower_bound,upper_bound,gap,best_bound_available,compact_bc_bound_valid,best_bound_fail_reason,native_time_limit_param_id,native_time_limit_seconds,native_time_limit_set_rc,callback_abort_requests,progress_checkpoints,relaxation_callbacks,branch_callbacks,gini_branches_created,cuts_added_by_family,violations_by_family,paper_certificate_contamination
test_certificate_basis,test,results\gf_tailored_bc_finalization_round\raw\certificate_basis_test.json,diagnostic_passed,solver_final_no_bound_available,10,0.0026337,0.0,0.493696053863,1.0,False,False,,0,0,0,0,0,0,0,0,,,False
test_option_consistency,test,results\gf_tailored_bc_finalization_round\raw\option_consistency_test.json,diagnostic_complete,solver_final_no_bound_available,10,0.0001016,0.0,0.493696053863,1.0,False,False,,0,0,0,0,0,0,0,0,,,False
test_callback_smoke,test,results\gf_tailored_bc_finalization_round\raw\tailored_bc_callback_smoke_test.json,diagnostic_passed,solver_final_no_bound_available,10,0.0009192,0.0,0.493696053863,1.0,False,False,,0,0,0,0,0,0,0,0,,,False
test_branch_callback_smoke,test,results\gf_tailored_bc_finalization_round\raw\tailored_bc_branch_callback_smoke_test.json,diagnostic_passed,solver_final_no_bound_available,10,0.3595164,0.0,0.493696053863,1.0,False,False,,0,0,0,0,0,12145,6053,2,callback_gini_interval_cap=1;callback_visit_inventory_linking=0;callback_gini_subset_envelope=0;callback_low_gini_l1_centering=0,,False
control_v12_m1_tailored_60s,tailored,results\gf_tailored_bc_finalization_round\raw\control_v12_m1_tailored_60s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,60,180.1289622783661,0.0,0.357200573208,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,60,0,0,1,0,0,0,gini_interval=0;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,False
control_v12_m1_cplex_60s,cplex,results\gf_tailored_bc_finalization_round\raw\control_v12_m1_cplex_60s.json,not_certified,solver_final_no_bound_available,60,60.0817095,0.34202602197,0.357200583208,0.0424819049905,False,False,,0,0,0,0,0,0,0,0,,,False
control_v12_m2_tailored_60s,tailored,results\gf_tailored_bc_finalization_round\raw\control_v12_m2_tailored_60s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,60,180.10040140151978,0.0,0.718504060755,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,60,0,0,4,46233,23097,2,gini_interval=1;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,False
control_v12_m2_cplex_60s,cplex,results\gf_tailored_bc_finalization_round\raw\control_v12_m2_cplex_60s.json,not_certified,solver_final_no_bound_available,60,60.0956559,0.56364750056,0.748207757399,0.246669798614,False,False,,0,0,0,0,0,0,0,0,,,False
control_high_imbalance_seed3202_tailored_60s,tailored,results\gf_tailored_bc_finalization_round\raw\control_high_imbalance_seed3202_tailored_60s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,60,180.09641885757446,0.0,1.74931344205,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,60,0,0,4,8626,4290,2,gini_interval=1;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,False
control_high_imbalance_seed3202_cplex_60s,cplex,results\gf_tailored_bc_finalization_round\raw\control_high_imbalance_seed3202_cplex_60s.json,not_certified,solver_final_no_bound_available,60,60.1067857,1.0096334603,5.04160189596,0.799739550814,False,False,,0,0,0,0,0,0,0,0,,,False
control_tight_T_seed3101_tailored_60s,tailored,results\gf_tailored_bc_finalization_round\raw\control_tight_T_seed3101_tailored_60s.json,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,60,180.1385850906372,0.0,0.107252724134,1.0,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,60,0,0,4,7780,3843,2,gini_interval=1;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=1;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=1;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,False
