query,vehicle,model_reused,work_limit,time_limit,columns,rows
0,0,0,22.553316972961341,14.997448,5000,7600
1,1,0,22.479837842206368,14.9973574,5000,7600
2,2,0,22.438697390460817,14.997341,5000,7600
3,3,0,22.389860843303673,14.9972216,5000,7600
4,0,1,4.3613705496789024,14.9989887,5000,7600
5,1,1,4.3595347653358161,14.9989287,5000,7600
6,2,1,4.3441013233061945,14.9990205,5000,7600
7,3,1,4.332480544582765,14.9990173,5000,7600
