source,instance_name,method,status,method_scope,solves_original_objective,is_bpc,certified_original_problem,verifier_passed,gap,unresolved_intervals,invalid_bound_intervals,open_nodes,sealed_run,no_archive_scanning,no_external_known_ub,no_focus_only_certificate,sealed_run_forbidden_source_used,finalization_source,audit_passed,failure_count,failures,warnings
results\sealed_closure_round\raw\certificate-basis-test.json,gcap_smoke_V4_M1.txt,certificate-basis-test,diagnostic_passed,diagnostic,False,False,False,True,1.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\high_imbalance_seed3201.json,high_imbalance_seed3201.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.287015734552,2,0,2,True,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\high_imbalance_seed3201_auto_oracle\interval_8.json,high_imbalance_seed3201.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.124531874865,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\high_imbalance_seed3201_auto_oracle\interval_8_d1_0.json,high_imbalance_seed3201.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.121923501461,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\high_imbalance_seed3201_auto_oracle\interval_8_d1_1.json,high_imbalance_seed3201.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.137075269095,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\high_imbalance_seed3201_auto_oracle\interval_9.json,high_imbalance_seed3201.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.103648430999,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\high_imbalance_seed3201_auto_oracle\interval_9_d1_0.json,high_imbalance_seed3201.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.122911119022,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\high_imbalance_seed3201_auto_oracle\interval_9_d1_1.json,high_imbalance_seed3201.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.0930205264087,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\high_imbalance_seed3202.json,high_imbalance_seed3202.txt,gcap-frontier,optimal,original_bpc,True,True,True,True,0.0,0,0,0,True,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\moderate_seed3301.json,moderate_seed3301.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.8125,6,0,6,True,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_1.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.126378229349,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_10.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_closed,diagnostic,False,False,False,False,0.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_11.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_closed,diagnostic,False,False,False,False,0.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_1_d1_0.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_closed,diagnostic,False,False,False,False,0.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_1_d1_1.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.0720561399507,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_2.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.0149850633754,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_2_d1_0.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.0242276152953,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_2_d1_1.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_closed,diagnostic,False,False,False,False,0.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_3.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_closed,diagnostic,False,False,False,False,0.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_9.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_closed,diagnostic,False,False,False,False,0.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\moderate_seed3301_checkpoint_oracle\interval_16.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_closed,diagnostic,False,False,False,False,0.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\moderate_seed3302.json,moderate_seed3302.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,1.0,4,0,4,True,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_1.json,moderate_seed3302.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.267915741997,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_1_d1_0.json,moderate_seed3302.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.273975190863,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_1_d1_1.json,moderate_seed3302.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.207404515886,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_5.json,moderate_seed3302.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.304745433837,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_5_d1_0.json,moderate_seed3302.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.296881448754,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_5_d1_1.json,moderate_seed3302.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.287203663116,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_6.json,moderate_seed3302.txt,interval-cutoff-oracle,interval_closed,diagnostic,False,False,False,False,0.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_7.json,moderate_seed3302.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.233912635019,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_7_d1_0.json,moderate_seed3302.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.0824757658801,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_7_d1_1.json,moderate_seed3302.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.223570341097,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\option-consistency-test.json,gcap_smoke_V4_M1.txt,option-consistency-test,diagnostic_complete,diagnostic,False,False,False,True,1.0,0,0,0,True,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\tight_T_seed3101.json,tight_T_seed3101.txt,gcap-frontier,optimal,original_bpc,True,True,True,True,0.0,0,0,0,True,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\tight_T_seed3102.json,tight_T_seed3102.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.250586342169,3,0,3,True,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\tight_T_seed3102_auto_oracle\interval_10.json,tight_T_seed3102.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.502984111874,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\tight_T_seed3102_auto_oracle\interval_10_d1_0.json,tight_T_seed3102.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.506723242174,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\tight_T_seed3102_auto_oracle\interval_10_d1_1.json,tight_T_seed3102.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.472286091111,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\tight_T_seed3102_auto_oracle\interval_11.json,tight_T_seed3102.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.449738091891,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\tight_T_seed3102_auto_oracle\interval_11_d1_0.json,tight_T_seed3102.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.475378863524,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\tight_T_seed3102_auto_oracle\interval_11_d1_1.json,tight_T_seed3102.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.452723529521,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\tight_T_seed3102_auto_oracle\interval_9.json,tight_T_seed3102.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.44268587326,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\tight_T_seed3102_auto_oracle\interval_9_d1_0.json,tight_T_seed3102.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.440843875694,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\tight_T_seed3102_auto_oracle\interval_9_d1_1.json,tight_T_seed3102.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.406569864013,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\v12_m1_600s.json,regen_candidate_V12_M1_average.txt,gcap-frontier,optimal,original_bpc,True,True,True,True,0.0,0,0,0,True,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\v12_m2_300s.json,regen_candidate_V12_M2_average.txt,gcap-frontier,optimal,original_bpc,True,True,True,True,0.0,0,0,0,True,True,True,True,False,solver_final_json,True,0,,
results\sealed_closure_round\raw\v4_smoke.json,gcap_smoke_V4_M1.txt,gcap-frontier,optimal,original_bpc,True,True,True,True,0.0,0,0,0,True,True,True,True,False,solver_final_json,True,0,,
