row,interval_id,gamma_L,gamma_U,status,certificate_basis,solver_status,proven_infeasible,feasible_improving,timeout,best_bound,objective,runtime_seconds,json_path,lp_path,log_path
moderate_seed3301,3,0.0368644144986,0.0491525526647,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,0.6551777,results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_3.json,results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_3.lp,results\sealed_closure_round\logs\oracle\moderate_seed3301_interval_3.cplex.log
moderate_seed3301,9,0.0107521208954,0.0122881381662,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,0.846318,results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_9.json,results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_9.lp,results\sealed_closure_round\logs\oracle\moderate_seed3301_interval_9.cplex.log
moderate_seed3301,10,0.00921610362464,0.00998411226003,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,0.7882722,results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_10.json,results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_10.lp,results\sealed_closure_round\logs\oracle\moderate_seed3301_interval_10.cplex.log
moderate_seed3301,11,0.00998411226003,0.0107521208954,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,0.7560381,results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_11.json,results\sealed_closure_round\raw\moderate_seed3301_auto_oracle\interval_11.lp,results\sealed_closure_round\logs\oracle\moderate_seed3301_interval_11.cplex.log
moderate_seed3302,1,0.0489090516373,0.0978181032745,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.14322218711,0,20.0903174,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_1.json,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_1.lp,results\sealed_closure_round\logs\oracle\moderate_seed3302_interval_1.cplex.log
moderate_seed3302,1_d1_0,0.0489090516373,0.0733635774559,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.14203673952,0,20.0859943,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_1_d1_0.json,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_1_d1_0.lp,results\sealed_closure_round\logs\oracle\moderate_seed3302_interval_1_d1_0.cplex.log
moderate_seed3302,1_d1_1,0.0733635774559,0.0978181032745,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.15506037384,0,20.0880117,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_1_d1_1.json,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_1_d1_1.lp,results\sealed_closure_round\logs\oracle\moderate_seed3302_interval_1_d1_1.cplex.log
moderate_seed3302,5,0.0244545258186,0.0489090516373,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.13601696591,0,20.0867261,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_5.json,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_5.lp,results\sealed_closure_round\logs\oracle\moderate_seed3302_interval_5.cplex.log
moderate_seed3302,5_d1_0,0.0244545258186,0.0366817887279,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.13755544612,0,20.0897445,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_5_d1_0.json,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_5_d1_0.lp,results\sealed_closure_round\logs\oracle\moderate_seed3302_interval_5_d1_0.cplex.log
moderate_seed3302,5_d1_1,0.0366817887279,0.0489090516373,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.13944877139,0,20.085192,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_5_d1_1.json,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_5_d1_1.lp,results\sealed_closure_round\logs\oracle\moderate_seed3302_interval_5_d1_1.cplex.log
moderate_seed3302,6,0,0.0122272629093,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,3.3197488,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_6.json,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_6.lp,results\sealed_closure_round\logs\oracle\moderate_seed3302_interval_6.cplex.log
moderate_seed3302,7,0.0122272629093,0.0244545258186,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.14987442597,0,20.0901658,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_7.json,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_7.lp,results\sealed_closure_round\logs\oracle\moderate_seed3302_interval_7.cplex.log
moderate_seed3302,7_d1_0,0.0122272629093,0.018340894364,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.17950096058,0,20.0847419,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_7_d1_0.json,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_7_d1_0.lp,results\sealed_closure_round\logs\oracle\moderate_seed3302_interval_7_d1_0.cplex.log
moderate_seed3302,7_d1_1,0.018340894364,0.0244545258186,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.15189775312,0,20.1024955,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_7_d1_1.json,results\sealed_closure_round\raw\moderate_seed3302_auto_oracle\interval_7_d1_1.lp,results\sealed_closure_round\logs\oracle\moderate_seed3302_interval_7_d1_1.cplex.log
