file,method,algorithm_preset,status,cplex_threads,mip_threads,compact_bc_solver_threads,solver_thread_policy,thread_fairness_class,audit_passed,failures
results\gf_tailored_bc_optimization_round\raw\baseline_diag_v12_m1_low_gini_plain_cplex_300s.json,cplex,custom,optimal,1,1,0,controlled_single_thread,one_thread_fair,True,
results\gf_tailored_bc_optimization_round\raw\baseline_diag_v12_m1_low_gini_tailored_300s.json,gcap-frontier,paper-gf-tailored-bc,native_exit_noncertified,1,1,1,controlled_single_thread,one_thread_fair,True,
results\gf_tailored_bc_optimization_round\raw\baseline_smoke_v4_m1_plain_cplex_60s.json,cplex,custom,optimal,1,1,0,controlled_single_thread,one_thread_fair,True,
results\gf_tailored_bc_optimization_round\raw\baseline_smoke_v4_m1_tailored_60s.json,gcap-frontier,paper-gf-tailored-bc,optimal,0,1,1,compact_bc_single_thread,one_thread_fair,True,
results\gf_tailored_bc_optimization_round\raw\baseline_v12_m1_avg_plain_cplex_300s.json,cplex,custom,optimal,1,1,0,controlled_single_thread,one_thread_fair,True,
results\gf_tailored_bc_optimization_round\raw\baseline_v12_m1_avg_tailored_300s.json,gcap-frontier,paper-gf-tailored-bc,gcap_frontier_not_closed,0,1,1,compact_bc_single_thread,one_thread_fair,True,
results\gf_tailored_bc_optimization_round\raw\baseline_v12_m1_avg_tailored_300s_auto_oracle\interval_12.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_closed,0,1,1,compact_bc_single_thread,one_thread_fair,True,
results\gf_tailored_bc_optimization_round\raw\baseline_v12_m2_avg_plain_cplex_300s.json,cplex,custom,not_certified,1,1,0,controlled_single_thread,one_thread_fair,True,
results\gf_tailored_bc_optimization_round\raw\baseline_v12_m2_avg_tailored_300s.json,gcap-frontier,paper-gf-tailored-bc,optimal,0,1,1,compact_bc_single_thread,one_thread_fair,True,
results\gf_tailored_bc_optimization_round\raw\control_high_imbalance_seed3202_tailored_1200s.json,gcap-frontier,paper-gf-tailored-bc,optimal,0,1,1,compact_bc_single_thread,one_thread_fair,True,
results\gf_tailored_bc_optimization_round\raw\control_tight_T_seed3101_tailored_300s.json,gcap-frontier,paper-gf-tailored-bc,optimal,0,1,1,compact_bc_single_thread,one_thread_fair,True,
results\gf_tailored_bc_optimization_round\raw\control_v12_m2_tailored_300s.json,gcap-frontier,paper-gf-tailored-bc,native_exit_noncertified,1,1,1,controlled_single_thread,one_thread_fair,True,
results\gf_tailored_bc_optimization_round\raw\control_v12_m2_tailored_300s_rerun.json,gcap-frontier,paper-gf-tailored-bc,optimal,0,1,1,compact_bc_single_thread,one_thread_fair,True,
results\gf_tailored_bc_optimization_round\raw\current_certificate_basis_test.json,certificate-basis-test,custom,diagnostic_passed,0,0,0,,unknown_not_paper,True,
results\gf_tailored_bc_optimization_round\raw\current_gini_subset_envelope_test.json,gini-subset-envelope-test,custom,diagnostic_passed,0,0,0,,unknown_not_paper,True,
results\gf_tailored_bc_optimization_round\raw\current_low_gini_l1_centering_test.json,low-gini-l1-centering-test,custom,diagnostic_passed,0,0,0,,unknown_not_paper,True,
results\gf_tailored_bc_optimization_round\raw\current_option_consistency_test.json,option-consistency-test,custom,diagnostic_complete,0,0,0,,unknown_not_paper,True,
results\gf_tailored_bc_optimization_round\raw\current_s_bucket_coverage_test.json,s-bucket-coverage-test,custom,diagnostic_passed,0,0,0,,unknown_not_paper,True,
results\gf_tailored_bc_optimization_round\raw\current_tailored_bc_branch_callback_smoke_test.json,tailored-bc-branch-callback-smoke-test,custom,diagnostic_passed,0,0,0,,unknown_not_paper,True,
results\gf_tailored_bc_optimization_round\raw\current_tailored_bc_callback_smoke_test.json,tailored-bc-callback-smoke-test,custom,diagnostic_passed,0,0,0,,unknown_not_paper,True,
results\gf_tailored_bc_optimization_round\raw\current_tailored_bc_cut_validity_test.json,tailored-bc-cut-validity-test,custom,diagnostic_passed,0,0,0,,unknown_not_paper,True,
results\gf_tailored_bc_optimization_round\raw\current_transfer_cutset_validity_test.json,transfer-cutset-validity-test,custom,diagnostic_passed,0,0,0,,unknown_not_paper,True,
results\gf_tailored_bc_optimization_round\raw\opt_generated_diag_v12_m2_tight_cutoff_callback_auto_gini_branch_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,native_exit_noncertified,1,1,1,controlled_single_thread,one_thread_fair,True,
results\gf_tailored_bc_optimization_round\raw\opt_generated_diag_v12_m2_tight_cutoff_callback_no_gini_branch_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_noncertified,1,1,1,controlled_single_thread,one_thread_fair,True,
results\gf_tailored_bc_optimization_round\raw\opt_generated_diag_v12_m2_tight_cutoff_callback_selector_gini_branch_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,native_exit_noncertified,1,1,1,controlled_single_thread,one_thread_fair,True,
results\gf_tailored_bc_optimization_round\raw\opt_generated_diag_v12_m2_tight_cutoff_plain_fixed_interval_mip_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_noncertified,1,1,1,controlled_single_thread,one_thread_fair,True,
results\gf_tailored_bc_optimization_round\raw\opt_generated_diag_v12_m2_tight_cutoff_static_tailored_safe_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_noncertified,1,1,1,controlled_single_thread,one_thread_fair,True,
results\gf_tailored_bc_optimization_round\raw\opt_high_imbalance_seed3201_hard_callback_auto_gini_branch_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_noncertified,1,1,1,controlled_single_thread,one_thread_fair,True,
results\gf_tailored_bc_optimization_round\raw\opt_high_imbalance_seed3201_hard_callback_no_gini_branch_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_noncertified,1,1,1,controlled_single_thread,one_thread_fair,True,
results\gf_tailored_bc_optimization_round\raw\opt_high_imbalance_seed3201_hard_callback_selector_gini_branch_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_noncertified,1,1,1,controlled_single_thread,one_thread_fair,True,
results\gf_tailored_bc_optimization_round\raw\opt_high_imbalance_seed3201_hard_plain_fixed_interval_mip_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_noncertified,1,1,1,controlled_single_thread,one_thread_fair,True,
results\gf_tailored_bc_optimization_round\raw\opt_high_imbalance_seed3201_hard_static_tailored_safe_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_noncertified,1,1,1,controlled_single_thread,one_thread_fair,True,
results\gf_tailored_bc_optimization_round\raw\opt_moderate_low_gini_1_callback_auto_gini_branch_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_noncertified,1,1,1,controlled_single_thread,one_thread_fair,True,
results\gf_tailored_bc_optimization_round\raw\opt_moderate_low_gini_1_callback_no_gini_branch_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_noncertified,1,1,1,controlled_single_thread,one_thread_fair,True,
results\gf_tailored_bc_optimization_round\raw\opt_moderate_low_gini_1_callback_selector_gini_branch_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_noncertified,1,1,1,controlled_single_thread,one_thread_fair,True,
results\gf_tailored_bc_optimization_round\raw\opt_moderate_low_gini_1_plain_fixed_interval_mip_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_noncertified,1,1,1,controlled_single_thread,one_thread_fair,True,
results\gf_tailored_bc_optimization_round\raw\opt_moderate_low_gini_1_static_tailored_safe_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_noncertified,1,1,1,controlled_single_thread,one_thread_fair,True,
results\gf_tailored_bc_optimization_round\raw\opt_moderate_low_gini_2_callback_auto_gini_branch_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_noncertified,1,1,1,controlled_single_thread,one_thread_fair,True,
results\gf_tailored_bc_optimization_round\raw\opt_moderate_low_gini_2_callback_no_gini_branch_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_noncertified,1,1,1,controlled_single_thread,one_thread_fair,True,
results\gf_tailored_bc_optimization_round\raw\opt_moderate_low_gini_2_callback_selector_gini_branch_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_noncertified,1,1,1,controlled_single_thread,one_thread_fair,True,
results\gf_tailored_bc_optimization_round\raw\opt_moderate_low_gini_2_plain_fixed_interval_mip_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_noncertified,1,1,1,controlled_single_thread,one_thread_fair,True,
results\gf_tailored_bc_optimization_round\raw\opt_moderate_low_gini_2_static_tailored_safe_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_noncertified,1,1,1,controlled_single_thread,one_thread_fair,True,
results\gf_tailored_bc_optimization_round\raw\opt_tight_T_seed3102_hard_callback_auto_gini_branch_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_noncertified,1,1,1,controlled_single_thread,one_thread_fair,True,
results\gf_tailored_bc_optimization_round\raw\opt_tight_T_seed3102_hard_callback_no_gini_branch_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_noncertified,1,1,1,controlled_single_thread,one_thread_fair,True,
results\gf_tailored_bc_optimization_round\raw\opt_tight_T_seed3102_hard_callback_selector_gini_branch_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_noncertified,1,1,1,controlled_single_thread,one_thread_fair,True,
results\gf_tailored_bc_optimization_round\raw\opt_tight_T_seed3102_hard_plain_fixed_interval_mip_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_noncertified,1,1,1,controlled_single_thread,one_thread_fair,True,
results\gf_tailored_bc_optimization_round\raw\opt_tight_T_seed3102_hard_static_tailored_safe_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_noncertified,1,1,1,controlled_single_thread,one_thread_fair,True,
