file,method,algorithm_preset,status,thread_fairness_class,time_budget_seconds,progress_log,compact_bc_enabled_families_effective,compact_bc_diagnostic_force_leaf_solve,compact_bc_low_gini_aggressive_diagnostic,audit_passed,failures
results\gf_tailored_bc_optimization_round\raw\baseline_diag_v12_m1_low_gini_plain_cplex_300s.json,cplex,custom,optimal,one_thread_fair,300,,,False,False,True,
results\gf_tailored_bc_optimization_round\raw\baseline_diag_v12_m1_low_gini_tailored_300s.json,gcap-frontier,paper-gf-tailored-bc,native_exit_noncertified,one_thread_fair,300,results/gf_tailored_bc_optimization_round/progress_traces/baseline_diag_v12_m1_low_gini_tailored_300s.progress.csv,,False,False,True,
results\gf_tailored_bc_optimization_round\raw\baseline_smoke_v4_m1_plain_cplex_60s.json,cplex,custom,optimal,one_thread_fair,60,,,False,False,True,
results\gf_tailored_bc_optimization_round\raw\baseline_smoke_v4_m1_tailored_60s.json,gcap-frontier,paper-gf-tailored-bc,optimal,one_thread_fair,60,E:\codes\ExactEBRP\results\gf_tailored_bc_optimization_round\progress_traces\baseline_smoke_v4_m1_tailored_60s.progress.csv,,False,False,True,
results\gf_tailored_bc_optimization_round\raw\baseline_v12_m1_avg_plain_cplex_300s.json,cplex,custom,optimal,one_thread_fair,300,,,False,False,True,
results\gf_tailored_bc_optimization_round\raw\baseline_v12_m1_avg_tailored_300s.json,gcap-frontier,paper-gf-tailored-bc,gcap_frontier_not_closed,one_thread_fair,300,E:\codes\ExactEBRP\results\gf_tailored_bc_optimization_round\progress_traces\baseline_v12_m1_avg_tailored_300s.progress.csv,,False,False,True,
results\gf_tailored_bc_optimization_round\raw\baseline_v12_m1_avg_tailored_300s_auto_oracle\interval_12.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_closed,one_thread_fair,300,,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_subset_envelope|low_gini_l1_centering|subset_inventory_imbalance|vehicle_transfer_cutset_basic|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,True,False,True,
results\gf_tailored_bc_optimization_round\raw\baseline_v12_m2_avg_plain_cplex_300s.json,cplex,custom,not_certified,one_thread_fair,300,,,False,False,True,
results\gf_tailored_bc_optimization_round\raw\baseline_v12_m2_avg_tailored_300s.json,gcap-frontier,paper-gf-tailored-bc,optimal,one_thread_fair,300,E:\codes\ExactEBRP\results\gf_tailored_bc_optimization_round\progress_traces\baseline_v12_m2_avg_tailored_300s.progress.csv,,False,False,True,
results\gf_tailored_bc_optimization_round\raw\control_high_imbalance_seed3202_tailored_1200s.json,gcap-frontier,paper-gf-tailored-bc,optimal,one_thread_fair,1200,E:\codes\ExactEBRP\results\gf_tailored_bc_optimization_round\progress_traces\control_high_imbalance_seed3202_tailored_1200s.progress.csv,,False,False,True,
results\gf_tailored_bc_optimization_round\raw\control_tight_T_seed3101_tailored_300s.json,gcap-frontier,paper-gf-tailored-bc,optimal,one_thread_fair,300,E:\codes\ExactEBRP\results\gf_tailored_bc_optimization_round\progress_traces\control_tight_T_seed3101_tailored_300s.progress.csv,,False,False,True,
results\gf_tailored_bc_optimization_round\raw\control_v12_m2_tailored_300s.json,gcap-frontier,paper-gf-tailored-bc,native_exit_noncertified,one_thread_fair,300,results/gf_tailored_bc_optimization_round/progress_traces/control_v12_m2_tailored_300s.progress.csv,,False,False,True,
results\gf_tailored_bc_optimization_round\raw\control_v12_m2_tailored_300s_rerun.json,gcap-frontier,paper-gf-tailored-bc,optimal,one_thread_fair,300,results\gf_tailored_bc_optimization_round\progress_traces\control_v12_m2_tailored_300s_rerun.progress.csv,,False,False,True,
results\gf_tailored_bc_optimization_round\raw\current_certificate_basis_test.json,certificate-basis-test,custom,diagnostic_passed,unknown_not_paper,10,,,False,False,True,
results\gf_tailored_bc_optimization_round\raw\current_gini_subset_envelope_test.json,gini-subset-envelope-test,custom,diagnostic_passed,unknown_not_paper,1000,,,False,False,True,
results\gf_tailored_bc_optimization_round\raw\current_low_gini_l1_centering_test.json,low-gini-l1-centering-test,custom,diagnostic_passed,unknown_not_paper,1000,,,False,False,True,
results\gf_tailored_bc_optimization_round\raw\current_option_consistency_test.json,option-consistency-test,custom,diagnostic_complete,unknown_not_paper,10,,,False,False,True,
results\gf_tailored_bc_optimization_round\raw\current_s_bucket_coverage_test.json,s-bucket-coverage-test,custom,diagnostic_passed,unknown_not_paper,1000,,,False,False,True,
results\gf_tailored_bc_optimization_round\raw\current_tailored_bc_branch_callback_smoke_test.json,tailored-bc-branch-callback-smoke-test,custom,diagnostic_passed,unknown_not_paper,5,,,False,False,True,
