leaf,variant,budget,status,certified,LB,UB,gap,gamma_L,gamma_U,callback_events,callback_cuts,gini_subset_candidates,gini_subset_violations,max_gini_subset_violation,branch_calls,gini_branches,source_class,diagnostic_only,noncertified_reason,json_path
generated_diag_v12_m2_tight_cutoff,callback_auto_gini_branch,60,native_exit_noncertified,False,0.0,1.65777317757,1.0,0.229166666667,0.458333333333,,,,,,,,diagnostic,true,native_exit_noncertified,results\gf_tailored_bc_optimization_round\raw\opt_generated_diag_v12_m2_tight_cutoff_callback_auto_gini_branch_60s.json
generated_diag_v12_m2_tight_cutoff,callback_no_gini_branch,60,wrapper_timeout_noncertified,False,0.0,1.65777317757,1.0,0.229166666667,0.458333333333,,,,,,,,diagnostic,true,wrapper_timeout_noncertified,results\gf_tailored_bc_optimization_round\raw\opt_generated_diag_v12_m2_tight_cutoff_callback_no_gini_branch_60s.json
generated_diag_v12_m2_tight_cutoff,callback_selector_gini_branch,60,native_exit_noncertified,False,0.0,1.65777317757,1.0,0.229166666667,0.458333333333,,,,,,,,diagnostic,true,native_exit_noncertified,results\gf_tailored_bc_optimization_round\raw\opt_generated_diag_v12_m2_tight_cutoff_callback_selector_gini_branch_60s.json
generated_diag_v12_m2_tight_cutoff,plain_fixed_interval_mip,60,wrapper_timeout_noncertified,False,0.0,1.65777317757,1.0,0.229166666667,0.458333333333,,,,,,,,diagnostic,true,wrapper_timeout_noncertified,results\gf_tailored_bc_optimization_round\raw\opt_generated_diag_v12_m2_tight_cutoff_plain_fixed_interval_mip_60s.json
generated_diag_v12_m2_tight_cutoff,static_tailored_safe,60,wrapper_timeout_noncertified,False,0.0,1.65777317757,1.0,0.229166666667,0.458333333333,,,,,,,,diagnostic,true,wrapper_timeout_noncertified,results\gf_tailored_bc_optimization_round\raw\opt_generated_diag_v12_m2_tight_cutoff_static_tailored_safe_60s.json
high_imbalance_seed3201_hard,callback_auto_gini_branch,60,wrapper_timeout_noncertified,False,0.0,2.44340319194,1.0,0.475,0.59375,,,,,,,,diagnostic,true,wrapper_timeout_noncertified,results\gf_tailored_bc_optimization_round\raw\opt_high_imbalance_seed3201_hard_callback_auto_gini_branch_60s.json
high_imbalance_seed3201_hard,callback_no_gini_branch,60,wrapper_timeout_noncertified,False,0.0,2.44340319194,1.0,0.475,0.59375,,,,,,,,diagnostic,true,wrapper_timeout_noncertified,results\gf_tailored_bc_optimization_round\raw\opt_high_imbalance_seed3201_hard_callback_no_gini_branch_60s.json
high_imbalance_seed3201_hard,callback_selector_gini_branch,60,wrapper_timeout_noncertified,False,0.0,2.44340319194,1.0,0.475,0.59375,,,,,,,,diagnostic,true,wrapper_timeout_noncertified,results\gf_tailored_bc_optimization_round\raw\opt_high_imbalance_seed3201_hard_callback_selector_gini_branch_60s.json
high_imbalance_seed3201_hard,plain_fixed_interval_mip,60,wrapper_timeout_noncertified,False,0.0,2.44340319194,1.0,0.475,0.59375,,,,,,,,diagnostic,true,wrapper_timeout_noncertified,results\gf_tailored_bc_optimization_round\raw\opt_high_imbalance_seed3201_hard_plain_fixed_interval_mip_60s.json
high_imbalance_seed3201_hard,static_tailored_safe,60,wrapper_timeout_noncertified,False,0.0,2.44340319194,1.0,0.475,0.59375,,,,,,,,diagnostic,true,wrapper_timeout_noncertified,results\gf_tailored_bc_optimization_round\raw\opt_high_imbalance_seed3201_hard_static_tailored_safe_60s.json
moderate_low_gini_1,callback_auto_gini_branch,60,wrapper_timeout_noncertified,False,0.0,0.0491525526647,1.0,0.0122881381662,0.0245762763324,,,,,,,,diagnostic,true,wrapper_timeout_noncertified,results\gf_tailored_bc_optimization_round\raw\opt_moderate_low_gini_1_callback_auto_gini_branch_60s.json
moderate_low_gini_1,callback_no_gini_branch,60,wrapper_timeout_noncertified,False,0.0,0.0491525526647,1.0,0.0122881381662,0.0245762763324,,,,,,,,diagnostic,true,wrapper_timeout_noncertified,results\gf_tailored_bc_optimization_round\raw\opt_moderate_low_gini_1_callback_no_gini_branch_60s.json
moderate_low_gini_1,callback_selector_gini_branch,60,wrapper_timeout_noncertified,False,0.0,0.0491525526647,1.0,0.0122881381662,0.0245762763324,,,,,,,,diagnostic,true,wrapper_timeout_noncertified,results\gf_tailored_bc_optimization_round\raw\opt_moderate_low_gini_1_callback_selector_gini_branch_60s.json
moderate_low_gini_1,plain_fixed_interval_mip,60,wrapper_timeout_noncertified,False,0.0,0.0491525526647,1.0,0.0122881381662,0.0245762763324,,,,,,,,diagnostic,true,wrapper_timeout_noncertified,results\gf_tailored_bc_optimization_round\raw\opt_moderate_low_gini_1_plain_fixed_interval_mip_60s.json
moderate_low_gini_1,static_tailored_safe,60,wrapper_timeout_noncertified,False,0.0,0.0491525526647,1.0,0.0122881381662,0.0245762763324,,,,,,,,diagnostic,true,wrapper_timeout_noncertified,results\gf_tailored_bc_optimization_round\raw\opt_moderate_low_gini_1_static_tailored_safe_60s.json
moderate_low_gini_2,callback_auto_gini_branch,60,wrapper_timeout_noncertified,False,0.0,0.0491525526647,1.0,0.0245762763324,0.0368644144986,,,,,,,,diagnostic,true,wrapper_timeout_noncertified,results\gf_tailored_bc_optimization_round\raw\opt_moderate_low_gini_2_callback_auto_gini_branch_60s.json
moderate_low_gini_2,callback_no_gini_branch,60,wrapper_timeout_noncertified,False,0.0,0.0491525526647,1.0,0.0245762763324,0.0368644144986,,,,,,,,diagnostic,true,wrapper_timeout_noncertified,results\gf_tailored_bc_optimization_round\raw\opt_moderate_low_gini_2_callback_no_gini_branch_60s.json
moderate_low_gini_2,callback_selector_gini_branch,60,wrapper_timeout_noncertified,False,0.0,0.0491525526647,1.0,0.0245762763324,0.0368644144986,,,,,,,,diagnostic,true,wrapper_timeout_noncertified,results\gf_tailored_bc_optimization_round\raw\opt_moderate_low_gini_2_callback_selector_gini_branch_60s.json
moderate_low_gini_2,plain_fixed_interval_mip,60,wrapper_timeout_noncertified,False,0.0,0.0491525526647,1.0,0.0245762763324,0.0368644144986,,,,,,,,diagnostic,true,wrapper_timeout_noncertified,results\gf_tailored_bc_optimization_round\raw\opt_moderate_low_gini_2_plain_fixed_interval_mip_60s.json
moderate_low_gini_2,static_tailored_safe,60,wrapper_timeout_noncertified,False,0.0,0.0491525526647,1.0,0.0245762763324,0.0368644144986,,,,,,,,diagnostic,true,wrapper_timeout_noncertified,results\gf_tailored_bc_optimization_round\raw\opt_moderate_low_gini_2_static_tailored_safe_60s.json
tight_T_seed3102_hard,callback_auto_gini_branch,60,wrapper_timeout_noncertified,False,0.0,0.600704436685,1.0,0.150176109171,0.300352218343,,,,,,,,diagnostic,true,wrapper_timeout_noncertified,results\gf_tailored_bc_optimization_round\raw\opt_tight_T_seed3102_hard_callback_auto_gini_branch_60s.json
tight_T_seed3102_hard,callback_no_gini_branch,60,wrapper_timeout_noncertified,False,0.0,0.600704436685,1.0,0.150176109171,0.300352218343,,,,,,,,diagnostic,true,wrapper_timeout_noncertified,results\gf_tailored_bc_optimization_round\raw\opt_tight_T_seed3102_hard_callback_no_gini_branch_60s.json
tight_T_seed3102_hard,callback_selector_gini_branch,60,wrapper_timeout_noncertified,False,0.0,0.600704436685,1.0,0.150176109171,0.300352218343,,,,,,,,diagnostic,true,wrapper_timeout_noncertified,results\gf_tailored_bc_optimization_round\raw\opt_tight_T_seed3102_hard_callback_selector_gini_branch_60s.json
tight_T_seed3102_hard,plain_fixed_interval_mip,60,wrapper_timeout_noncertified,False,0.0,0.600704436685,1.0,0.150176109171,0.300352218343,,,,,,,,diagnostic,true,wrapper_timeout_noncertified,results\gf_tailored_bc_optimization_round\raw\opt_tight_T_seed3102_hard_plain_fixed_interval_mip_60s.json
tight_T_seed3102_hard,static_tailored_safe,60,wrapper_timeout_noncertified,False,0.0,0.600704436685,1.0,0.150176109171,0.300352218343,,,,,,,,diagnostic,true,wrapper_timeout_noncertified,results\gf_tailored_bc_optimization_round\raw\opt_tight_T_seed3102_hard_static_tailored_safe_60s.json
