leaf,variant,budget,callback_events,callback_cuts,LB,gap,diagnosis
generated_diag_v12_m2_tight_cutoff,callback_auto_gini_branch,60,,,0.0,1.0,no bound gain observed because row did not finalize
generated_diag_v12_m2_tight_cutoff,callback_no_gini_branch,60,,,0.0,1.0,no bound gain observed because row did not finalize
generated_diag_v12_m2_tight_cutoff,callback_selector_gini_branch,60,,,0.0,1.0,no bound gain observed because row did not finalize
generated_diag_v12_m2_tight_cutoff,plain_fixed_interval_mip,60,,,0.0,1.0,no bound gain observed because row did not finalize
generated_diag_v12_m2_tight_cutoff,static_tailored_safe,60,,,0.0,1.0,no bound gain observed because row did not finalize
high_imbalance_seed3201_hard,callback_auto_gini_branch,60,,,0.0,1.0,no bound gain observed because row did not finalize
high_imbalance_seed3201_hard,callback_no_gini_branch,60,,,0.0,1.0,no bound gain observed because row did not finalize
high_imbalance_seed3201_hard,callback_selector_gini_branch,60,,,0.0,1.0,no bound gain observed because row did not finalize
high_imbalance_seed3201_hard,plain_fixed_interval_mip,60,,,0.0,1.0,no bound gain observed because row did not finalize
high_imbalance_seed3201_hard,static_tailored_safe,60,,,0.0,1.0,no bound gain observed because row did not finalize
moderate_low_gini_1,callback_auto_gini_branch,60,,,0.0,1.0,no bound gain observed because row did not finalize
moderate_low_gini_1,callback_no_gini_branch,60,,,0.0,1.0,no bound gain observed because row did not finalize
moderate_low_gini_1,callback_selector_gini_branch,60,,,0.0,1.0,no bound gain observed because row did not finalize
moderate_low_gini_1,plain_fixed_interval_mip,60,,,0.0,1.0,no bound gain observed because row did not finalize
moderate_low_gini_1,static_tailored_safe,60,,,0.0,1.0,no bound gain observed because row did not finalize
moderate_low_gini_2,callback_auto_gini_branch,60,,,0.0,1.0,no bound gain observed because row did not finalize
moderate_low_gini_2,callback_no_gini_branch,60,,,0.0,1.0,no bound gain observed because row did not finalize
moderate_low_gini_2,callback_selector_gini_branch,60,,,0.0,1.0,no bound gain observed because row did not finalize
moderate_low_gini_2,plain_fixed_interval_mip,60,,,0.0,1.0,no bound gain observed because row did not finalize
moderate_low_gini_2,static_tailored_safe,60,,,0.0,1.0,no bound gain observed because row did not finalize
tight_T_seed3102_hard,callback_auto_gini_branch,60,,,0.0,1.0,no bound gain observed because row did not finalize
tight_T_seed3102_hard,callback_no_gini_branch,60,,,0.0,1.0,no bound gain observed because row did not finalize
tight_T_seed3102_hard,callback_selector_gini_branch,60,,,0.0,1.0,no bound gain observed because row did not finalize
tight_T_seed3102_hard,plain_fixed_interval_mip,60,,,0.0,1.0,no bound gain observed because row did not finalize
tight_T_seed3102_hard,static_tailored_safe,60,,,0.0,1.0,no bound gain observed because row did not finalize
