family,candidates,violations,cuts_added,cut_rate,diagnosis
gini_subset_envelope,0,0,0,0,hard-leaf rows did not finalize; counters unavailable
variable_s_centering,0,0,0,0,hard-leaf rows did not finalize; counters unavailable
subset_inventory_imbalance,0,0,0,0,hard-leaf rows did not finalize; counters unavailable
transfer_cutset,0,0,0,0,hard-leaf rows did not finalize; counters unavailable
support_duration_pair,0,0,0,0,hard-leaf rows did not finalize; counters unavailable
support_duration_triple,0,0,0,0,hard-leaf rows did not finalize; counters unavailable
support_duration_quad,0,0,0,0,hard-leaf rows did not finalize; counters unavailable
support_duration_lifted,0,0,0,0,hard-leaf rows did not finalize; counters unavailable
