row_name,method_label,method,algorithm_preset,instance,instance_sha256,time_budget_seconds,status,certified_original_problem,objective,lower_bound,upper_bound,gap,runtime_seconds,wall_time_seconds,thread_fairness_class,solver_thread_policy,cplex_threads,mip_threads,compact_bc_solver_threads,tailored_bc_callback_available,tailored_bc_source_class,tailored_bc_user_cuts_added_total,tailored_bc_user_cuts_added_by_family,tailored_bc_relaxation_callback_calls,tailored_bc_branch_callback_calls,tailored_bc_gini_branches_created,certification_source,unresolved_intervals,noncertified_reason,returncode,wrapper_timeout,json_path,log_path,budget,LB,UB,source_class,selected_for_control,duplicate_row_resolution_reason,phase
baseline_smoke_v4_m1_tailored_60s,paper_gf_tailored_bc,gcap-frontier,paper-gf-tailored-bc,testdata\examples\gcap_smoke_V4_M1.txt,248a5ce368eec4fee255164f39b18362850a588b852b695bf0d35f0346ceaef9,60,optimal,true,0,0,0,0,1.1479615,1.371,one_thread_fair,compact_bc_single_thread,0,1,1,True,relaxation_only,0,,0,0,0,relaxation_only,0,certified,0,false,results\gf_tailored_bc_optimization_round\raw\baseline_smoke_v4_m1_tailored_60s.json,E:\codes\ExactEBRP\results\gf_tailored_bc_optimization_round\logs\baseline_smoke_v4_m1_tailored_60s.log,,,,,,,
baseline_smoke_v4_m1_plain_cplex_60s,plain_cplex_benchmark,cplex,custom,testdata\examples\gcap_smoke_V4_M1.txt,248a5ce368eec4fee255164f39b18362850a588b852b695bf0d35f0346ceaef9,60,optimal,false,0,0,0,0,0.0941966,0.121,one_thread_fair,plain_cplex_single_thread,1,0,0,False,off,0,,0,0,0,benchmark_only,0,benchmark_optimal_not_paper_certificate,0,false,results\gf_tailored_bc_optimization_round\raw\baseline_smoke_v4_m1_plain_cplex_60s.json,E:\codes\ExactEBRP\results\gf_tailored_bc_optimization_round\logs\baseline_smoke_v4_m1_plain_cplex_60s.log,,,,,,,
baseline_v12_m1_avg_tailored_300s,paper_gf_tailored_bc,gcap-frontier,paper-gf-tailored-bc,reference\regen_candidate_V12_M1_average.txt,e395cfef336d3407a65f04d7e201aa29ac844a08aff25d1991ce6983e5e9508d,300,gcap_frontier_not_closed,false,0.357200583208,0.34856314104,0.357200583208,0.0241809296353,300.9637625,420.029,one_thread_fair,compact_bc_single_thread,0,1,1,True,tailored_bc_assisted_noncertified,0,,0,0,0,tailored_bc_assisted_noncertified,5,wrapper_timeout,124,true,results\gf_tailored_bc_optimization_round\raw\baseline_v12_m1_avg_tailored_300s.json,E:\codes\ExactEBRP\results\gf_tailored_bc_optimization_round\logs\baseline_v12_m1_avg_tailored_300s.log,,,,,,,
baseline_v12_m1_avg_plain_cplex_300s,plain_cplex_benchmark,cplex,custom,reference\regen_candidate_V12_M1_average.txt,e395cfef336d3407a65f04d7e201aa29ac844a08aff25d1991ce6983e5e9508d,300,optimal,false,0.357200583208,0.357200583208,0.357200583208,0,185.6836732,185.712,one_thread_fair,plain_cplex_single_thread,1,0,0,False,off,0,,0,0,0,benchmark_only,0,benchmark_optimal_not_paper_certificate,0,false,results\gf_tailored_bc_optimization_round\raw\baseline_v12_m1_avg_plain_cplex_300s.json,E:\codes\ExactEBRP\results\gf_tailored_bc_optimization_round\logs\baseline_v12_m1_avg_plain_cplex_300s.log,,,,,,,
baseline_v12_m2_avg_tailored_300s,paper_gf_tailored_bc,gcap-frontier,paper-gf-tailored-bc,reference\regen_candidate_V12_M2_average.txt,0bb0416cc9540fffbb91299d5c9ed3d6c2363906424005b1c40b4e3829ddf4f0,300,optimal,true,0.718504070755,0.718504070755,0.718504070755,0,292.3324364,292.374,one_thread_fair,compact_bc_single_thread,0,1,1,True,relaxation_only,0,,0,0,0,relaxation_only,0,certified,0,false,results\gf_tailored_bc_optimization_round\raw\baseline_v12_m2_avg_tailored_300s.json,E:\codes\ExactEBRP\results\gf_tailored_bc_optimization_round\logs\baseline_v12_m2_avg_tailored_300s.log,,,,,,,
baseline_v12_m2_avg_plain_cplex_300s,plain_cplex_benchmark,cplex,custom,reference\regen_candidate_V12_M2_average.txt,0bb0416cc9540fffbb91299d5c9ed3d6c2363906424005b1c40b4e3829ddf4f0,300,not_certified,false,0.719065249476,0.62337314027,0.719065249476,0.133078478311,300.1133615,300.139,one_thread_fair,plain_cplex_single_thread,1,0,0,False,off,0,,0,0,0,benchmark_only,0,not_certified,0,false,results\gf_tailored_bc_optimization_round\raw\baseline_v12_m2_avg_plain_cplex_300s.json,E:\codes\ExactEBRP\results\gf_tailored_bc_optimization_round\logs\baseline_v12_m2_avg_plain_cplex_300s.log,,,,,,,
baseline_diag_v12_m1_low_gini_tailored_300s,paper_gf_tailored_bc,gcap-frontier,paper-gf-tailored-bc,reference\hard_compact_bc_diagnostics\diag_V12_M1_low_gini_hard_seed7101.txt,db71c7cb0362910da648f115acc1a9aa17cf8b00decfa2eeb9eb9031211ef8e8,300,native_exit_noncertified,false,0.0,0.0,0.0,1.0,41.235,41.235,one_thread_fair,controlled_single_thread,1,1,1,True,tailored_bc_assisted_noncertified,,,,,,tailored_bc_assisted_noncertified,,native_process_exit_before_final_json,3221225477,false,results\gf_tailored_bc_optimization_round\raw\baseline_diag_v12_m1_low_gini_tailored_300s.json,E:\codes\ExactEBRP\results\gf_tailored_bc_optimization_round\logs\baseline_diag_v12_m1_low_gini_tailored_300s.log,,,,,,,
baseline_diag_v12_m1_low_gini_plain_cplex_300s,plain_cplex_benchmark,cplex,custom,reference\hard_compact_bc_diagnostics\diag_V12_M1_low_gini_hard_seed7101.txt,db71c7cb0362910da648f115acc1a9aa17cf8b00decfa2eeb9eb9031211ef8e8,300,optimal,false,0.0280241198263,0.0280241198263,0.0280241198263,0,22.7994433,22.831,one_thread_fair,plain_cplex_single_thread,1,0,0,False,off,0,,0,0,0,benchmark_only,0,benchmark_optimal_not_paper_certificate,0,false,results\gf_tailored_bc_optimization_round\raw\baseline_diag_v12_m1_low_gini_plain_cplex_300s.json,E:\codes\ExactEBRP\results\gf_tailored_bc_optimization_round\logs\baseline_diag_v12_m1_low_gini_plain_cplex_300s.log,,,,,,,
control_v12_m2_tailored_300s_rerun,,,,reference\regen_candidate_V12_M2_average.txt,,,optimal,true,,,,0,289.5821364,289.5821364,one_thread_fair,,,,,,,,,,,,,,,0,False,results\gf_tailored_bc_optimization_round\raw\control_v12_m2_tailored_300s_rerun.json,,300,0.718504070755,0.718504070755,relaxation_only,true,rerun certified after transient native exit in first attempt,post_change_control
control_tight_T_seed3101_tailored_300s,,,,reference\hard_stress\V20_M3\tight_T_seed3101.txt,,,optimal,True,,,,0,76.2068528,76.246,one_thread_fair,,,,,,,,,,,,,,,0,False,results\gf_tailored_bc_optimization_round\raw\control_tight_T_seed3101_tailored_300s.json,,300,0.107252734134,0.107252734134,relaxation_only,,,post_change_control
control_high_imbalance_seed3202_tailored_1200s,,,,reference\hard_stress\V20_M3\high_imbalance_seed3202.txt,,,optimal,True,,,,0,293.3167605,293.36,one_thread_fair,,,,,,,,,,,,,,,0,False,results\gf_tailored_bc_optimization_round\raw\control_high_imbalance_seed3202_tailored_1200s.json,,1200,1.74931345205,1.74931345205,relaxation_only,,,post_change_control
