row_name,plateau_detected,noncertified_reason,last_improving_timestamp,suspected_cause,json_path
baseline_v12_m1_avg_tailored_300s,unknown,wrapper_timeout,,callback_overhead_or_unresolved_leaves,results\gf_tailored_bc_optimization_round\raw\baseline_v12_m1_avg_tailored_300s.json
baseline_v12_m2_avg_plain_cplex_300s,unknown,not_certified,,plain_cplex_noncertified_or_timeout,results\gf_tailored_bc_optimization_round\raw\baseline_v12_m2_avg_plain_cplex_300s.json
baseline_diag_v12_m1_low_gini_tailored_300s,unknown,missing_json,,callback_overhead_or_unresolved_leaves,results\gf_tailored_bc_optimization_round\raw\baseline_diag_v12_m1_low_gini_tailored_300s.json
