source,instance_name,method,status,method_scope,solves_original_objective,is_bpc,certified_original_problem,verifier_passed,gap,unresolved_intervals,invalid_bound_intervals,open_nodes,sealed_run,no_archive_scanning,no_external_known_ub,no_focus_only_certificate,sealed_run_forbidden_source_used,finalization_source,audit_passed,failure_count,failures,warnings
results\gf_tailored_bc_optimization_round\raw\baseline_diag_v12_m1_low_gini_plain_cplex_300s.json,diag_V12_M1_low_gini_hard_seed7101.txt,cplex,optimal,plain_cplex,True,False,False,True,0.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\gf_tailored_bc_optimization_round\raw\baseline_diag_v12_m1_low_gini_tailored_300s.json,,gcap-frontier,native_exit_noncertified,,True,True,False,False,1.0,0,0,0,False,True,True,False,False,wrapper_error_json,True,0,,
results\gf_tailored_bc_optimization_round\raw\baseline_smoke_v4_m1_plain_cplex_60s.json,gcap_smoke_V4_M1.txt,cplex,optimal,plain_cplex,True,False,False,True,0.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\gf_tailored_bc_optimization_round\raw\baseline_smoke_v4_m1_tailored_60s.json,gcap_smoke_V4_M1.txt,gcap-frontier,optimal,original_compact,True,False,True,True,0.0,0,0,0,True,True,True,True,False,solver_final_json,True,0,,
results\gf_tailored_bc_optimization_round\raw\baseline_v12_m1_avg_plain_cplex_300s.json,regen_candidate_V12_M1_average.txt,cplex,optimal,plain_cplex,True,False,False,True,0.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\gf_tailored_bc_optimization_round\raw\baseline_v12_m1_avg_tailored_300s.json,regen_candidate_V12_M1_average.txt,gcap-frontier,gcap_frontier_not_closed,original_compact,True,False,False,True,0.0241809296353,5,0,5,True,True,True,True,False,solver_final_noncertified_pre_auto_oracle,True,0,,
results\gf_tailored_bc_optimization_round\raw\baseline_v12_m1_avg_tailored_300s_auto_oracle\interval_12.json,regen_candidate_V12_M1_average.txt,interval-cutoff-oracle,interval_closed,diagnostic,False,False,False,False,0.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\gf_tailored_bc_optimization_round\raw\baseline_v12_m2_avg_plain_cplex_300s.json,regen_candidate_V12_M2_average.txt,cplex,not_certified,plain_cplex,True,False,False,True,0.133078478311,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\gf_tailored_bc_optimization_round\raw\baseline_v12_m2_avg_tailored_300s.json,regen_candidate_V12_M2_average.txt,gcap-frontier,optimal,original_compact,True,False,True,True,0.0,0,0,0,True,True,True,True,False,solver_final_json,True,0,,
results\gf_tailored_bc_optimization_round\raw\control_high_imbalance_seed3202_tailored_1200s.json,high_imbalance_seed3202.txt,gcap-frontier,optimal,original_compact,True,False,True,True,0.0,0,0,0,True,True,True,True,False,solver_final_json,True,0,,
results\gf_tailored_bc_optimization_round\raw\control_tight_T_seed3101_tailored_300s.json,tight_T_seed3101.txt,gcap-frontier,optimal,original_compact,True,False,True,True,0.0,0,0,0,True,True,True,True,False,solver_final_json,True,0,,
results\gf_tailored_bc_optimization_round\raw\control_v12_m2_tailored_300s.json,,gcap-frontier,native_exit_noncertified,,True,True,False,False,1.0,0,0,0,False,True,True,False,False,wrapper_error_json,True,0,,
results\gf_tailored_bc_optimization_round\raw\control_v12_m2_tailored_300s_rerun.json,regen_candidate_V12_M2_average.txt,gcap-frontier,optimal,original_compact,True,False,True,True,0.0,0,0,0,True,True,True,True,False,solver_final_json,True,0,,
results\gf_tailored_bc_optimization_round\raw\current_certificate_basis_test.json,gcap_smoke_V4_M1.txt,certificate-basis-test,diagnostic_passed,diagnostic,False,False,False,True,1.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\gf_tailored_bc_optimization_round\raw\current_gini_subset_envelope_test.json,gcap_smoke_V4_M1.txt,gini-subset-envelope-test,diagnostic_passed,diagnostic,False,False,False,True,1.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\gf_tailored_bc_optimization_round\raw\current_low_gini_l1_centering_test.json,gcap_smoke_V4_M1.txt,low-gini-l1-centering-test,diagnostic_passed,diagnostic,False,False,False,True,1.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
