leaf,variant,budget,plateau_detected,last_improving_timestamp,suspected_cause,callback_events,callback_cuts,json_path
generated_diag_v12_m2_tight_cutoff,callback_auto_gini_branch,60,wrapper_timeout_or_native_no_final_json,unavailable,hard_interval_solver_did_not_finalize_under_short_cap,,,results\gf_tailored_bc_optimization_round\raw\opt_generated_diag_v12_m2_tight_cutoff_callback_auto_gini_branch_60s.json
generated_diag_v12_m2_tight_cutoff,callback_no_gini_branch,60,wrapper_timeout_or_native_no_final_json,unavailable,hard_interval_solver_did_not_finalize_under_short_cap,,,results\gf_tailored_bc_optimization_round\raw\opt_generated_diag_v12_m2_tight_cutoff_callback_no_gini_branch_60s.json
generated_diag_v12_m2_tight_cutoff,callback_selector_gini_branch,60,wrapper_timeout_or_native_no_final_json,unavailable,hard_interval_solver_did_not_finalize_under_short_cap,,,results\gf_tailored_bc_optimization_round\raw\opt_generated_diag_v12_m2_tight_cutoff_callback_selector_gini_branch_60s.json
generated_diag_v12_m2_tight_cutoff,plain_fixed_interval_mip,60,wrapper_timeout_or_native_no_final_json,unavailable,hard_interval_solver_did_not_finalize_under_short_cap,,,results\gf_tailored_bc_optimization_round\raw\opt_generated_diag_v12_m2_tight_cutoff_plain_fixed_interval_mip_60s.json
generated_diag_v12_m2_tight_cutoff,static_tailored_safe,60,wrapper_timeout_or_native_no_final_json,unavailable,hard_interval_solver_did_not_finalize_under_short_cap,,,results\gf_tailored_bc_optimization_round\raw\opt_generated_diag_v12_m2_tight_cutoff_static_tailored_safe_60s.json
high_imbalance_seed3201_hard,callback_auto_gini_branch,60,wrapper_timeout_or_native_no_final_json,unavailable,hard_interval_solver_did_not_finalize_under_short_cap,,,results\gf_tailored_bc_optimization_round\raw\opt_high_imbalance_seed3201_hard_callback_auto_gini_branch_60s.json
high_imbalance_seed3201_hard,callback_no_gini_branch,60,wrapper_timeout_or_native_no_final_json,unavailable,hard_interval_solver_did_not_finalize_under_short_cap,,,results\gf_tailored_bc_optimization_round\raw\opt_high_imbalance_seed3201_hard_callback_no_gini_branch_60s.json
high_imbalance_seed3201_hard,callback_selector_gini_branch,60,wrapper_timeout_or_native_no_final_json,unavailable,hard_interval_solver_did_not_finalize_under_short_cap,,,results\gf_tailored_bc_optimization_round\raw\opt_high_imbalance_seed3201_hard_callback_selector_gini_branch_60s.json
high_imbalance_seed3201_hard,plain_fixed_interval_mip,60,wrapper_timeout_or_native_no_final_json,unavailable,hard_interval_solver_did_not_finalize_under_short_cap,,,results\gf_tailored_bc_optimization_round\raw\opt_high_imbalance_seed3201_hard_plain_fixed_interval_mip_60s.json
high_imbalance_seed3201_hard,static_tailored_safe,60,wrapper_timeout_or_native_no_final_json,unavailable,hard_interval_solver_did_not_finalize_under_short_cap,,,results\gf_tailored_bc_optimization_round\raw\opt_high_imbalance_seed3201_hard_static_tailored_safe_60s.json
