source,instance_name,method,status,method_scope,solves_original_objective,is_bpc,certified_original_problem,verifier_passed,gap,unresolved_intervals,invalid_bound_intervals,open_nodes,audit_passed,failure_count,failures,warnings
results\heuristic_relaxation_dataset_round\raw\certificate_basis_after_patch.json,gcap_smoke_V4_M1.txt,certificate-basis-test,diagnostic_passed,diagnostic,False,False,False,True,1.0,0,0,0,True,0,,
results\heuristic_relaxation_dataset_round\raw\cplex_availability_probe.json,gcap_smoke_V4_M1.txt,cplex,optimal,original_compact,True,False,True,True,0.0,0,0,0,True,0,,
results\heuristic_relaxation_dataset_round\raw\option_consistency_after_guard_patch.json,gcap_smoke_V4_M1.txt,option-consistency-test,diagnostic_complete,diagnostic,False,False,False,True,1.0,0,0,0,True,0,,
results\heuristic_relaxation_dataset_round\raw\option_consistency_paper_core.json,gcap_smoke_V4_M1.txt,option-consistency-test,diagnostic_complete,diagnostic,False,False,False,True,1.0,0,0,0,True,0,,
results\heuristic_relaxation_dataset_round\raw\option_consistency_paper_core_after_patch.json,gcap_smoke_V4_M1.txt,option-consistency-test,diagnostic_complete,diagnostic,False,False,False,True,1.0,0,0,0,True,0,,
results\heuristic_relaxation_dataset_round\raw\v12_m1_explicit_heuristic_120s.json,regen_candidate_V12_M1_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.278662646253,2,0,2,True,0,,
results\heuristic_relaxation_dataset_round\raw\v12_m1_paper_core_hga_300s.json,regen_candidate_V12_M1_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.0275121342176,3,0,3,True,0,,
results\heuristic_relaxation_dataset_round\raw\v12_m1_paper_core_hga_after_guard_patch_120s.json,regen_candidate_V12_M1_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.270762887508,2,0,2,True,0,,
results\heuristic_relaxation_dataset_round\raw\v12_m1_primal_hga_tgbc.json,regen_candidate_V12_M1_average.txt,primal-heuristic,heuristic_incumbent_verified,diagnostic,False,False,False,True,1.0,0,0,0,True,0,,
results\heuristic_relaxation_dataset_round\raw\v12_m2_bpc_owned_portfolio_probe.json,regen_candidate_V12_M2_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.624986804491,2,0,0,True,0,,
results\heuristic_relaxation_dataset_round\raw\v12_m2_diagnostic_archive_120s.json,regen_candidate_V12_M2_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.036766938758,1,0,1,True,0,,
results\heuristic_relaxation_dataset_round\raw\v12_m2_empty_120s.json,regen_candidate_V12_M2_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.482219941077,3,0,3,True,0,,
results\heuristic_relaxation_dataset_round\raw\v12_m2_explicit_heuristic_120s.json,regen_candidate_V12_M2_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.369998029918,2,0,2,True,0,,
results\heuristic_relaxation_dataset_round\raw\v12_m2_paper_core_hga_300s.json,regen_candidate_V12_M2_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.0891683194372,3,0,3,True,0,,
results\heuristic_relaxation_dataset_round\raw\v12_m2_paper_core_hga_after_guard_patch_120s.json,regen_candidate_V12_M2_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.216915683591,2,0,2,True,0,,
results\heuristic_relaxation_dataset_round\raw\v12_m2_primal_hga_tgbc.json,regen_candidate_V12_M2_average.txt,primal-heuristic,heuristic_incumbent_verified,diagnostic,False,False,False,True,1.0,0,0,0,True,0,,
results\heuristic_relaxation_dataset_round\raw\v12_m2_primal_hga_tgbc_after_patch.json,regen_candidate_V12_M2_average.txt,primal-heuristic,heuristic_incumbent_verified,diagnostic,False,False,False,True,1.0,0,0,0,True,0,,
results\heuristic_relaxation_dataset_round\raw\v4_paper_core_30s.json,gcap_smoke_V4_M1.txt,gcap-frontier,optimal,original_bpc,True,True,True,True,0.0,0,0,0,True,0,,
results\heuristic_relaxation_dataset_round\raw\v4_paper_core_after_guard_patch_30s.json,gcap_smoke_V4_M1.txt,gcap-frontier,optimal,original_bpc,True,True,True,True,0.0,0,0,0,True,0,,
results\heuristic_relaxation_dataset_round\raw\v4_paper_core_after_patch_30s.json,gcap_smoke_V4_M1.txt,gcap-frontier,optimal,original_bpc,True,True,True,True,0.0,0,0,0,True,0,,
