instance,seed,run_id,mode,label,objective,G,P,route_count,served_station_count,total_pickup,total_drop,depot_unload,route_durations,verifier_passed,runtime,accepted_as_best,exported_incumbent_path
round32_multi_m_moderate_V50_M4_seed721910669.txt,20260626,1,greedy,deterministic_tgbc_greedy_mode_0,0.838013,0.232336,4.03784,4,27,82,73,9,"3581.25|3551.22|3589.33|3443.4",true,0.0053179,true,
round32_multi_m_moderate_V50_M4_seed721910669.txt,20260626,2,greedy,deterministic_tgbc_greedy_mode_1,0.65148,0.212245,2.92823,4,16,90,65,25,"3599.76|3579.83|3594.12|3565.17",true,0.0098371,true,
round32_multi_m_moderate_V50_M4_seed721910669.txt,20260626,3,greedy,deterministic_tgbc_greedy_mode_2,0.632793,0.205665,2.84753,4,18,95,80,15,"3485.99|3590.3|3599.88|3594.56",true,0.0151382,true,
