number,id,arm,leaf_id,solve_kind,native_log,line,raw_line,scope,event,native_objective,rounded_native_seconds
12,S12,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\S12\DS\external\native_logs\L0_terminal_mip.gurobi.log,69,H  149   100                       0.0671089    0.05176  22.9%  21.6    1s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0671089,1.0
12,S12,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\S12\DS\external\native_logs\L0_terminal_mip.gurobi.log,70,H  149   100                       0.0670300    0.05176  22.8%  21.6    1s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.06703,1.0
12,S12,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\S12\DS\external\native_logs\L0_terminal_mip.gurobi.log,71,H  149   100                       0.0664570    0.05176  22.1%  21.6    1s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.066457,1.0
12,S12,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\S12\DS\external\native_logs\L0_terminal_mip.gurobi.log,72,*  202   112              25       0.0638284    0.05211  18.4%  21.7    1s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0638284,1.0
12,S12,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\S12\DS\external\native_logs\L0_terminal_mip.gurobi.log,73,*  230    88              27       0.0595110    0.05276  11.3%  20.7    1s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.059511,1.0
12,S12,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\S12\DS\external\native_logs\L0_terminal_mip.gurobi.log,74,*  314    91              15       0.0585640    0.05419  7.46%  20.1    1s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.058564,1.0
14,N12,VD-S,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\N12\VD-S\external\native_logs\L0_terminal_mip.gurobi.log,28,Loaded user MIP start with objective 0.816238,Native telemetry; no independent intermediate vector retained,Loaded user MIP start with objective,0.816238,
14,N12,VD-S,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\N12\VD-S\external\native_logs\L0_terminal_mip.gurobi.log,56,*  433   109              21       0.8129181    0.75112  7.60%  35.8    1s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.8129181,1.0
14,N12,VD-S,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\N12\VD-S\external\native_logs\L0_terminal_mip.gurobi.log,57,*  636    51              12       0.8046255    0.78776  2.10%  32.7    1s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.8046255,1.0
15,N12,DS,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\N12\DS\external\native_logs\L0_terminal_mip.gurobi.log,28,Loaded user MIP start with objective 0.919588,Native telemetry; no independent intermediate vector retained,Loaded user MIP start with objective,0.919588,
