number,id,arm,run_cap,checkpoint,conservative_overhead_shift,trace_event_count,trace_last_time,final_witness_backdated,certificate,verified_retained_UB,comparison_UB,LB,UB_scope,LB_scope,signed_gap,relative_gap,completed_wall,algorithm_reported_verified_UB,initial_witness_available_by,startup_full_route_sha256
26,D6,P-GRB,600,300,0.014015000081940343,1484,290.8714453000819,False,False,,0.15777481424266704,0.14376677030141793,Native incumbent telemetry; no complete intermediate vector retained,Original compact MIP callback bound,0.014008043941249104,0.08878504473916794,,,,
26,D6,P-GRB,600,600,0.014015000081940343,2477,595.5525303000819,False,False,0.1572411758522922,0.1572411758522922,0.14498588325431813,Completed run: independently checked final routes,Completed full original-problem bound,0.01225529259797406,0.07793946166801963,597.313000000082,,,
27,D6,VD-S,600,300,0.03635340008190724,0,,False,False,0.15708313110317407,0.15708313110317407,0.0,Retained initial witness linked by full hash to its verified HGA event; conservative generation-completion timestamp,"Complete-frontier trace, or mathematical nonnegative bound before exact initialization",0.15708313110317407,1.0,,,12.49067940008188,b22331e7663cc630a7413ae81c8fa43ec166241a5a109520fd9bd5bda6b7e26c
27,D6,VD-S,600,600,0.03635340008190724,65,597.0604822000819,False,False,0.15708313110317415,0.15708313110317415,0.14568020676209595,Completed run: independently checked final routes,Completed full original-problem bound,0.011402924341078202,0.07259165424700263,597.063000000082,,,
28,D6,DS,600,300,0.03374570008190858,86,291.10488710008207,False,False,0.1600272806044027,0.1600272806044027,0.146938094795314,Retained DS initial witness linked by full hash to verified event; conservative decoded_descent_complete timestamp,"Complete-frontier trace, or mathematical nonnegative bound before exact initialization",0.013089185809088688,0.08179346521200946,,0.16002728060440277,5.546399800081908,2ada44195e0501604ce5873463213652754f7a13917a02018581b7a217f9b19c
28,D6,DS,600,600,0.03374570008190858,178,597.0595755000819,False,False,0.15708313110317415,0.15708313110317415,0.15008706391847396,Completed run: independently checked final routes,Completed full original-problem bound,0.006996067184700194,0.044537355065230336,597.063000000082,,,
29,D6,K1-R,600,300,0.028319299746726756,0,,False,False,0.15708313110317407,0.15708313110317407,0.0,Retained initial witness linked by full hash to its verified HGA event; conservative generation-completion timestamp,"Complete-frontier trace, or mathematical nonnegative bound before exact initialization",0.15708313110317407,1.0,,,12.349793899746697,b22331e7663cc630a7413ae81c8fa43ec166241a5a109520fd9bd5bda6b7e26c
29,D6,K1-R,600,600,0.028319299746726756,81,597.0664831997467,False,False,0.15708313110317415,0.15708313110317415,0.14334096616313421,Completed run: independently checked final routes,Completed full original-problem bound,0.013742164940039936,0.08748339075959666,597.0779999997467,,,
30,D7,P-GRB,600,300,0.026365099746726628,221,296.4591139997467,False,False,,0.33391683958210283,0.19433346213470226,Native incumbent telemetry; no complete intermediate vector retained,Original compact MIP callback bound,0.13958337744740057,0.4180183833258882,,,,
30,D7,P-GRB,600,600,0.026365099746726628,575,597.0314490997467,False,False,0.29018624629581247,0.29018624629581247,0.19695492691463842,Completed run: independently checked final routes,Completed full original-problem bound,0.09323131938117404,0.3212809723798389,597.0779999997467,,,
31,D7,VD-S,600,300,0.023939800041034687,0,,False,False,,,0,No earlier availability inferred for the retained startup-deadline witness,Universal nonnegative objective on the full original domain; exact proof never started,,,,,597.080900200041,356124388ee9c761491b4bf926abb98c21b41fdeff8f76b6e388b33af2287170
31,D7,VD-S,600,600,0.023939800041034687,0,,False,False,0.21564407531579505,0.21564407531579505,0,Completed startup-only run: independently checked retained HGA routes,Universal nonnegative objective on the full original domain; exact proof never started,0.21564407531579505,1,597.094000000041,,597.080900200041,356124388ee9c761491b4bf926abb98c21b41fdeff8f76b6e388b33af2287170
32,D7,DS,600,300,0.0327231000409256,5,17.643076300040924,False,False,0.6945633798694336,0.6945633798694336,0.18593747661188215,Retained DS initial witness linked by full hash to verified event; conservative decoded_descent_complete timestamp,"Complete-frontier trace, or mathematical nonnegative bound before exact initialization",0.5086259032575515,0.7322958825631791,,0.6945633798694341,2.8314282000409254,d4e0490b7ae4c8498011489968c9c85ceefabbd5057dd1977ea742d54e0863c2
32,D7,DS,600,600,0.0327231000409256,48,597.0855206000409,False,False,0.33196578761179407,0.33196578761179407,0.20407715858329653,Completed run: independently checked final routes,Completed full original-problem bound,0.12788862902849754,0.38524641333839044,597.094000000041,,,
33,D7,K1-R,600,300,0.030160699910538824,0,,False,False,,,0,No earlier availability inferred for the retained startup-deadline witness,Universal nonnegative objective on the full original domain; exact proof never started,,,,,597.1918240999105,356124388ee9c761491b4bf926abb98c21b41fdeff8f76b6e388b33af2287170
33,D7,K1-R,600,600,0.030160699910538824,0,,False,False,0.21564407531579505,0.21564407531579505,0,Completed startup-only run: independently checked retained HGA routes,Universal nonnegative objective on the full original domain; exact proof never started,0.21564407531579505,1,597.2039999999106,,597.1918240999105,356124388ee9c761491b4bf926abb98c21b41fdeff8f76b6e388b33af2287170
