number,id,arm,tree_rows,roots,replaced,independently_recomputed_interval_union,initial_range_covers_G_le_verified_F,legal_global_lower_bound,physical,native_optimize_calls,full_retained_route_sha256,full_verified_event_link,conservative_witness_available_by,coverage_scope,certificate,raw_tree_flags_remain_false,script_sha256
2,micro,VD-S,1,1,0,True,True,,,,,,,,,,
3,micro,DS,1,1,0,True,True,,,,,,,,,,
5,micro-zero,VD-S,17,1,8,True,True,,,,,,,,,,
6,micro-zero,DS,17,1,8,True,True,,,,,,,,,,
8,E7,VD-S,1,1,0,True,True,,,,,,,,,,
9,E7,DS,1,1,0,True,True,,,,,,,,,,
11,S12,VD-S,1,1,0,True,True,,,,,,,,,,
12,S12,DS,1,1,0,True,True,,,,,,,,,,
14,N12,VD-S,1,1,0,True,True,,,,,,,,,,
15,N12,DS,1,1,0,True,True,,,,,,,,,,
17,D3,VD-S,1,1,0,True,True,,,,,,,,,,
18,D3,DS,1,1,0,True,True,,,,,,,,,,
19,D3,K1-R,1,1,0,True,True,,,,,,,,,,
21,C2,VD-S,3,1,1,True,True,,,,,,,,,,
22,C2,DS,3,1,1,True,True,,,,,,,,,,
24,D4,VD-S,1,1,0,True,True,,,,,,,,,,
25,D4,DS,1,1,0,True,True,,,,,,,,,,
27,D6,VD-S,3,1,1,True,True,,,,,,,,,,
28,D6,DS,3,1,1,True,True,,,,,,,,,,
29,D6,K1-R,3,1,1,True,True,,,,,,,,,,
31,D7,VD-S,,,,,,0,"{'F': 0.21564407531579494, 'G': 0.03872267378877319, 'P': 1.179476010180145, 'stations': 50, 'pickup': 228, 'drop': 228, 'maximum_duration': 17975.490961810894, 'original_T_feasible': True}",0,356124388ee9c761491b4bf926abb98c21b41fdeff8f76b6e388b33af2287170,True,597.0569604,Universal nonnegative objective covers the full original domain; no proof tree was started,False,True,97aa1431b067218574223e44b7ac53757d5da2a2eb527bc1dd1cc823dec7cbb4
32,D7,DS,1,1,0,True,True,,,,,,,,,,
33,D7,K1-R,,,,,,0,"{'F': 0.21564407531579494, 'G': 0.03872267378877319, 'P': 1.179476010180145, 'stations': 50, 'pickup': 228, 'drop': 228, 'maximum_duration': 17975.490961810894, 'original_T_feasible': True}",0,356124388ee9c761491b4bf926abb98c21b41fdeff8f76b6e388b33af2287170,True,597.1616634,Universal nonnegative objective covers the full original domain; no proof tree was started,False,True,97aa1431b067218574223e44b7ac53757d5da2a2eb527bc1dd1cc823dec7cbb4
