id,cap,candidate_arm,candidate_number,reference_number,reference,candidate_certificate,reference_certificate,wall_delta,UB_delta,LB_delta,signed_gap_delta,paired_build,uniform_affinity_mask,same_paid_initial_routes,practical_classification,bound_tradeoff
E7,120,VD-S,8,7,P-GRB,True,True,4.32799999974668,0.0,3.469446951953614e-17,-3.469446951953614e-17,True,4,,material_regression,aligned_or_unchanged
E7,120,DS,9,7,P-GRB,True,True,-0.12600000016391277,0.0,0.0,0.0,True,4,,below_practical_threshold,aligned_or_unchanged
E7,120,DS,9,8,VD-S,True,True,-4.453999999910593,0.0,-3.469446951953614e-17,3.469446951953614e-17,True,4,False,material_improvement,aligned_or_unchanged
S12,120,VD-S,11,10,P-GRB,True,True,34.0,-6.938893903907228e-18,-2.3592239273284576e-16,2.2898349882893854e-16,True,4,,severe_regression,aligned_or_unchanged
S12,120,DS,12,10,P-GRB,True,True,-3.0929999998770654,-6.938893903907228e-18,-2.0816681711721685e-17,1.3877787807814457e-17,True,4,,material_improvement,aligned_or_unchanged
S12,120,DS,12,11,VD-S,True,True,-37.092999999877065,0.0,2.1510571102112408e-16,-2.1510571102112408e-16,True,4,False,severe_improvement,aligned_or_unchanged
N12,120,VD-S,14,13,P-GRB,True,True,-0.2509999996982515,0.0,-8.881784197001252e-16,8.881784197001252e-16,True,4,,below_practical_threshold,aligned_or_unchanged
N12,120,DS,15,13,P-GRB,True,True,-2.437999999616295,0.0,-1.9984014443252818e-15,1.9984014443252818e-15,True,4,,material_improvement,aligned_or_unchanged
N12,120,DS,15,14,VD-S,True,True,-2.1869999999180436,0.0,-1.1102230246251565e-15,1.1102230246251565e-15,True,4,False,material_improvement,aligned_or_unchanged
D3,300,VD-S,17,16,P-GRB,True,False,-212.8760000001639,-5.2611524906265306e-05,0.0034232416346500413,-0.0034758531595563066,True,4,,certificate_gain,aligned_or_unchanged
D3,300,VD-S,17,19,K1-R,True,False,-212.8760000001639,-5.2611524906265306e-05,0.001107701272843091,-0.0011603127977493563,True,4,True,certificate_gain,aligned_or_unchanged
D3,300,DS,18,16,P-GRB,False,False,0.0,-5.2611524906265306e-05,0.0016418864246858372,-0.0016944979495921025,True,4,,material_improvement,aligned_or_unchanged
D3,300,DS,18,17,VD-S,False,True,212.8760000001639,0.0,-0.001781355209964204,0.001781355209964204,True,4,False,certificate_loss,aligned_or_unchanged
D3,300,DS,18,19,K1-R,False,False,0.0,-5.2611524906265306e-05,-0.0006736539371211131,0.0006210424122148478,True,4,False,below_practical_threshold,mixed
