leaf_id,parent_id,depth,child_index,gamma_L,gamma_U,base_lower_bound,lower_bound,status,lp_complete,lp_optimal,lp_infeasible,lp_bound,terminal_mip_started,terminal_ready,coalesced_block_id,coverage_member_ids,c6_native_phase_count,c6_frontier_milestone_reached,c6_children_ready,single_child_contraction_parent,strict_infeasible_half_verified,contracted_infeasible_gamma_L,contracted_infeasible_gamma_U,contraction_source,closure_source,lower_bound_sources
L0,"",0,-1,0,0.83709146755470198,0,0.60266646769806487,replaced,1,1,0,0.60266646769806487,0,0,"","",0,0,0,0,0,,,"","","objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation"
L0.0,"L0",1,0,0,0.41854573377735099,0.60401011725578979,0.82996341317177413,closed,1,1,0,0.60401011725578979,1,1,"","",1,0,0,0,0,,,"","native_terminal_mip_optimal","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;valid_child_target_native_bound;native_terminal_mip_bound"
L0.1,"L0",1,1,0.41854573377735099,0.83709146755470198,0.60266646769806487,0.83709146755470198,empty,1,0,1,0,0,0,"","",0,0,0,0,0,,,"","complete_child_lp_infeasible","inherited_parent_lp_bound"
