generation,elapsed_seconds,best_fitness,strict_improvement
0,0.0016069999999999999,-0.66558824167242658,true
1,0.0037553,-0.66558824167242658,false
2,0.005398,-0.63504489295443856,true
3,0.0067729000000000001,-0.63504489295443856,false
4,0.0085015000000000004,-0.63504489295443856,false
5,0.010400299999999999,-0.57627764727855935,true
6,0.0128159,-0.57121527103292769,true
7,0.0152868,-0.57121527103292769,false
8,0.017468299999999999,-0.57121527103292769,false
9,0.019222800000000002,-0.57121527103292769,false
10,0.021314799999999998,-0.55367617443845063,true
11,0.022824500000000001,-0.55367617443845063,false
12,0.024926,-0.55367617443845063,false
13,0.0266558,-0.55367617443845063,false
14,0.027957900000000001,-0.55367617443845063,false
15,0.029191700000000001,-0.55367617443845063,false
16,0.0304047,-0.55367617443845063,false
17,0.031667599999999997,-0.55367617443845063,false
18,0.0335301,-0.55367617443845063,false
19,0.034246199999999997,-0.55367617443845063,false
20,0.0357472,-0.55367617443845063,false
21,0.037229400000000003,-0.55367617443845063,false
22,0.038259799999999997,-0.55367617443845063,false
23,0.039392799999999999,-0.55367617443845063,false
24,0.041152800000000003,-0.55367617443845063,false
25,0.042854900000000001,-0.55367617443845063,false
26,0.043711800000000002,-0.55367617443845063,false
27,0.045425199999999999,-0.55367617443845063,false
28,0.046263199999999997,-0.55367617443845063,false
29,0.047371700000000003,-0.55367617443845063,false
30,0.048531699999999997,-0.55367617443845063,false
31,0.049597299999999997,-0.55367617443845063,false
32,0.050901399999999999,-0.55367617443845063,false
33,0.051780300000000001,-0.55367617443845063,false
34,0.052819900000000003,-0.55367617443845063,false
35,0.053980500000000001,-0.55367617443845063,false
36,0.054723300000000002,-0.55367617443845063,false
37,0.055326500000000001,-0.55367617443845063,false
38,0.056501500000000003,-0.55367617443845063,false
39,0.057497699999999999,-0.55367617443845063,false
40,0.0585339,-0.55367617443845063,false
41,0.059179299999999997,-0.55367617443845063,false
42,0.060286600000000003,-0.55367617443845063,false
43,0.061407900000000001,-0.55367617443845063,false
44,0.062080099999999999,-0.55367617443845063,false
45,0.062971200000000005,-0.55367617443845063,false
46,0.064633599999999999,-0.55367617443845063,false
47,0.065834299999999998,-0.55367617443845063,false
48,0.066808599999999996,-0.55367617443845063,false
49,0.068570900000000004,-0.55367617443845063,false
50,0.069364400000000007,-0.55367617443845063,false
51,0.070229899999999998,-0.55367617443845063,false
52,0.071913599999999994,-0.55367617443845063,false
53,0.073728000000000002,-0.55367617443845063,false
54,0.074541399999999994,-0.55367617443845063,false
55,0.0752771,-0.55367617443845063,false
56,0.076026200000000002,-0.55367617443845063,false
57,0.077896699999999999,-0.55367617443845063,false
58,0.078897900000000007,-0.55367617443845063,false
59,0.079993999999999996,-0.55367617443845063,false
60,0.081319000000000002,-0.55367617443845063,false
61,0.082565399999999997,-0.55367617443845063,false
62,0.083195099999999994,-0.55367617443845063,false
63,0.084157300000000004,-0.55367617443845063,false
64,0.0846557,-0.55367617443845063,false
