parent_id,eligible,decision_valid,split,child_infeasibility_trigger,strict_bound_trigger,normalized_disjunction_gain,parent_native_bound_target,target_phase_required,reason
L2,true,1,1,0,0,0.0438432,,0,"normalized_child_disjunction_gain_reaches_rho"
L2.0,true,1,1,1,0,,,0,"complete_child_lp_infeasibility"
L2.0.1,true,1,1,0,0,0.0847308,,0,"normalized_child_disjunction_gain_reaches_rho"
L2.0.1.0,true,1,1,0,0,0.0807709,,0,"normalized_child_disjunction_gain_reaches_rho"
L2.0.1.0.0,true,1,1,1,0,,,0,"complete_child_lp_infeasibility"
L2.0.1.0.1,true,1,1,0,0,0.0436965,,0,"normalized_child_disjunction_gain_reaches_rho"
L2.0.1.1,true,1,1,0,0,0.0212241,,0,"normalized_child_disjunction_gain_reaches_rho"
L2.0.1.1.0,true,1,1,0,0,0.0308205,,0,"normalized_child_disjunction_gain_reaches_rho"
L2.0.1.0.0.1,true,1,1,0,0,0.0239228,,0,"normalized_child_disjunction_gain_reaches_rho"
L2.0.1.0.1.0,true,1,1,0,0,0.0233537,,0,"normalized_child_disjunction_gain_reaches_rho"
L2.0.1.0.1.1,true,1,1,0,0,0.0229242,,0,"normalized_child_disjunction_gain_reaches_rho"
L2.0.1.1.0.0,true,1,1,0,0,0.0174055,,0,"normalized_child_disjunction_gain_reaches_rho"
L2.0.1.0.0.1.0,true,1,1,1,0,,,0,"complete_child_lp_infeasibility"
L2.0.1.0.0.1.1,true,1,1,0,0,0.0120448,,0,"normalized_child_disjunction_gain_reaches_rho"
L2.0.1.0.1.0.0,true,1,1,0,0,0.0119697,,0,"normalized_child_disjunction_gain_reaches_rho"
L2.0.1.0.1.0.1,true,1,1,0,0,0.0119433,,0,"normalized_child_disjunction_gain_reaches_rho"
L2.0.1.0.1.1.0,true,1,1,0,0,0.0118352,,0,"normalized_child_disjunction_gain_reaches_rho"
L2.0.1.0.1.1.1,true,1,1,0,0,0.0117548,,0,"normalized_child_disjunction_gain_reaches_rho"
L2.0.1.0.0.1.0.1,true,1,1,1,0,,,0,"complete_child_lp_infeasibility"
L2.0.1.0.0.1.1.0,true,1,0,0,0,0.00627534,0.647545,1,"small_positive_disjunction_gain_requires_parent_native_target"
L2.0.1.1.0.0.0,true,1,1,0,0,0.0108568,,0,"normalized_child_disjunction_gain_reaches_rho"
L2.0.1.0.0.1.1.1,true,1,0,0,0,0.00606443,0.647586,1,"small_positive_disjunction_gain_requires_parent_native_target"
L2.0.1.0.1.0.0.0,true,1,0,0,0,0.00605929,0.647649,1,"small_positive_disjunction_gain_requires_parent_native_target"
L2.0.1.0.1.0.0.1,true,1,0,0,0,0.00605448,0.647714,1,"small_positive_disjunction_gain_requires_parent_native_target"
L2.0.1.1.0.1,true,1,1,0,0,0.015584,,0,"normalized_child_disjunction_gain_reaches_rho"
L2.0.1.0.1.0.1.0,true,1,0,0,0,0.00605,0.647782,1,"small_positive_disjunction_gain_requires_parent_native_target"
L2.0.1.0.1.0.1.1,true,1,0,0,0,0.00604083,0.647853,1,"small_positive_disjunction_gain_requires_parent_native_target"
L2.0.1.0.1.1.0.0,true,1,0,0,0,0.00601544,0.647927,1,"small_positive_disjunction_gain_requires_parent_native_target"
L2.0.1.0.0.1.0.1.1,false,true,false,false,false,,,false,"structurally_terminal"
L2.0.1.0.1.1.0.1,true,1,0,0,0,0.00599441,0.648005,1,"small_positive_disjunction_gain_requires_parent_native_target"
L2.0.1.0.1.1.1.0,true,1,0,0,0,0.00597374,0.648085,1,"small_positive_disjunction_gain_requires_parent_native_target"
L2.0.1.1.0.0.1,true,1,0,0,0,0.00868052,0.648339,1,"small_positive_disjunction_gain_requires_parent_native_target"
L2.0.1.0.1.1.1.1,true,1,0,0,0,0.00595342,0.648167,1,"small_positive_disjunction_gain_requires_parent_native_target"
L2.0.1.1.0.0.0.0,true,1,0,0,0,0.00551385,0.648282,1,"small_positive_disjunction_gain_requires_parent_native_target"
L2.0.1.1.0.0.0.1,true,1,0,0,0,0.00549991,0.648433,1,"small_positive_disjunction_gain_requires_parent_native_target"
L2.0.1.1.0.1.0,true,1,0,0,0,0.00841924,0.64899,1,"small_positive_disjunction_gain_requires_parent_native_target"
L2.0.1.1.0.1.1,true,1,0,0,0,0.00777393,0.649702,1,"small_positive_disjunction_gain_requires_parent_native_target"
L2.0.1.1.1,true,1,0,0,0,0.00305525,0.650255,1,"small_positive_disjunction_gain_requires_parent_native_target"
L2.0.1.0.0.1.1.1.0,false,true,false,false,false,,,false,"structurally_terminal"
L2.0.1.0.0.1.1.1.1,false,true,false,false,false,,,false,"structurally_terminal"
L2.0.1.0.1.0.0.0.0,false,true,false,false,false,,,false,"structurally_terminal"
L2.0.1.0.1.0.0.0.1,false,true,false,false,false,,,false,"structurally_terminal"
L2.0.1.0.1.0.0.1.0,false,true,false,false,false,,,false,"structurally_terminal"
L2.0.1.0.1.0.0.1.1,false,true,false,false,false,,,false,"structurally_terminal"
L2.0.1.0.1.0.1.0.0,false,true,false,false,false,,,false,"structurally_terminal"
L2.0.1.0.1.0.1.0.1,false,true,false,false,false,,,false,"structurally_terminal"
L2.0.1.1.0.0.1.0,true,1,0,0,0,0,,0,"no_strict_child_disjunction_gain"
L2.0.1.1.0.0.1.1,true,1,0,0,0,0,,0,"no_strict_child_disjunction_gain"
