station,initial_inventory,target_inventory,final_inventory
0,50000,0,50000
1,6,10,6
2,13,9,13
3,16,12,16
4,7,11,11
5,8,12,12
6,16,12,13
7,7,11,11
8,15,11,12
9,13,10,10
10,20,15,15
11,14,10,10
12,9,14,14
13,5,9,8
14,16,12,12
15,5,8,8
16,15,11,12
17,15,11,11
18,7,11,7
19,7,11,10
20,7,11,10
