file,instance_name,method,status,objective,lower_bound,upper_bound,gap,runtime_seconds,nodes,cplex_threads,solver_thread_policy,thread_fairness_class,verifier_passed
results\gf_compact_bc_strengthening_round2\raw\cplex_high_imbalance_seed3201_300s.json,high_imbalance_seed3201.txt,cplex,not_certified,2.4857755707,1.9752057901,2.4857755707,0.205396571847,300.1112064,12541,1,plain_cplex_single_thread,one_thread_fair,True
results\gf_compact_bc_strengthening_round2\raw\cplex_high_imbalance_seed3202_300s.json,high_imbalance_seed3202.txt,cplex,not_certified,2.84302481605,1.065564977,2.84302481605,0.625200254678,300.1040023,4325,1,plain_cplex_single_thread,one_thread_fair,True
results\gf_compact_bc_strengthening_round2\raw\cplex_moderate_seed3301_300s.json,moderate_seed3301.txt,cplex,not_certified,0.0708971719272,0.037855763566,0.0708971719272,0.466046916443,300.1834619,26015,1,plain_cplex_single_thread,one_thread_fair,True
results\gf_compact_bc_strengthening_round2\raw\cplex_moderate_seed3302_300s.json,moderate_seed3302.txt,cplex,not_certified,0.240322552078,0.11447611398,0.240322552078,0.523656381849,300.0709947,20921,1,plain_cplex_single_thread,one_thread_fair,True
results\gf_compact_bc_strengthening_round2\raw\cplex_tight_T_seed3101_300s.json,tight_T_seed3101.txt,cplex,not_certified,0.164288019982,0.015858939732,0.164288019982,0.903468678156,300.0750342,25202,1,plain_cplex_single_thread,one_thread_fair,True
results\gf_compact_bc_strengthening_round2\raw\cplex_tight_T_seed3102_300s.json,tight_T_seed3102.txt,cplex,not_certified,0.615024499475,0.46535576616,0.615024499475,0.243354099622,300.1126042,37936,1,plain_cplex_single_thread,one_thread_fair,True
results\gf_compact_bc_strengthening_round2\raw\cplex_V100_M5_moderate_60s.json,V100_M5_moderate_seed6101.txt,cplex,not_certified,1.71629103286,0.26325283804,1.71629103286,0.846615269206,60.848605,0,1,plain_cplex_single_thread,one_thread_fair,True
results\gf_compact_bc_strengthening_round2\raw\cplex_v12_m1_300s.json,regen_candidate_V12_M1_average.txt,cplex,optimal,0.357200583208,0.357200583208,0.357200583208,0,186.8480463,143037,1,plain_cplex_single_thread,one_thread_fair,True
results\gf_compact_bc_strengthening_round2\raw\cplex_v12_m2_300s.json,regen_candidate_V12_M2_average.txt,cplex,not_certified,0.72439493548,0.62335151797,0.72439493548,0.13948664266,300.1175744,197747,1,plain_cplex_single_thread,one_thread_fair,True
results\gf_compact_bc_strengthening_round2\raw\cplex_v12_m2_30s.json,regen_candidate_V12_M2_average.txt,cplex,not_certified,0.763100112808,0.53695065571,0.763100112808,0.296356209759,30.1518808,26916,1,plain_cplex_single_thread,one_thread_fair,True
results\gf_compact_bc_strengthening_round2\raw\cplex_V50_M3_high_imbalance_300s.json,V50_M3_high_imbalance_seed5201.txt,cplex,not_certified,4.68211852373,2.1860327089,4.68211852373,0.533110343572,300.2101502,837,1,plain_cplex_single_thread,one_thread_fair,True
results\gf_compact_bc_strengthening_round2\raw\cplex_V50_M3_moderate_300s.json,V50_M3_moderate_seed5101.txt,cplex,not_certified,1.37151140999,0.23958431171,1.37151140999,0.825313657644,300.2031868,1321,1,plain_cplex_single_thread,one_thread_fair,True
