file,method,algorithm_preset,status,thread_fairness_class,compact_bc_enabled_families_effective,audit_passed,failures
results\gf_compact_bc_strengthening_round2\raw\cplex_high_imbalance_seed3201_300s.json,cplex,custom,not_certified,one_thread_fair,,True,
results\gf_compact_bc_strengthening_round2\raw\cplex_high_imbalance_seed3202_300s.json,cplex,custom,not_certified,one_thread_fair,,True,
results\gf_compact_bc_strengthening_round2\raw\cplex_moderate_seed3301_300s.json,cplex,custom,not_certified,one_thread_fair,,True,
results\gf_compact_bc_strengthening_round2\raw\cplex_moderate_seed3302_300s.json,cplex,custom,not_certified,one_thread_fair,,True,
results\gf_compact_bc_strengthening_round2\raw\cplex_tight_T_seed3101_300s.json,cplex,custom,not_certified,one_thread_fair,,True,
results\gf_compact_bc_strengthening_round2\raw\cplex_tight_T_seed3102_300s.json,cplex,custom,not_certified,one_thread_fair,,True,
results\gf_compact_bc_strengthening_round2\raw\cplex_V100_M5_moderate_60s.json,cplex,custom,not_certified,one_thread_fair,,True,
results\gf_compact_bc_strengthening_round2\raw\cplex_v12_m1_300s.json,cplex,custom,optimal,one_thread_fair,,True,
results\gf_compact_bc_strengthening_round2\raw\cplex_v12_m2_300s.json,cplex,custom,not_certified,one_thread_fair,,True,
results\gf_compact_bc_strengthening_round2\raw\cplex_v12_m2_30s.json,cplex,custom,not_certified,one_thread_fair,,True,
results\gf_compact_bc_strengthening_round2\raw\cplex_V50_M3_high_imbalance_300s.json,cplex,custom,not_certified,one_thread_fair,,True,
results\gf_compact_bc_strengthening_round2\raw\cplex_V50_M3_moderate_300s.json,cplex,custom,not_certified,one_thread_fair,,True,
results\gf_compact_bc_strengthening_round2\raw\dynamic_root_smoke.json,interval-cutoff-oracle,custom,interval_closed,one_thread_fair,movement_reachability_final_inventory_domain|total_station_inventory_conservation|receiver_source_cover_singleton_safe|direct_gini_cap_floor|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure|dynamic_root,True,
results\gf_compact_bc_strengthening_round2\raw\high_imbalance_seed3201_300s_dynamic.json,gcap-frontier,paper-gf-compact-bc,gcap_frontier_not_closed,one_thread_fair,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat|receiver_source_cover,True,
results\gf_compact_bc_strengthening_round2\raw\high_imbalance_seed3201_300s_dynamic_auto_oracle\interval_6.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,one_thread_fair,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,True,
results\gf_compact_bc_strengthening_round2\raw\high_imbalance_seed3201_300s_dynamic_auto_oracle\interval_7.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_closed,one_thread_fair,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,True,
results\gf_compact_bc_strengthening_round2\raw\high_imbalance_seed3202_1200s_dynamic.json,gcap-frontier,paper-gf-compact-bc,optimal,one_thread_fair,,True,
results\gf_compact_bc_strengthening_round2\raw\moderate_seed3301_300s_dynamic.json,gcap-frontier,paper-gf-compact-bc,gcap_frontier_not_closed,one_thread_fair,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat|receiver_source_cover,True,
results\gf_compact_bc_strengthening_round2\raw\moderate_seed3301_300s_dynamic_auto_oracle\interval_10.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_closed,one_thread_fair,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,True,
results\gf_compact_bc_strengthening_round2\raw\moderate_seed3301_300s_dynamic_auto_oracle\interval_11.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_closed,one_thread_fair,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,True,
results\gf_compact_bc_strengthening_round2\raw\moderate_seed3301_300s_dynamic_auto_oracle\interval_2.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,one_thread_fair,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,True,
