file,instance_name,method,algorithm_preset,status,cplex_threads,compact_bc_solver_threads,thread_fairness_class
results\gf_compact_bc_strengthening_round2\raw\cplex_high_imbalance_seed3201_300s.json,high_imbalance_seed3201.txt,cplex,custom,not_certified,1,0,one_thread_fair
results\gf_compact_bc_strengthening_round2\raw\cplex_high_imbalance_seed3202_300s.json,high_imbalance_seed3202.txt,cplex,custom,not_certified,1,0,one_thread_fair
results\gf_compact_bc_strengthening_round2\raw\cplex_moderate_seed3301_300s.json,moderate_seed3301.txt,cplex,custom,not_certified,1,0,one_thread_fair
results\gf_compact_bc_strengthening_round2\raw\cplex_moderate_seed3302_300s.json,moderate_seed3302.txt,cplex,custom,not_certified,1,0,one_thread_fair
results\gf_compact_bc_strengthening_round2\raw\cplex_tight_T_seed3101_300s.json,tight_T_seed3101.txt,cplex,custom,not_certified,1,0,one_thread_fair
results\gf_compact_bc_strengthening_round2\raw\cplex_tight_T_seed3102_300s.json,tight_T_seed3102.txt,cplex,custom,not_certified,1,0,one_thread_fair
results\gf_compact_bc_strengthening_round2\raw\cplex_V100_M5_moderate_60s.json,V100_M5_moderate_seed6101.txt,cplex,custom,not_certified,1,0,one_thread_fair
results\gf_compact_bc_strengthening_round2\raw\cplex_v12_m1_300s.json,regen_candidate_V12_M1_average.txt,cplex,custom,optimal,1,0,one_thread_fair
results\gf_compact_bc_strengthening_round2\raw\cplex_v12_m2_300s.json,regen_candidate_V12_M2_average.txt,cplex,custom,not_certified,1,0,one_thread_fair
results\gf_compact_bc_strengthening_round2\raw\cplex_v12_m2_30s.json,regen_candidate_V12_M2_average.txt,cplex,custom,not_certified,1,0,one_thread_fair
results\gf_compact_bc_strengthening_round2\raw\cplex_V50_M3_high_imbalance_300s.json,V50_M3_high_imbalance_seed5201.txt,cplex,custom,not_certified,1,0,one_thread_fair
results\gf_compact_bc_strengthening_round2\raw\cplex_V50_M3_moderate_300s.json,V50_M3_moderate_seed5101.txt,cplex,custom,not_certified,1,0,one_thread_fair
results\gf_compact_bc_strengthening_round2\raw\dynamic_root_smoke.json,regen_candidate_V12_M2_average.txt,interval-cutoff-oracle,custom,interval_closed,0,0,one_thread_fair
results\gf_compact_bc_strengthening_round2\raw\high_imbalance_seed3201_300s_dynamic.json,high_imbalance_seed3201.txt,gcap-frontier,paper-gf-compact-bc,gcap_frontier_not_closed,0,1,one_thread_fair
results\gf_compact_bc_strengthening_round2\raw\high_imbalance_seed3202_1200s_dynamic.json,high_imbalance_seed3202.txt,gcap-frontier,paper-gf-compact-bc,optimal,0,1,one_thread_fair
results\gf_compact_bc_strengthening_round2\raw\moderate_seed3301_300s_dynamic.json,moderate_seed3301.txt,gcap-frontier,paper-gf-compact-bc,gcap_frontier_not_closed,0,1,one_thread_fair
results\gf_compact_bc_strengthening_round2\raw\moderate_seed3302_300s_dynamic.json,moderate_seed3302.txt,gcap-frontier,paper-gf-compact-bc,gcap_frontier_not_closed,0,1,one_thread_fair
results\gf_compact_bc_strengthening_round2\raw\tight_T_seed3101_300s_dynamic.json,tight_T_seed3101.txt,gcap-frontier,paper-gf-compact-bc,optimal,0,1,one_thread_fair
results\gf_compact_bc_strengthening_round2\raw\tight_T_seed3102_300s_dynamic.json,tight_T_seed3102.txt,gcap-frontier,paper-gf-compact-bc,gcap_frontier_not_closed,0,1,one_thread_fair
results\gf_compact_bc_strengthening_round2\raw\V100_M5_high_imbalance_minimal_30s.json,V100_M5_high_imbalance_seed6201.txt,gcap-frontier,paper-gf-compact-bc,model_size_limit,0,1,one_thread_fair
results\gf_compact_bc_strengthening_round2\raw\V100_M5_moderate_minimal_30s.json,V100_M5_moderate_seed6101.txt,gcap-frontier,paper-gf-compact-bc,model_size_limit,0,1,one_thread_fair
results\gf_compact_bc_strengthening_round2\raw\v12_m1_60s_static.json,regen_candidate_V12_M1_average.txt,gcap-frontier,paper-gf-compact-bc,optimal,0,1,one_thread_fair
results\gf_compact_bc_strengthening_round2\raw\v12_m2_300s_dynamic.json,regen_candidate_V12_M2_average.txt,gcap-frontier,paper-gf-compact-bc,optimal,0,1,one_thread_fair
results\gf_compact_bc_strengthening_round2\raw\V50_M3_high_imbalance_60s.json,V50_M3_high_imbalance_seed5201.txt,gcap-frontier,paper-gf-compact-bc,model_size_limit,0,1,one_thread_fair
results\gf_compact_bc_strengthening_round2\raw\V50_M3_moderate_60s.json,V50_M3_moderate_seed5101.txt,gcap-frontier,paper-gf-compact-bc,model_size_limit,0,1,one_thread_fair
