file,instance_name,algorithm_preset,method,status,certified_original_problem,objective,lower_bound,upper_bound,gap,runtime_seconds,unresolved_intervals,invalid_bound_intervals,open_nodes,compact_interval_bc_enabled,compact_interval_bc_closed_leaves,compact_interval_bc_timed_out_leaves,compact_bc_bound_valid,compact_bc_bound_scope,compact_bc_certificate_valid,compact_bc_enabled_families_requested,compact_bc_enabled_families_effective,compact_bc_total_cuts_added_by_family,compact_bc_total_domains_tightened_by_family,compact_bc_receiver_source_cover_mode,compact_bc_total_root_cut_rounds,compact_bc_dynamic_cut_families,compact_bc_root_probe,compact_bc_dynamic_cut_violation_tol,compact_bc_dynamic_cuts_added_by_family,compact_bc_dynamic_max_violation_by_family,compact_bc_dynamic_cuts_added_total,compact_bc_model_size_policy,compact_bc_rows_estimated,compact_bc_cols_estimated,compact_bc_nonzeros_estimated,compact_bc_memory_estimate_mb,compact_bc_model_rows,compact_bc_model_cols,compact_bc_model_nonzeros,compact_bc_disabled_families_due_to_size,compact_bc_model_size_stop_reason,compact_bc_total_leaf_nodes,compact_bc_total_solver_time,cplex_threads,mip_threads,compact_bc_solver_threads,solver_thread_policy,thread_fairness_class,ablation_variant_semantics,certificate_uses_bpc_tree,no_archive_scanning,no_external_known_ub
results\gf_compact_bc_strengthening_round2\raw\high_imbalance_seed3202_1200s_dynamic.json,high_imbalance_seed3202.txt,paper-gf-compact-bc,gcap-frontier,optimal,True,1.74931345205,1.74931345205,1.74931345205,0,294.5756528,0,0,0,False,0,0,False,none,True,,,none,none,singleton-paper-safe,1,"support,transfer,visit,objective,receiver",lp,1e-06,,,0,full,0,0,0,0,0,0,0,,,0,0,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True
results\gf_compact_bc_strengthening_round2\raw\tight_T_seed3101_300s_dynamic.json,tight_T_seed3101.txt,paper-gf-compact-bc,gcap-frontier,optimal,True,0.107252734134,0.107252734134,0.107252734134,0,190.6129974,0,0,0,False,0,0,False,none,True,,,none,none,singleton-paper-safe,1,"support,transfer,visit,objective,receiver",lp,1e-06,,,0,full,0,0,0,0,0,0,0,,,0,0,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True
results\gf_compact_bc_strengthening_round2\raw\v12_m1_60s_static.json,regen_candidate_V12_M1_average.txt,paper-gf-compact-bc,gcap-frontier,optimal,True,0.357200583208,0.357200583208,0.357200583208,0,66.4138609,0,0,0,True,2,0,True,original_fixed_interval,True,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat,direct_gini_cap=2;direct_gini_floor=2;tight_mccormick=584;inventory_conservation=4;visit_inventory_linking=48;objective_estimator_cutoff=2;penalty_lb=2;gini_spread=132;required_movement=0;global_handling_capacity=2;support_duration_pair=132;support_duration_triple=440;transfer_compat=24;receiver_source_cover=0,movement_reachability=22;low_gini_ratio_band_domains=22,off,0,,lp,1e-06,,,0,full,0,0,0,0,0,0,0,,,8130,32.6663477,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True
results\gf_compact_bc_strengthening_round2\raw\v12_m2_300s_dynamic.json,regen_candidate_V12_M2_average.txt,paper-gf-compact-bc,gcap-frontier,optimal,True,0.718504070755,0.718504070755,0.718504070755,0,292.9198568,0,0,0,False,0,0,False,none,True,,,none,none,singleton-paper-safe,1,"support,transfer,visit,objective,receiver",lp,1e-06,,,0,full,0,0,0,0,0,0,0,,,0,0,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True
