file,instance_name,compact_bc_cut_profile,compact_bc_enabled_cut_families,compact_bc_enabled_families_requested,compact_bc_enabled_families_effective,compact_bc_cuts_added_by_family,compact_bc_domains_tightened_by_family,compact_bc_total_cuts_added_by_family,compact_bc_total_domains_tightened_by_family,compact_bc_receiver_source_cover_mode,compact_bc_total_root_cut_rounds,compact_bc_dynamic_cut_families,compact_bc_root_probe,compact_bc_dynamic_cuts_added_by_family,compact_bc_dynamic_max_violation_by_family,compact_bc_dynamic_cuts_added_total,compact_bc_model_size_policy,compact_bc_model_rows,compact_bc_model_cols,compact_bc_model_nonzeros,compact_bc_memory_estimate_mb,compact_bc_disabled_families_due_to_size,compact_bc_total_leaf_nodes,compact_bc_total_solver_time,compact_bc_solver_threads,thread_fairness_class,compact_bc_direct_gini_cap_rows_added,compact_bc_direct_gini_floor_rows_added,compact_bc_tight_mccormick_rows_added,compact_bc_inventory_conservation_rows_added,compact_bc_movement_reachability_domains_tightened,compact_bc_visit_inventory_linking_rows_added,compact_bc_objective_estimator_cutoff_rows_added,compact_bc_penalty_lb,compact_bc_penalty_lb_rows_added,compact_bc_support_duration_pair_cuts_added,compact_bc_support_duration_triple_cuts_added,compact_bc_pairwise_transfer_compatibility_cuts_added
results\gf_compact_bc_strengthening_round2\raw\dynamic_root_smoke.json,regen_candidate_V12_M2_average.txt,balanced,movement_reachability_final_inventory_domain|total_station_inventory_conservation|receiver_source_cover_singleton_safe|direct_gini_cap_floor|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure|dynamic_root,movement_reachability_final_inventory_domain|total_station_inventory_conservation|receiver_source_cover_singleton_safe|direct_gini_cap_floor|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure|dynamic_root,movement_reachability_final_inventory_domain|total_station_inventory_conservation|receiver_source_cover_singleton_safe|direct_gini_cap_floor|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure|dynamic_root,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=296;inventory_conservation=2;visit_inventory_linking=0;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=0;required_movement=0;global_handling_capacity=0;support_duration_pair=0;support_duration_triple=0;transfer_compat=0;receiver_source_cover=0;dynamic_root_total=6,penalty_domains=0;movement_reachability=12;domain_width_before=656;domain_width_after=472,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=296;inventory_conservation=2;visit_inventory_linking=0;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=0;required_movement=0;global_handling_capacity=0;support_duration_pair=0;support_duration_triple=0;transfer_compat=0;receiver_source_cover=0;dynamic_root_total=6,penalty_domains=0;movement_reachability=12;domain_width_before=656;domain_width_after=472,singleton-paper-safe,1,"support,transfer,visit,objective,receiver",lp,support_duration=0;transfer_compat=0;visit_inventory_linking=6;objective_estimator=0;receiver_source_cover=0,support_duration=0;transfer_compat=0;visit_inventory_linking=27;objective_estimator=0;receiver_source_cover=0,6,full,10047,720,105698,3.73356628418,none,0,0.6988115,0,one_thread_fair,1,1,296,2,12,0,1,0.207141831111,1,0,0,0
results\gf_compact_bc_strengthening_round2\raw\high_imbalance_seed3201_300s_dynamic.json,high_imbalance_seed3201.txt,balanced,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat|receiver_source_cover,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat|receiver_source_cover,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat|receiver_source_cover,direct_gini_cap=2;direct_gini_floor=2;tight_mccormick=896;inventory_conservation=4;visit_inventory_linking=80;objective_estimator_cutoff=2;penalty_lb=2;gini_spread=380;required_movement=2;global_handling_capacity=2;support_duration_pair=1140;support_duration_triple=6840;transfer_compat=120;receiver_source_cover=0,movement_reachability=24;low_gini_ratio_band_domains=24,direct_gini_cap=2;direct_gini_floor=2;tight_mccormick=896;inventory_conservation=4;visit_inventory_linking=80;objective_estimator_cutoff=2;penalty_lb=2;gini_spread=380;required_movement=2;global_handling_capacity=2;support_duration_pair=1140;support_duration_triple=6840;transfer_compat=120;receiver_source_cover=0,movement_reachability=24;low_gini_ratio_band_domains=24,singleton-paper-safe,2,"support,transfer,visit,objective,receiver",lp,,,0,full,0,0,0,0,,3630,66.4005282,1,one_thread_fair,0,0,0,0,0,0,0,0,0,0,0,0
results\gf_compact_bc_strengthening_round2\raw\high_imbalance_seed3201_300s_dynamic_auto_oracle\interval_6.json,high_imbalance_seed3201.txt,balanced,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=448;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=190;required_movement=1;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=0;dynamic_root_total=0,penalty_domains=1;movement_reachability=12;domain_width_before=685;domain_width_after=536,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=448;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=190;required_movement=1;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=0;dynamic_root_total=0,penalty_domains=1;movement_reachability=12;domain_width_before=685;domain_width_after=536,singleton-paper-safe,1,"support,transfer,visit,objective,receiver",lp,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,0,full,9871,2117,53538,2.68876647949,none,0,60.3251348,1,one_thread_fair,1,1,448,2,12,40,1,8.44738686667,1,570,3420,60
results\gf_compact_bc_strengthening_round2\raw\high_imbalance_seed3201_300s_dynamic_auto_oracle\interval_7.json,high_imbalance_seed3201.txt,balanced,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=448;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=190;required_movement=1;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=0;dynamic_root_total=0,penalty_domains=1;movement_reachability=12;domain_width_before=685;domain_width_after=534,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=448;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=190;required_movement=1;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=0;dynamic_root_total=0,penalty_domains=1;movement_reachability=12;domain_width_before=685;domain_width_after=534,singleton-paper-safe,1,"support,transfer,visit,objective,receiver",lp,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,0,full,9871,2117,53538,2.68876647949,none,0,6.0753934,1,one_thread_fair,1,1,448,2,12,40,1,8.44738686667,1,570,3420,60
results\gf_compact_bc_strengthening_round2\raw\moderate_seed3301_300s_dynamic.json,moderate_seed3301.txt,balanced,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat|receiver_source_cover,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat|receiver_source_cover,direct_gini_cap_floor|interval_tight_mccormick|inventory_conservation|movement_reachability_domains|visit_inventory_linking|objective_estimator_cutoff|penalty_lb_closure|gini_spread|required_movement|global_handling_capacity|low_gini_centering|support_duration|transfer_compat|receiver_source_cover,direct_gini_cap=6;direct_gini_floor=6;tight_mccormick=2712;inventory_conservation=12;visit_inventory_linking=240;objective_estimator_cutoff=6;penalty_lb=6;gini_spread=1140;required_movement=29;global_handling_capacity=6;support_duration_pair=3420;support_duration_triple=20520;transfer_compat=360;receiver_source_cover=11,movement_reachability=27;low_gini_ratio_band_domains=75,direct_gini_cap=6;direct_gini_floor=6;tight_mccormick=2712;inventory_conservation=12;visit_inventory_linking=240;objective_estimator_cutoff=6;penalty_lb=6;gini_spread=1140;required_movement=29;global_handling_capacity=6;support_duration_pair=3420;support_duration_triple=20520;transfer_compat=360;receiver_source_cover=11,movement_reachability=27;low_gini_ratio_band_domains=75,singleton-paper-safe,6,"support,transfer,visit,objective,receiver",lp,,,0,full,0,0,0,0,,4906,137.3559304,1,one_thread_fair,0,0,0,0,0,0,0,0,0,0,0,0
results\gf_compact_bc_strengthening_round2\raw\moderate_seed3301_300s_dynamic_auto_oracle\interval_10.json,moderate_seed3301.txt,balanced,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=452;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=190;required_movement=3;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=1;dynamic_root_total=0,penalty_domains=10;movement_reachability=5;domain_width_before=684;domain_width_after=557,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=452;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=190;required_movement=3;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=1;dynamic_root_total=0,penalty_domains=10;movement_reachability=5;domain_width_before=684;domain_width_after=557,singleton-paper-safe,1,"support,transfer,visit,objective,receiver",lp,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,0,full,9881,2119,53614,2.6919708252,none,0,2.2828008,1,one_thread_fair,1,1,452,2,5,40,1,0,1,570,3420,60
results\gf_compact_bc_strengthening_round2\raw\moderate_seed3301_300s_dynamic_auto_oracle\interval_11.json,moderate_seed3301.txt,balanced,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=452;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=190;required_movement=4;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=1;dynamic_root_total=0,penalty_domains=10;movement_reachability=5;domain_width_before=684;domain_width_after=554,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=452;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=190;required_movement=4;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=1;dynamic_root_total=0,penalty_domains=10;movement_reachability=5;domain_width_before=684;domain_width_after=554,singleton-paper-safe,1,"support,transfer,visit,objective,receiver",lp,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,0,full,9882,2119,53620,2.69223022461,none,0,4.338189,1,one_thread_fair,1,1,452,2,5,40,1,0,1,570,3420,60
results\gf_compact_bc_strengthening_round2\raw\moderate_seed3301_300s_dynamic_auto_oracle\interval_2.json,moderate_seed3301.txt,balanced,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=452;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=190;required_movement=5;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=2;dynamic_root_total=0,penalty_domains=17;movement_reachability=4;domain_width_before=684;domain_width_after=518,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=452;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=190;required_movement=5;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=2;dynamic_root_total=0,penalty_domains=17;movement_reachability=4;domain_width_before=684;domain_width_after=518,singleton-paper-safe,1,"support,transfer,visit,objective,receiver",lp,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,0,full,9884,2119,53629,2.69268035889,none,0,60.4187298,1,one_thread_fair,1,1,452,2,4,40,1,0,1,570,3420,60
results\gf_compact_bc_strengthening_round2\raw\moderate_seed3301_300s_dynamic_auto_oracle\interval_3.json,moderate_seed3301.txt,balanced,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=452;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=190;required_movement=9;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=5;dynamic_root_total=0,penalty_domains=27;movement_reachability=3;domain_width_before=684;domain_width_after=379,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=452;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=190;required_movement=9;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=5;dynamic_root_total=0,penalty_domains=27;movement_reachability=3;domain_width_before=684;domain_width_after=379,singleton-paper-safe,1,"support,transfer,visit,objective,receiver",lp,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,0,full,9891,2119,53662,2.69429016113,none,0,0.7744164,1,one_thread_fair,1,1,452,2,3,40,1,0,1,570,3420,60
results\gf_compact_bc_strengthening_round2\raw\moderate_seed3301_300s_dynamic_auto_oracle\interval_7.json,moderate_seed3301.txt,balanced,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|receiver_source_cover_singleton_safe|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=452;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=190;required_movement=4;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=1;dynamic_root_total=0,penalty_domains=12;movement_reachability=5;domain_width_before=684;domain_width_after=545,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=452;inventory_conservation=2;visit_inventory_linking=40;objective_estimator_cutoff=1;penalty_lb=1;gini_spread=190;required_movement=4;global_handling_capacity=1;support_duration_pair=570;support_duration_triple=3420;transfer_compat=60;receiver_source_cover=1;dynamic_root_total=0,penalty_domains=12;movement_reachability=5;domain_width_before=684;domain_width_after=545,singleton-paper-safe,1,"support,transfer,visit,objective,receiver",lp,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,0,full,9882,2119,53620,2.69223022461,none,0,60.3829021,1,one_thread_fair,1,1,452,2,5,40,1,0,1,570,3420,60
