method,exit_code
pricing,0
pricing-branch,0
cuts,0
branching,0
master,0
cg,0
gcap-cg,0
gcap-tree,0
gcap-frontier,0
dominance-test,0
support-pruning-test,0
route-mask-support-test,0
route-mask-operation-budget-test,0
adaptive-frontier-split-test,0
inventory-branching-test,0
operation-mode-branching-test,0
pricing-closure-audit-test,0
resume-state-test,0
pricing-verifier-test,0
iterative-closure-test,0
certificate-basis-test,0
option-consistency-test,0
station-set-test,0
ng-dssr-pricing-test,0
dssr-exactness-test,0
dual-stabilization-test,0
bpc-hybrid-pricing-test,0
two-track-column-test,0
projection-safe-relaxed-column-test,0
non-elementary-relaxed-column-test,0
ng-relaxed-closure-test,0
relaxed-rmp-cg-test,0
frontier-relaxed-rmp-cg-test,0
relaxed-rmp-test,0
relaxed-pricing-closure-test,0
relaxed-column-incumbent-safety-test,0
large-relaxed-rmp-test,0
large-relaxed-rmp-cg-test,0
external-incumbent-test,0
large-instance-mode-test,0
large-lb-test,0
incumbent-import-test,0
route-pool-incumbent-test,0
pickup-drop-compat-flow-test,0
pickup-drop-transfer-cap-test,0
vehicle-indexed-relaxation-test,0
vehicle-indexed-transfer-flow-test,0
