"instance","method","algorithm_preset","status","objective","lower_bound","upper_bound","gap","runtime_seconds","wall_time_seconds","verifier_passed","certified_original_problem","unresolved_intervals","invalid_bound_intervals","open_nodes","pricing_calls","pricing_closed_nodes","columns_generated","cuts_generated","completion_lb_pruned_labels","required_closure_pruned_labels","label_dominance_comparisons","label_dominance_pruned_labels","label_dominance_cross_pickup_pruned_labels","label_dominance_inactive_entries_skipped","label_dominance_bucket_compactions","label_dominance_compacted_entries","operation_dp_dominance_pruned_states","controlling_interval","frontier_min_interval_lower_bound","frontier_lower_bound_source","node_trace_count","pricing_trace_count","bpc_trace_json","bpc_interval_trace_csv","result_file","progress_log","log_file","plateau_reason"
"gcap_smoke_V4_M1.txt","certificate-basis-test","custom","diagnostic_passed","0.49","0","0.49","1","0.0016705","0.0016705","True","False","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","","","","E:\codes\ExactEBRP\results\paper_core_round_next\raw\certificate_guard_fixtures.json","","E:\codes\ExactEBRP\results\paper_core_round_next\logs\certificate_guard_fixtures.log","not_certified"
"gcap_smoke_V4_M1.txt","option-consistency-test","paper-bpc-core","diagnostic_complete","0.49","0","0.49","1","7.41e-05","7.41e-05","True","False","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","","","","E:\codes\ExactEBRP\results\paper_core_round_next\raw\option_consistency_paper_core.json","","E:\codes\ExactEBRP\results\paper_core_round_next\logs\option_consistency_paper_core.log","not_certified"
"regen_candidate_V12_M1_average.txt","gcap-frontier","paper-bpc-core","optimal","0.357200583208","0.357200583208","0.357200583208","0","257.5489498","257.5489498","True","True","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0.357200583208","incumbent_cutoff","","","E:\codes\ExactEBRP\results\paper_core_round_next\raw\v12_m1_paper_core_1200s_relax_portfolio.trace.json","E:\codes\ExactEBRP\results\paper_core_round_next\raw\v12_m1_paper_core_1200s_relax_portfolio.intervals.csv","E:\codes\ExactEBRP\results\paper_core_round_next\raw\v12_m1_paper_core_1200s_relax_portfolio.json","E:\codes\ExactEBRP\results\paper_core_round_next\progress\v12_m1_paper_core_1200s_relax_portfolio.csv","E:\codes\ExactEBRP\results\paper_core_round_next\logs\v12_m1_paper_core_1200s_relax_portfolio.log","certified"
"regen_candidate_V12_M1_average.txt","gcap-frontier","paper-bpc-core","optimal","0.357200583208","0.357200583208","0.357200583208","0","265.220702","265.220702","True","True","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0.357200583208","incumbent_cutoff","","","E:\codes\ExactEBRP\results\paper_core_round_next\raw\v12_m1_paper_core_300s_relax_portfolio.trace.json","E:\codes\ExactEBRP\results\paper_core_round_next\raw\v12_m1_paper_core_300s_relax_portfolio.intervals.csv","E:\codes\ExactEBRP\results\paper_core_round_next\raw\v12_m1_paper_core_300s_relax_portfolio.json","E:\codes\ExactEBRP\results\paper_core_round_next\progress\v12_m1_paper_core_300s_relax_portfolio.csv","E:\codes\ExactEBRP\results\paper_core_round_next\logs\v12_m1_paper_core_300s_relax_portfolio.log","certified"
"regen_candidate_V12_M1_average.txt","cplex","custom","optimal","0.357200583208","0.357200583208","0.357200583208","0","186.6176559","186.6176559","True","True","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","","","","E:\codes\ExactEBRP\results\paper_core_round_next\raw\v12_m1_plain_cplex_300s.json","","E:\codes\ExactEBRP\results\paper_core_round_next\logs\v12_m1_plain_cplex_300s.log","certified"
"regen_candidate_V12_M2_average.txt","gcap-frontier","paper-bpc-core","optimal","0.719065249476","0.719065249476","0.719065249476","0","215.7528562","215.7528562","True","True","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0.719065249476","incumbent_cutoff","","","E:\codes\ExactEBRP\results\paper_core_round_next\raw\v12_m2_paper_core_1200s_relax_portfolio.trace.json","E:\codes\ExactEBRP\results\paper_core_round_next\raw\v12_m2_paper_core_1200s_relax_portfolio.intervals.csv","E:\codes\ExactEBRP\results\paper_core_round_next\raw\v12_m2_paper_core_1200s_relax_portfolio.json","E:\codes\ExactEBRP\results\paper_core_round_next\progress\v12_m2_paper_core_1200s_relax_portfolio.csv","E:\codes\ExactEBRP\results\paper_core_round_next\logs\v12_m2_paper_core_1200s_relax_portfolio.log","certified"
"regen_candidate_V12_M2_average.txt","gcap-frontier","paper-bpc-core","optimal","0.719065249476","0.719065249476","0.719065249476","0","217.7839095","217.7839095","True","True","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0.719065249476","incumbent_cutoff","","","E:\codes\ExactEBRP\results\paper_core_round_next\raw\v12_m2_paper_core_300s_relax_portfolio.trace.json","E:\codes\ExactEBRP\results\paper_core_round_next\raw\v12_m2_paper_core_300s_relax_portfolio.intervals.csv","E:\codes\ExactEBRP\results\paper_core_round_next\raw\v12_m2_paper_core_300s_relax_portfolio.json","E:\codes\ExactEBRP\results\paper_core_round_next\progress\v12_m2_paper_core_300s_relax_portfolio.csv","E:\codes\ExactEBRP\results\paper_core_round_next\logs\v12_m2_paper_core_300s_relax_portfolio.log","certified"
"regen_candidate_V12_M2_average.txt","cplex","custom","not_certified","0.72439493548","0.62335837374","0.72439493548","0.139477178527","300.0680098","300.0680098","True","False","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","","","","E:\codes\ExactEBRP\results\paper_core_round_next\raw\v12_m2_plain_cplex_300s.json","","E:\codes\ExactEBRP\results\paper_core_round_next\logs\v12_m2_plain_cplex_300s.log","not_certified"
"regen_candidate_V12_M2_average.txt","gcap-frontier","custom","optimal","0.719065249476","0.719065249476","0.719065249476","0","716.3878663","716.3878663","True","True","0","0","0","34","0","1795425","1","0","25257034","6212284444","3246815505","0","15214529123","24710879","346264351","0","","0.719065249476","incumbent_cutoff","","","","","E:\codes\ExactEBRP\results\paper_core_round_next\raw\v12_m2_vehicle_relaxation_repro_1200s.json","E:\codes\ExactEBRP\results\paper_core_round_next\progress\v12_m2_vehicle_relaxation_repro_1200s.csv","E:\codes\ExactEBRP\results\paper_core_round_next\logs\v12_m2_vehicle_relaxation_repro_1200s.log","certified"
"gcap_smoke_V4_M1.txt","gcap-frontier","paper-bpc-core","optimal","0","0","0","0","11.3841401","11.3841401","True","True","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","","E:\codes\ExactEBRP\results\paper_core_round_next\raw\v4_paper_core_smoke_30s.trace.json","E:\codes\ExactEBRP\results\paper_core_round_next\raw\v4_paper_core_smoke_30s.intervals.csv","E:\codes\ExactEBRP\results\paper_core_round_next\raw\v4_paper_core_smoke_30s.json","E:\codes\ExactEBRP\results\paper_core_round_next\progress\v4_paper_core_smoke_30s.csv","E:\codes\ExactEBRP\results\paper_core_round_next\logs\v4_paper_core_smoke_30s.log","certified"
"gcap_smoke_V4_M1.txt","gcap-frontier","paper-bpc-core","optimal","0","0","0","0","7.1535879","7.1535879","True","True","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","","E:\codes\ExactEBRP\results\paper_core_round_next\raw\v4_paper_core_smoke_current_30s.trace.json","E:\codes\ExactEBRP\results\paper_core_round_next\raw\v4_paper_core_smoke_current_30s.intervals.csv","E:\codes\ExactEBRP\results\paper_core_round_next\raw\v4_paper_core_smoke_current_30s.json","E:\codes\ExactEBRP\results\paper_core_round_next\progress\v4_paper_core_smoke_current_30s.csv","E:\codes\ExactEBRP\results\paper_core_round_next\logs\v4_paper_core_smoke_current_30s.log","certified"
