run,instance,method,preset,status,objective,lower_bound,upper_bound,gap,runtime_seconds,certified_original_problem,verifier_passed,unresolved_intervals,invalid_bound_intervals,open_nodes,frontier_min_interval_lower_bound,frontier_lower_bound_source,pricing_time_seconds,master_time_seconds,bound_time_seconds,result_file,progress_log,notes
certificate_guard_fixtures,gcap_smoke_V4_M1.txt,certificate-basis-test,custom,diagnostic_passed,0.49,0,0.49,1,0.0016705,False,True,0,0,0,0,,0,0,0,results\paper_core_round_next\raw\certificate_guard_fixtures.json,,
option_consistency_paper_core,gcap_smoke_V4_M1.txt,option-consistency-test,paper-bpc-core,diagnostic_complete,0.49,0,0.49,1,7.41e-05,False,True,0,0,0,0,,0,0,0,results\paper_core_round_next\raw\option_consistency_paper_core.json,,
v12_m1_paper_core_1200s_relax_portfolio,regen_candidate_V12_M1_average.txt,gcap-frontier,paper-bpc-core,optimal,0.357200583208,0.357200583208,0.357200583208,0,257.5489498,True,True,0,0,0,0.357200583208,incumbent_cutoff,0,0,250.3827339,results\paper_core_round_next\raw\v12_m1_paper_core_1200s_relax_portfolio.json,E:\codes\ExactEBRP\results\paper_core_round_next\progress\v12_m1_paper_core_1200s_relax_portfolio.csv,
v12_m1_paper_core_300s_relax_portfolio,regen_candidate_V12_M1_average.txt,gcap-frontier,paper-bpc-core,optimal,0.357200583208,0.357200583208,0.357200583208,0,265.220702,True,True,0,0,0,0.357200583208,incumbent_cutoff,0,0,255.8016535,results\paper_core_round_next\raw\v12_m1_paper_core_300s_relax_portfolio.json,E:\codes\ExactEBRP\results\paper_core_round_next\progress\v12_m1_paper_core_300s_relax_portfolio.csv,
v12_m1_plain_cplex_300s,regen_candidate_V12_M1_average.txt,cplex,custom,optimal,0.357200583208,0.357200583208,0.357200583208,0,186.6176559,True,True,0,0,0,0,,0,0,0,results\paper_core_round_next\raw\v12_m1_plain_cplex_300s.json,,
v12_m2_paper_core_1200s_relax_portfolio,regen_candidate_V12_M2_average.txt,gcap-frontier,paper-bpc-core,optimal,0.719065249476,0.719065249476,0.719065249476,0,215.7528562,True,True,0,0,0,0.719065249476,incumbent_cutoff,0,0,206.277957,results\paper_core_round_next\raw\v12_m2_paper_core_1200s_relax_portfolio.json,E:\codes\ExactEBRP\results\paper_core_round_next\progress\v12_m2_paper_core_1200s_relax_portfolio.csv,
v12_m2_paper_core_300s_relax_portfolio,regen_candidate_V12_M2_average.txt,gcap-frontier,paper-bpc-core,optimal,0.719065249476,0.719065249476,0.719065249476,0,217.7839095,True,True,0,0,0,0.719065249476,incumbent_cutoff,0,0,206.3996102,results\paper_core_round_next\raw\v12_m2_paper_core_300s_relax_portfolio.json,E:\codes\ExactEBRP\results\paper_core_round_next\progress\v12_m2_paper_core_300s_relax_portfolio.csv,
v12_m2_plain_cplex_300s,regen_candidate_V12_M2_average.txt,cplex,custom,not_certified,0.72439493548,0.62335837374,0.72439493548,0.139477178527,300.0680098,False,True,0,0,0,0,,0,0,0,results\paper_core_round_next\raw\v12_m2_plain_cplex_300s.json,,
v12_m2_vehicle_relaxation_repro_1200s,regen_candidate_V12_M2_average.txt,gcap-frontier,custom,optimal,0.719065249476,0.719065249476,0.719065249476,0,716.3878663,True,True,0,0,0,0.719065249476,incumbent_cutoff,329.4932969,231.8298375,126.0699616,results\paper_core_round_next\raw\v12_m2_vehicle_relaxation_repro_1200s.json,E:\codes\ExactEBRP\results\paper_core_round_next\progress\v12_m2_vehicle_relaxation_repro_1200s.csv,
v4_paper_core_smoke_30s,gcap_smoke_V4_M1.txt,gcap-frontier,paper-bpc-core,optimal,0,0,0,0,11.3841401,True,True,0,0,0,0,,0,0,0,results\paper_core_round_next\raw\v4_paper_core_smoke_30s.json,E:\codes\ExactEBRP\results\paper_core_round_next\progress\v4_paper_core_smoke_30s.csv,
v4_paper_core_smoke_current_30s,gcap_smoke_V4_M1.txt,gcap-frontier,paper-bpc-core,optimal,0,0,0,0,7.1535879,True,True,0,0,0,0,,0,0,0,results\paper_core_round_next\raw\v4_paper_core_smoke_current_30s.json,E:\codes\ExactEBRP\results\paper_core_round_next\progress\v4_paper_core_smoke_current_30s.csv,
