stage,state_id,policy,candidate_pool_order,variable_name,semantic_family,original_type,root_value,fractionality,direction,imposed_bound,probe_status,child_objective,delta,score,work,solver_time_seconds,model_read_seconds,model_fingerprint_match,bound_override_readback_valid,fresh_disposable_model,failure_reason
revision_core_120s,D1,a1r-root-sparse-top1,0,z_1_7,visit_selection,B,0.50572639544122544,0.49427360455877456,down,0,optimal,0.020977495607439216,2.4286128663675299e-17,9.9999999999999984e-15,0.3155140327275428,0.1119999885559082,0.0510981,1,1,1,none
revision_core_120s,D1,a1r-root-sparse-top1,0,z_1_7,visit_selection,B,0.50572639544122544,0.49427360455877456,up,1,optimal,0.020977495607439198,6.9388939039072284e-18,9.9999999999999984e-15,0.30260541316990874,0.11100006103515625,0.051232,1,1,1,none
revision_core_120s,D1,a1r-root-sparse-top1,1,p_1_7,pickup_quantity,I,0.50572639544122544,0.49427360455877456,down,0,optimal,0.020977495607439202,1.0408340855860843e-17,9.9999999999999984e-15,0.30607434658164329,0.11100006103515625,0.051362900000000003,1,1,1,none
revision_core_120s,D1,a1r-root-sparse-top1,1,p_1_7,pickup_quantity,I,0.50572639544122544,0.49427360455877456,up,1,optimal,0.020977495607439202,1.0408340855860843e-17,9.9999999999999984e-15,0.31857797012372768,0.11600017547607422,0.0519733,1,1,1,none
revision_core_120s,D1,a1r-root-sparse-top1,2,d_2_7,drop_quantity,I,5.5057263954412257,0.49427360455877434,down,5,optimal,0.020977495607439202,1.0408340855860843e-17,9.9999999999999984e-15,0.31679571122923966,0.12800002098083496,0.051106400000000003,1,1,1,none
revision_core_120s,D1,a1r-root-sparse-top1,2,d_2_7,drop_quantity,I,5.5057263954412257,0.49427360455877434,up,6,optimal,0.020977495607439188,0,9.9999999999999984e-15,0.33385896708326535,0.1399998664855957,0.0529062,1,1,1,none
revision_core_120s,D1,a1r-root-sparse-top1,3,z_0_9,visit_selection,B,0.40609063669519674,0.40609063669519674,down,0,optimal,0.020977495607439219,2.7755575615628914e-17,9.9999999999999984e-15,0.31403272695414569,0.11500000953674316,0.051132999999999998,1,1,1,none
revision_core_120s,D1,a1r-root-sparse-top1,3,z_0_9,visit_selection,B,0.40609063669519674,0.40609063669519674,up,1,optimal,0.020977495607439195,3.4694469519536142e-18,9.9999999999999984e-15,0.30225114695258887,0.1100001335144043,0.050738499999999999,1,1,1,none
revision_core_120s,D2,a1r-root-sparse-top1,0,z_0_1,visit_selection,B,0.5,0.5,down,0,optimal,0.15858790015822441,0,9.9999999999999984e-15,0.13852212083922991,0.052000045776367188,0.013252099999999999,1,1,1,none
revision_core_120s,D2,a1r-root-sparse-top1,0,z_0_1,visit_selection,B,0.5,0.5,up,1,optimal,0.15858790015822441,0,9.9999999999999984e-15,0.076451338518426865,0.032999992370605469,0.013051,1,1,1,none
