stage,state_id,policy,fallback_to_default,fallback_reason,variable_name,semantic_family,pool_order,score,delta_down,delta_up,requested_priority,observed_priority,exact_readback,zero_priority_readback_count,terminal_model_fresh,assignment_status
core_120s,D1,a1-root-sparse-2x2,1,all_valid_candidates_zero_improvement,none,none,-1,0,0,0,0,0,1,0,1,default_no_assignment
core_120s,D2,a1-root-sparse-2x2,0,none,x_0_4_1,routing_arc,2,1.8900102685452779e-09,0,0.01890010268545278,2,2,1,1035,1,applied
core_120s,D2,a1-root-sparse-2x2,0,none,z_0_1,visit_selection,0,9.9999999999999984e-15,0,0,1,1,1,1035,1,applied
core_120s,D3,a1-root-sparse-2x2,1,all_valid_candidates_zero_improvement,none,none,-1,0,0,0,0,0,1,0,1,default_no_assignment
core_120s,D4,a1-root-sparse-2x2,0,none,z_2_11,visit_selection,0,6.0607625179398547e-12,0,6.060762517939855e-05,2,2,1,1400,1,applied
core_120s,D4,a1-root-sparse-2x2,0,none,z_1_5,visit_selection,3,2.4175082804112068e-12,0,2.4175082804112069e-05,1,1,1,1400,1,applied
core_120s,D5,a1-root-sparse-2x2,0,none,p_2_8,pickup_quantity,2,1.0760957795952208e-13,1.0760957795952208e-06,0,2,2,1,1400,1,applied
core_120s,D5,a1-root-sparse-2x2,0,none,d_0_6,drop_quantity,0,9.9999999999999984e-15,0,0,1,1,1,1400,1,applied
core_120s,D6,a1-root-sparse-2x2,0,none,x_0_11_5,routing_arc,3,1.2076763159591176e-05,0.00092671927621393313,0.013031738380289454,2,2,1,1012,1,applied
core_120s,D6,a1-root-sparse-2x2,0,none,z_0_5,visit_selection,0,7.5228511690787569e-06,0.00092671927621393313,0.0081177238481679181,1,1,1,1012,1,applied
core_120s,D9,a1-root-sparse-2x2,0,none,x_0_20_14,routing_arc,0,1.9337543082624607e-08,0,0.19337543082624609,2,2,1,3370,1,applied
core_120s,D9,a1-root-sparse-2x2,0,none,z_0_20,visit_selection,2,1.9031258304563758e-10,5.5511151231257827e-17,0.0019031258304563758,1,1,1,3370,1,applied
core_120s,D10,a1-root-sparse-2x2,0,none,x_2_14_20,routing_arc,0,1.6371432177303306e-08,0,0.16371432177303308,2,2,1,3370,1,applied
core_120s,D10,a1-root-sparse-2x2,0,none,mode_2_20,operation_mode,2,1.9382861124097593e-10,0,0.0019382861124097595,1,1,1,3370,1,applied
core_120s,D11,a1-root-sparse-2x2,0,none,z_1_2,visit_selection,0,2.245708918167243e-08,3.8384186412443455e-05,0.00058506096600219326,2,2,1,3370,1,applied
core_120s,D11,a1-root-sparse-2x2,0,none,p_0_14,pickup_quantity,1,9.9999999999999984e-15,0,0,1,1,1,3370,1,applied
