state_id,historical_policy,round50_frozen_model_sha256,round51_default_off_model_sha256,canonical_model_exact_match,m1_target_affected,v_gt_12_byte_identical_under_m1,runtime_reproduction_available,runtime_status_certificate_work_exact_match,audit_status
D1,interval-mip-v0,8980c08bac1bf433434719c74f503f2e85ff942440699fe406787f74335fb8c1,8980c08bac1bf433434719c74f503f2e85ff942440699fe406787f74335fb8c1,true,true,false,false,not_sampled,pass
D2,interval-mip-v0,624c61c9136decd50c41af5ea9d62718694ace1cdc3e4056b472ea0c726dbe89,624c61c9136decd50c41af5ea9d62718694ace1cdc3e4056b472ea0c726dbe89,true,true,false,true,true,pass
D3,interval-mip-v0,7c8f8e5f1ff22f99103991cc788735e15850eda9b80ca5165dbb1709dc7a51e2,7c8f8e5f1ff22f99103991cc788735e15850eda9b80ca5165dbb1709dc7a51e2,true,true,false,false,not_sampled,pass
D4,interval-mip-v0,b35f4e7c4559e801ef4cd67b544cd4ba59d24abdcf6025bc3422c3e89f6bd2eb,b35f4e7c4559e801ef4cd67b544cd4ba59d24abdcf6025bc3422c3e89f6bd2eb,true,true,false,false,not_sampled,pass
D5,interval-mip-v0,2fd56622b90d18d9e4a8d6a0a1f8aaca6a0823d87437ded52f59c80e809748df,2fd56622b90d18d9e4a8d6a0a1f8aaca6a0823d87437ded52f59c80e809748df,true,true,false,true,true,pass
D6,interval-mip-v0,9aca6b4020aa81a484913fce9237bb15e995527b24365d079612606665c858bd,9aca6b4020aa81a484913fce9237bb15e995527b24365d079612606665c858bd,true,true,false,true,true,pass
D7,interval-mip-v0,f0c39ca30750ec9b4aacf85ae74a719caeb31ec3e7641d913221d3bf543b19ad,f0c39ca30750ec9b4aacf85ae74a719caeb31ec3e7641d913221d3bf543b19ad,true,true,false,false,not_sampled,pass
D8,interval-mip-v0,da581ac7d18e8a694dbed5347e2d120d639662734cee5911e59b9afc3c556358,da581ac7d18e8a694dbed5347e2d120d639662734cee5911e59b9afc3c556358,true,true,false,false,not_sampled,pass
D9,interval-mip-v0,3627afe65bdbed2f2133fce6a1648b235c8d74165e7f9148d1e7fee619c2a8d9,3627afe65bdbed2f2133fce6a1648b235c8d74165e7f9148d1e7fee619c2a8d9,true,false,true,false,not_sampled,pass
D10,interval-mip-v0,a43ff20d75215049f81aee5c44b6a97c35bf7f2105d31c3e614a2bd23a076bd0,a43ff20d75215049f81aee5c44b6a97c35bf7f2105d31c3e614a2bd23a076bd0,true,false,true,false,not_sampled,pass
D11,interval-mip-v0,2f9aec02ad74995b2199feca380842d0fd3f0f5b84b5af51ecfcb146c233956e,2f9aec02ad74995b2199feca380842d0fd3f0f5b84b5af51ecfcb146c233956e,true,false,true,false,not_sampled,pass
D12,interval-mip-v0,ab4697ccd2e0b18b4c1bf19f9666aa574b49a17f246b35f7c5d170221ba366d1,ab4697ccd2e0b18b4c1bf19f9666aa574b49a17f246b35f7c5d170221ba366d1,true,true,false,false,not_sampled,pass
D13,interval-mip-v0,243f1638742fa54579f71b93e7feb0716648b40f9be070d24b4dda24c305b0db,243f1638742fa54579f71b93e7feb0716648b40f9be070d24b4dda24c305b0db,true,false,true,false,not_sampled,pass
D14,interval-mip-v0,767199171a96100767723044d3c1c462c12c5f107330cc36314939f8c21f00e8,767199171a96100767723044d3c1c462c12c5f107330cc36314939f8c21f00e8,true,false,true,false,not_sampled,pass
C1,interval-mip-v0,58315195b578ad6c4395df099d59956d8ded0808fd8c89f54e468fe0b5ff4908,58315195b578ad6c4395df099d59956d8ded0808fd8c89f54e468fe0b5ff4908,true,true,false,false,not_sampled,pass
C2,interval-mip-v0,605cb646d49686a7782ab633c0fccb64821e80087a34d8393cc2a71022aaff1f,605cb646d49686a7782ab633c0fccb64821e80087a34d8393cc2a71022aaff1f,true,true,false,false,not_sampled,pass
C3,interval-mip-v0,5cfc938098dd731e3ce6809a4a9583436839fba895900b198f72e842e5a10c6b,5cfc938098dd731e3ce6809a4a9583436839fba895900b198f72e842e5a10c6b,true,false,true,false,not_sampled,pass
C4,interval-mip-v0,8354461996780a954bf1dbb33f13bf3aef8c906eabaf0a7cc71774016fb93804,8354461996780a954bf1dbb33f13bf3aef8c906eabaf0a7cc71774016fb93804,true,false,true,false,not_sampled,pass
C5,interval-mip-v0,9a3ff0a8c485dc6be2bb43142a7534c9d06aa405fec41491e6a9b457c9d57362,9a3ff0a8c485dc6be2bb43142a7534c9d06aa405fec41491e6a9b457c9d57362,true,false,true,false,not_sampled,pass
C6,interval-mip-v0,fb6fb2c22fa7f358b6d48d7057bddf3842869ffd20f18c76685f33eb2fd006fc,fb6fb2c22fa7f358b6d48d7057bddf3842869ffd20f18c76685f33eb2fd006fc,true,true,false,true,true,pass
C7,interval-mip-v0,b418bcbdd64fab3d5023335fe6dcd118a9d6d8321d5ff6e6550df8b0c91076f3,b418bcbdd64fab3d5023335fe6dcd118a9d6d8321d5ff6e6550df8b0c91076f3,true,true,false,false,not_sampled,pass
C8,interval-mip-v0,904467263099424dd3d9f92352c558a2aa684583d24bc521eb1b2d1b27b57157,904467263099424dd3d9f92352c558a2aa684583d24bc521eb1b2d1b27b57157,true,true,false,false,not_sampled,pass
C9,interval-mip-v0,f2ff779a6a82a41c9720b614664bc01969711ccfaae53f233965b59c26ddf2ce,f2ff779a6a82a41c9720b614664bc01969711ccfaae53f233965b59c26ddf2ce,true,true,false,false,not_sampled,pass
