state_id,m1_v0_model_sha256,a1_model_sha256,canonical_lp_byte_identical,objective_rows_domains_identical,symmetry_policy_identical,big_m_policy_identical,status,failure_reason
D1,5b4df8aeea1494e362b6f2987212fd23ae120b91a773e34c6b06fa7447f67f2c,5b4df8aeea1494e362b6f2987212fd23ae120b91a773e34c6b06fa7447f67f2c,true,true,true,true,pass,none
D2,bd4be8c65dae2fda3b45d5be50dd4f43128bd0ac10b27f026d1d8fa5b8a20814,bd4be8c65dae2fda3b45d5be50dd4f43128bd0ac10b27f026d1d8fa5b8a20814,true,true,true,true,pass,none
D3,42744c4af9bd4d2ec3d52ff1ba75ee8ae3fbdcfdc9b8589893a16f74e1466f87,42744c4af9bd4d2ec3d52ff1ba75ee8ae3fbdcfdc9b8589893a16f74e1466f87,true,true,true,true,pass,none
D4,57b6fa03dea983c16136f9226643a5852086d5e6fa1dcb83471e42ab3d8da91b,57b6fa03dea983c16136f9226643a5852086d5e6fa1dcb83471e42ab3d8da91b,true,true,true,true,pass,none
D5,b955db3473f5892f3b8f46f1745645fcbedb3d644e6950f28654101d9bfa91a3,b955db3473f5892f3b8f46f1745645fcbedb3d644e6950f28654101d9bfa91a3,true,true,true,true,pass,none
D6,95f8e4a56832ad5f336995b98c66084993492c0b043ee633c5c25729bc646675,95f8e4a56832ad5f336995b98c66084993492c0b043ee633c5c25729bc646675,true,true,true,true,pass,none
D7,aa06432b3243648bba7cf7bd7d3b84176fedacce91addbc111427d99ab9b4153,aa06432b3243648bba7cf7bd7d3b84176fedacce91addbc111427d99ab9b4153,true,true,true,true,pass,none
D8,cbf396f21ea24f3b719a62b524bfbd598595b8aae1e95417f7e4cdbf527eecd9,cbf396f21ea24f3b719a62b524bfbd598595b8aae1e95417f7e4cdbf527eecd9,true,true,true,true,pass,none
D9,3627afe65bdbed2f2133fce6a1648b235c8d74165e7f9148d1e7fee619c2a8d9,3627afe65bdbed2f2133fce6a1648b235c8d74165e7f9148d1e7fee619c2a8d9,true,true,true,true,pass,none
D10,a43ff20d75215049f81aee5c44b6a97c35bf7f2105d31c3e614a2bd23a076bd0,a43ff20d75215049f81aee5c44b6a97c35bf7f2105d31c3e614a2bd23a076bd0,true,true,true,true,pass,none
D11,2f9aec02ad74995b2199feca380842d0fd3f0f5b84b5af51ecfcb146c233956e,2f9aec02ad74995b2199feca380842d0fd3f0f5b84b5af51ecfcb146c233956e,true,true,true,true,pass,none
D12,57fee174b0eed50416b2704a44403a0e443293cdd79dbd71bd5013c330411828,57fee174b0eed50416b2704a44403a0e443293cdd79dbd71bd5013c330411828,true,true,true,true,pass,none
D13,243f1638742fa54579f71b93e7feb0716648b40f9be070d24b4dda24c305b0db,243f1638742fa54579f71b93e7feb0716648b40f9be070d24b4dda24c305b0db,true,true,true,true,pass,none
D14,767199171a96100767723044d3c1c462c12c5f107330cc36314939f8c21f00e8,767199171a96100767723044d3c1c462c12c5f107330cc36314939f8c21f00e8,true,true,true,true,pass,none
C1,c8793ff1d42521fa64a19c2ecd532f464ae1a6ca3b1edd0dab7cfcef3def11c5,c8793ff1d42521fa64a19c2ecd532f464ae1a6ca3b1edd0dab7cfcef3def11c5,true,true,true,true,pass,none
C2,0e6a35cf0fdfaf3193e1abff0346610be75e6995c846f0ea9dc5fe47d930e0c0,0e6a35cf0fdfaf3193e1abff0346610be75e6995c846f0ea9dc5fe47d930e0c0,true,true,true,true,pass,none
C3,5cfc938098dd731e3ce6809a4a9583436839fba895900b198f72e842e5a10c6b,5cfc938098dd731e3ce6809a4a9583436839fba895900b198f72e842e5a10c6b,true,true,true,true,pass,none
C4,8354461996780a954bf1dbb33f13bf3aef8c906eabaf0a7cc71774016fb93804,8354461996780a954bf1dbb33f13bf3aef8c906eabaf0a7cc71774016fb93804,true,true,true,true,pass,none
C5,9a3ff0a8c485dc6be2bb43142a7534c9d06aa405fec41491e6a9b457c9d57362,9a3ff0a8c485dc6be2bb43142a7534c9d06aa405fec41491e6a9b457c9d57362,true,true,true,true,pass,none
C6,fe8af475a6072515eacd0f2201d47a3adc1f592536a89189a097211ec2a51ee8,fe8af475a6072515eacd0f2201d47a3adc1f592536a89189a097211ec2a51ee8,true,true,true,true,pass,none
C7,d2ed8f4f19e6cd4d6e12541ca8060545993409ba473e3b5dc890320c472e6f46,d2ed8f4f19e6cd4d6e12541ca8060545993409ba473e3b5dc890320c472e6f46,true,true,true,true,pass,none
C8,d3b4a11ae7694369ccd2acd8bff57e7f7da746849320aed08cd4d3fa349b4bad,d3b4a11ae7694369ccd2acd8bff57e7f7da746849320aed08cd4d3fa349b4bad,true,true,true,true,pass,none
C9,749926439259eae738eb87eeacdc9845bb31c141d9b16766f5b20649db823dcb,749926439259eae738eb87eeacdc9845bb31c141d9b16766f5b20649db823dcb,true,true,true,true,pass,none
