state_id,candidate_policy,big_m_affected,d13_mandatory_negative_control,process_cap_seconds,executable_sha256,baseline_model_sha256,candidate_model_sha256,model_correctness_audit,baseline_status,candidate_status,baseline_certificate,candidate_certificate,candidate_certificate_class,lost_baseline_certificate,false_certificate,baseline_native_status,candidate_native_status,baseline_work,candidate_work,work_delta,work_ratio,baseline_process_time_seconds,candidate_process_time_seconds,baseline_gap,candidate_gap,baseline_gi,candidate_gi,baseline_nodes,candidate_nodes,baseline_simplex_iterations,candidate_simplex_iterations,baseline_root_relaxation_bound,candidate_root_relaxation_bound,baseline_final_root_cut_bound,candidate_final_root_cut_bound,baseline_presolved_rows,candidate_presolved_rows,baseline_presolved_columns,candidate_presolved_columns,baseline_peak_memory_gb,candidate_peak_memory_gb,baseline_max_matrix,candidate_max_matrix,improved,severe_regression,severe_regression_reason,engineering_evidence_complete
D11,m1-s1-route-start-order,false,false,300,cd12f5086f02e62ce0914d7d70a18ab437213eca1669c0afaf1321cffb5b311c,2f9aec02ad74995b2199feca380842d0fd3f0f5b84b5af51ecfcb146c233956e,82bd5490862440f2dbb63b326e5d839aa82e616d61fa928be14a261874a548cb,pass,capped,capped,False,False,certificate_rejected,false,false,TIME_LIMIT,TIME_LIMIT,630.9594078592763,592.0030802436831,-38.95632761559318,0.9382585834677313,298.0555674,298.0507684,0.015654989693027983,0.029374871185767884,0.04293251495459981,0.05253324943660819,4233,1900,1865621,894876,0.5137004,0.5137971,0.5647915854182156,0.5641826240650862,9955,9955,3116,3116,0.154516042,0.176209705,15554.8,15554.8,false,false,none,true
D12,m1-s1-route-start-order,true,false,300,cd12f5086f02e62ce0914d7d70a18ab437213eca1669c0afaf1321cffb5b311c,57fee174b0eed50416b2704a44403a0e443293cdd79dbd71bd5013c330411828,18577468e0d9e44af3996ebed08916ffa9a0f36eeb1f1ab643b55409828517fa,pass,exact,failed,True,False,certificate_rejected,true,false,OPTIMAL,OPTIMAL,535.0908195046081,451.2693046344994,-83.82151487010873,0.8433508634147163,242.0991115,197.1403161,3.431292939654574e-16,2.5036466386752035e-07,0.2090436069760994,0.17193985385019747,7284,5360,629999,389186,0.1127393,0.1129679,0.373301271172654,0.3729427276186366,15242,15242,1318,1318,0.261452544,0.261576551,11601.9,11601.9,false,true,baseline_certifies_candidate_does_not,true
D13,m1-s1-route-start-order,false,true,300,cd12f5086f02e62ce0914d7d70a18ab437213eca1669c0afaf1321cffb5b311c,243f1638742fa54579f71b93e7feb0716648b40f9be070d24b4dda24c305b0db,7c666ac3cc696943a3f3f8bbe8a4f440abe4afd535aa18d2bfbda8d7f1f231a8,pass,exact,capped,True,False,certificate_rejected,true,false,OPTIMAL,TIME_LIMIT,469.8380750590921,583.4541208886612,113.61604582956915,1.241819579682382,242.9374772,298.066546,0,0.006695942164623979,0.018287009905908865,0.01765095754730338,14010,10202,1335194,1155494,2.271243,2.271243,2.3495580338484627,2.3485198552067557,9883,9883,3281,3281,0.139302516,0.229528426,15752.4,15752.4,false,true,baseline_certifies_candidate_does_not,true
D14,m1-s1-route-start-order,false,false,300,cd12f5086f02e62ce0914d7d70a18ab437213eca1669c0afaf1321cffb5b311c,767199171a96100767723044d3c1c462c12c5f107330cc36314939f8c21f00e8,c91e7d9477303d811fdac9ad8ef96be2236862a8b46502c2afe5d96a3e8dbede,pass,capped,capped,False,False,certificate_rejected,false,false,TIME_LIMIT,TIME_LIMIT,644.3706111610944,582.8422483424406,-61.52836281865382,0.904514014523745,298.0487291,298.0543917,0.015551376060316213,0.05430082894812418,0.08190018251635389,0.09120108381115785,6574,4011,2811893,1771129,0.03996241,0.03996241,0.041360124778295454,0.04144484121094066,10048,10048,3274,3274,0.143398424,0.14451317,14743,14743,false,false,none,true
D1,m1-s1r-used-first-route-start-order,true,false,300,cd12f5086f02e62ce0914d7d70a18ab437213eca1669c0afaf1321cffb5b311c,5b4df8aeea1494e362b6f2987212fd23ae120b91a773e34c6b06fa7447f67f2c,710a7c2cdce01637c3c4c5195e27a375d0bf4cc8ecb90ef5390d14f226c957c5,pass,capped,capped,False,False,certificate_rejected,false,false,TIME_LIMIT,TIME_LIMIT,642.9480245843611,639.2911418717439,-3.6568827126171755,0.9943123198566771,298.088024,298.0930266,0.12911781621388593,0.07345401078417955,0.17231107296863546,0.12424382927963229,6057,7763,1064884,1151792,0.03178028,0.03178028,0.03275018337784916,0.033060542426974,15508,15500,1332,1332,0.201510382,0.261857451,14815.4,14815.4,true,false,none,true
D2,m1-s1r-used-first-route-start-order,true,false,300,cd12f5086f02e62ce0914d7d70a18ab437213eca1669c0afaf1321cffb5b311c,bd4be8c65dae2fda3b45d5be50dd4f43128bd0ac10b27f026d1d8fa5b8a20814,1f653b7c917bf86b184a3a1239c701db4d4930e6a8b4a3a065515ad19b5652ea,pass,exact,exact,True,True,strict_fixed_interval_optimal,false,false,OPTIMAL,OPTIMAL,18.615333819253582,12.62917145590849,-5.986162363345091,0.678428417052952,10.7753261,7.9804241,0,0,0.011152172690180694,0.008386793515177035,1289,534,96354,36251,0.2074061,0.2180075,0.33373273850321983,0.3388342145206408,3840,3792,753,732,0.038460836,0.052373016,10441,10441,true,false,none,true
D3,m1-s1r-used-first-route-start-order,true,false,300,cd12f5086f02e62ce0914d7d70a18ab437213eca1669c0afaf1321cffb5b311c,42744c4af9bd4d2ec3d52ff1ba75ee8ae3fbdcfdc9b8589893a16f74e1466f87,5570bb49bc9602b8f29ae18a4112ab57b443531c06fe1950a3bd56355075c48c,pass,capped,exact,False,True,strict_fixed_interval_optimal,false,false,TIME_LIMIT,OPTIMAL,681.0021426115728,542.1825067349926,-138.81963587658026,0.7961538926379566,298.0913778,253.3794976,0.15990162296668323,2.1926290088907398e-16,0.25163952118280486,0.17123292404732335,9220,15414,807485,675837,0.1067032,0.106733,0.3335400633632256,0.33228462835011485,15324,15324,1351,1351,0.244577528,0.241539896,14202.9,14202.9,true,false,none,true
D4,m1-s1r-used-first-route-start-order,true,false,300,cd12f5086f02e62ce0914d7d70a18ab437213eca1669c0afaf1321cffb5b311c,57b6fa03dea983c16136f9226643a5852086d5e6fa1dcb83471e42ab3d8da91b,19b1531f895f636a627618bbd934e5b4cb056e2e98378724125a9b208fcaaebd,pass,exact,exact,True,True,strict_fixed_interval_optimal,false,false,OPTIMAL,OPTIMAL,350.78015862689733,271.2118176688959,-79.56834095800144,0.7731674982146489,169.8843252,133.4329268,2.1926290088907398e-16,0,0.09752378137721363,0.08367290866987663,12326,6475,468081,256941,0.1073726,0.1074031,0.37883412400878963,0.38010603335388293,15325,15325,1351,1351,0.263169318,0.246590491,14202.9,14202.9,true,false,none,true
D5,m1-s1r-used-first-route-start-order,true,false,300,cd12f5086f02e62ce0914d7d70a18ab437213eca1669c0afaf1321cffb5b311c,b955db3473f5892f3b8f46f1745645fcbedb3d644e6950f28654101d9bfa91a3,ca342021ba625a057943429d2356946030a739cd833ef6d8714b2e0051a3776f,pass,exact,exact,True,True,strict_fixed_interval_cutoff_infeasible,false,false,INFEASIBLE,INFEASIBLE,19.23880903898762,18.131794872480995,-1.107014166506623,0.9424593193755784,9.8913046,9.3495383,0,0,0.004048469958050368,0.004129293699194345,71,63,12406,10721,0.3338139,0.3338354,0.492204829429349,0.4933535670208355,15399,15399,1364,1364,0.137039434,0.215892826,14202.9,14202.9,true,false,none,true
D6,m1-s1r-used-first-route-start-order,true,false,300,cd12f5086f02e62ce0914d7d70a18ab437213eca1669c0afaf1321cffb5b311c,95f8e4a56832ad5f336995b98c66084993492c0b043ee633c5c25729bc646675,58f0fac6f9191d6eb2e5d60e622e77174f6c2004e24e72f867f372f901b7712a,pass,exact,exact,True,True,strict_fixed_interval_optimal,false,false,OPTIMAL,OPTIMAL,50.206477637843754,32.82505120345955,-17.381426434384203,0.6538011178604822,25.3631457,19.1812135,0,0,0.013607910973672454,0.011370845046703045,1638,1276,76858,56817,0.3180954,0.3208073,0.595005324367165,0.5873039400060583,10072,10071,886,884,0.123505388,0.096874132,11748.1,11748.1,true,false,none,true
D7,m1-s1r-used-first-route-start-order,true,false,300,cd12f5086f02e62ce0914d7d70a18ab437213eca1669c0afaf1321cffb5b311c,aa06432b3243648bba7cf7bd7d3b84176fedacce91addbc111427d99ab9b4153,c21b5131b8ce346d63302436b8d7db74b01726a4a522fcc2ff9359b87bb68934,pass,exact,exact,True,True,strict_fixed_interval_optimal,false,false,OPTIMAL,OPTIMAL,22.807792105180603,24.62426191843532,1.8164698132547166,1.0796425101069789,13.6081535,15.7506325,4.5057552573669116e-09,1.5719903062194508e-16,0.00835990397985255,0.009260811443370468,668,601,32649,30628,0.3138558,0.3214071,0.6092028840765461,0.6105376769065787,10072,10071,885,883,0.124694063,0.113089592,11748.1,11748.1,false,false,none,true
D8,m1-s1r-used-first-route-start-order,true,false,300,cd12f5086f02e62ce0914d7d70a18ab437213eca1669c0afaf1321cffb5b311c,cbf396f21ea24f3b719a62b524bfbd598595b8aae1e95417f7e4cdbf527eecd9,da8d3546c3f30dd3ca3a29b7bc2e38b23598be9427e8c733e4b6a52368727483,pass,exact,exact,True,True,strict_fixed_interval_cutoff_infeasible,false,false,INFEASIBLE,INFEASIBLE,1.8416580370601094,1.9104158501802266,0.0687578131201172,1.037334734101819,1.5798668,1.6404657,0,0,0.0022293841353657196,0.002310705679916175,1,1,1210,1396,0.6065917,0.6065917,0.606591709352594,0.6065917093525959,10116,10113,875,873,0.068072012,0.067843302,11748.1,11748.1,false,false,none,true
D9,m1-s1r-used-first-route-start-order,false,false,300,cd12f5086f02e62ce0914d7d70a18ab437213eca1669c0afaf1321cffb5b311c,3627afe65bdbed2f2133fce6a1648b235c8d74165e7f9148d1e7fee619c2a8d9,2d6cf31e3cc7e7ea0ac3f7384eca9356f03266b532be4474513b53b6052968bc,pass,capped,capped,False,False,certificate_rejected,false,false,TIME_LIMIT,TIME_LIMIT,646.057514260194,627.1748956969009,-18.882618563293136,0.9707725424648674,298.0480519,298.0488033,0.09275628014997997,0.09459356112958596,0.11466770664477323,0.11353749646411022,1585,1902,1368344,1282009,0.4426226,0.4426337,0.5189954800020847,0.5195641706019233,9848,9847,3127,3125,0.161635504,0.140471561,15554.8,15554.8,true,false,none,true
D10,m1-s1r-used-first-route-start-order,false,false,300,cd12f5086f02e62ce0914d7d70a18ab437213eca1669c0afaf1321cffb5b311c,a43ff20d75215049f81aee5c44b6a97c35bf7f2105d31c3e614a2bd23a076bd0,560c72a256c6855c9a7d2535dfc7847457c06ea439f0a27180471c5d2a35ba77,pass,exact,exact,True,True,strict_fixed_interval_cutoff_infeasible,false,false,INFEASIBLE,INFEASIBLE,199.30559044359478,195.75659501509637,-3.548995428498415,0.9821931967859034,99.1402065,102.9187609,0,0,0.014770267429275107,0.014772606488101516,802,710,264564,266245,0.4640361,0.4640461,0.5706315722744337,0.5722337199956145,9847,9846,3126,3124,0.146988241,0.143956823,15554.8,15554.8,true,false,none,true
D11,m1-s1r-used-first-route-start-order,false,false,300,cd12f5086f02e62ce0914d7d70a18ab437213eca1669c0afaf1321cffb5b311c,2f9aec02ad74995b2199feca380842d0fd3f0f5b84b5af51ecfcb146c233956e,fb866ac40ec9e5e399c4dc7598091ce26f87ec136c76fd7a73ad00add4a22d7f,pass,capped,capped,False,False,certificate_rejected,false,false,TIME_LIMIT,TIME_LIMIT,630.9594078592763,608.6930498421591,-22.266358017117227,0.9647103161633445,298.0555674,298.047451,0.015654989693027983,0.014962679181011624,0.04293251495459981,0.04172967755714454,4233,3853,1865621,1726760,0.5137004,0.5137309,0.5647915854182156,0.5647734616437757,9955,9950,3116,3112,0.154516042,0.136488626,15554.8,15554.8,true,false,none,true
D12,m1-s1r-used-first-route-start-order,true,false,300,cd12f5086f02e62ce0914d7d70a18ab437213eca1669c0afaf1321cffb5b311c,57fee174b0eed50416b2704a44403a0e443293cdd79dbd71bd5013c330411828,6091558bd020f45c9d8ce779260622d25691e9409c86f104eeaf80b8e2f8b693,pass,exact,exact,True,True,strict_fixed_interval_optimal,false,false,OPTIMAL,OPTIMAL,535.0908195046081,547.7399470419743,12.649127537366212,1.0236392161410597,242.0991115,250.0022621,3.431292939654574e-16,3.431292939654574e-16,0.2090436069760994,0.22676091017913697,7284,6680,629999,534693,0.1127393,0.1127392,0.373301271172654,0.37399646652851043,15242,15240,1318,1316,0.261452544,0.294220353,11601.9,11601.9,false,false,none,true
D13,m1-s1r-used-first-route-start-order,false,true,300,cd12f5086f02e62ce0914d7d70a18ab437213eca1669c0afaf1321cffb5b311c,243f1638742fa54579f71b93e7feb0716648b40f9be070d24b4dda24c305b0db,0ff6639c85ef9fe2a53750f151a307dbbe013bcca66674d2f680bd7c9a96cba8,pass,exact,capped,True,False,certificate_rejected,true,false,OPTIMAL,TIME_LIMIT,469.8380750590921,562.9841386357753,93.14606357668316,1.198251415798875,242.9374772,298.0525399,0,0.0018103466067606127,0.018287009905908865,0.015390109767855964,14010,15686,1335194,1424620,2.271243,2.271096,2.3495580338484627,2.3488961963268524,9883,9882,3281,3279,0.139302516,0.230391437,15752.4,15752.4,false,true,baseline_certifies_candidate_does_not,true
D14,m1-s1r-used-first-route-start-order,false,false,300,cd12f5086f02e62ce0914d7d70a18ab437213eca1669c0afaf1321cffb5b311c,767199171a96100767723044d3c1c462c12c5f107330cc36314939f8c21f00e8,04d04afd8a2a2400e430e3bea68e206ece21b78a2dc48fcb1fe75813c8fc004a,pass,capped,capped,False,False,certificate_rejected,false,false,TIME_LIMIT,TIME_LIMIT,644.3706111610944,608.2271125125169,-36.14349864857752,0.9439088344152593,298.0487291,298.0453315,0.015551376060316213,0.06558730844009505,0.08190018251635389,0.10317226112650485,6574,3006,2811893,1422935,0.03996241,0.03996241,0.041360124778295454,0.04137590799328054,10048,10047,3274,3272,0.143398424,0.144712718,14743,14743,false,true,capped_gap_ratio_and_absolute,true
