state_id,big_m_affected,historical_model_sha256,m1_model_sha256,historical_matches_round50_frozen,objective_identical,variable_names_types_bounds_identical,row_count_identical,row_senses_identical,changed_rows,expected_changed_rows,all_non_target_rows_identical,symmetry_rows_identical,interval_rows_identical,cutoff_rows_identical,target_row_formula_valid,v_gt_12_expected_model_identical,v_gt_12_model_identical,status,failure_reason
D1,true,8980c08bac1bf433434719c74f503f2e85ff942440699fe406787f74335fb8c1,5b4df8aeea1494e362b6f2987212fd23ae120b91a773e34c6b06fa7447f67f2c,true,true,true,true,true,12285,12285,true,true,true,true,true,false,false,pass,none
D2,true,624c61c9136decd50c41af5ea9d62718694ace1cdc3e4056b472ea0c726dbe89,bd4be8c65dae2fda3b45d5be50dd4f43128bd0ac10b27f026d1d8fa5b8a20814,true,true,true,true,true,3069,3069,true,true,true,true,true,false,false,pass,none
D3,true,7c8f8e5f1ff22f99103991cc788735e15850eda9b80ca5165dbb1709dc7a51e2,42744c4af9bd4d2ec3d52ff1ba75ee8ae3fbdcfdc9b8589893a16f74e1466f87,true,true,true,true,true,12285,12285,true,true,true,true,true,false,false,pass,none
D4,true,b35f4e7c4559e801ef4cd67b544cd4ba59d24abdcf6025bc3422c3e89f6bd2eb,57b6fa03dea983c16136f9226643a5852086d5e6fa1dcb83471e42ab3d8da91b,true,true,true,true,true,12285,12285,true,true,true,true,true,false,false,pass,none
D5,true,2fd56622b90d18d9e4a8d6a0a1f8aaca6a0823d87437ded52f59c80e809748df,b955db3473f5892f3b8f46f1745645fcbedb3d644e6950f28654101d9bfa91a3,true,true,true,true,true,12285,12285,true,true,true,true,true,false,false,pass,none
D6,true,9aca6b4020aa81a484913fce9237bb15e995527b24365d079612606665c858bd,95f8e4a56832ad5f336995b98c66084993492c0b043ee633c5c25729bc646675,true,true,true,true,true,8190,8190,true,true,true,true,true,false,false,pass,none
D7,true,f0c39ca30750ec9b4aacf85ae74a719caeb31ec3e7641d913221d3bf543b19ad,aa06432b3243648bba7cf7bd7d3b84176fedacce91addbc111427d99ab9b4153,true,true,true,true,true,8190,8190,true,true,true,true,true,false,false,pass,none
D8,true,da581ac7d18e8a694dbed5347e2d120d639662734cee5911e59b9afc3c556358,cbf396f21ea24f3b719a62b524bfbd598595b8aae1e95417f7e4cdbf527eecd9,true,true,true,true,true,8190,8190,true,true,true,true,true,false,false,pass,none
D9,false,3627afe65bdbed2f2133fce6a1648b235c8d74165e7f9148d1e7fee619c2a8d9,3627afe65bdbed2f2133fce6a1648b235c8d74165e7f9148d1e7fee619c2a8d9,true,true,true,true,true,0,0,true,true,true,true,true,true,true,pass,none
D10,false,a43ff20d75215049f81aee5c44b6a97c35bf7f2105d31c3e614a2bd23a076bd0,a43ff20d75215049f81aee5c44b6a97c35bf7f2105d31c3e614a2bd23a076bd0,true,true,true,true,true,0,0,true,true,true,true,true,true,true,pass,none
D11,false,2f9aec02ad74995b2199feca380842d0fd3f0f5b84b5af51ecfcb146c233956e,2f9aec02ad74995b2199feca380842d0fd3f0f5b84b5af51ecfcb146c233956e,true,true,true,true,true,0,0,true,true,true,true,true,true,true,pass,none
D12,true,ab4697ccd2e0b18b4c1bf19f9666aa574b49a17f246b35f7c5d170221ba366d1,57fee174b0eed50416b2704a44403a0e443293cdd79dbd71bd5013c330411828,true,true,true,true,true,12285,12285,true,true,true,true,true,false,false,pass,none
D13,false,243f1638742fa54579f71b93e7feb0716648b40f9be070d24b4dda24c305b0db,243f1638742fa54579f71b93e7feb0716648b40f9be070d24b4dda24c305b0db,true,true,true,true,true,0,0,true,true,true,true,true,true,true,pass,none
D14,false,767199171a96100767723044d3c1c462c12c5f107330cc36314939f8c21f00e8,767199171a96100767723044d3c1c462c12c5f107330cc36314939f8c21f00e8,true,true,true,true,true,0,0,true,true,true,true,true,true,true,pass,none
C1,true,58315195b578ad6c4395df099d59956d8ded0808fd8c89f54e468fe0b5ff4908,c8793ff1d42521fa64a19c2ecd532f464ae1a6ca3b1edd0dab7cfcef3def11c5,true,true,true,true,true,12285,12285,true,true,true,true,true,false,false,pass,none
