state_id,panel,station_count,vehicle_count,big_m_affected,old_m,min_m_s,median_m_s,mean_m_s,p95_m_s,max_m_s,min_ratio_to_old,median_ratio_to_old,mean_ratio_to_old,p95_ratio_to_old,max_ratio_to_old,rows_affected,expected_rows_affected,m_s_above_100000_count,historical_m_may_be_unsafe,all_target_formulas_valid,status,failure_reason
D1,development,12,3,true,100000.0,581.8348679515963,2170.761416132338,2087.6348563277993,2406.8354803473794,2453.398224299174,0.005818348679515963,0.021707614161323382,0.020876348563277993,0.024068354803473795,0.02453398224299174,12285,12285,0,false,true,pass,none
D2,development,10,3,true,100000.0,958.4485033654975,3519.028575721162,3291.0431739990768,3933.7542268148068,4006.5272604046427,0.009584485033654975,0.03519028575721162,0.03291043173999077,0.03933754226814807,0.04006527260404643,3069,3069,0,false,true,pass,none
D3,development,12,3,true,100000.0,934.1462106038263,2919.8298572498948,2771.5081937610194,3082.979683247295,3149.1098060949766,0.009341462106038263,0.02919829857249895,0.027715081937610193,0.030829796832472948,0.03149109806094977,12285,12285,0,false,true,pass,none
D4,development,12,3,true,100000.0,934.1462106038263,2919.8298572498948,2771.5081937610194,3082.979683247295,3149.1098060949766,0.009341462106038263,0.02919829857249895,0.027715081937610193,0.030829796832472948,0.03149109806094977,12285,12285,0,false,true,pass,none
D5,development,12,3,true,100000.0,934.1462106038263,2919.8298572498948,2771.5081937610194,3082.979683247295,3149.1098060949766,0.009341462106038263,0.02919829857249895,0.027715081937610193,0.030829796832472948,0.03149109806094977,12285,12285,0,false,true,pass,none
D6,development,12,2,true,100000.0,687.4842020584282,3184.1141508214982,3011.8447029628283,3440.8102430800413,3509.349513234847,0.006874842020584282,0.03184114150821498,0.030118447029628282,0.03440810243080041,0.03509349513234847,8190,8190,0,false,true,pass,none
D7,development,12,2,true,100000.0,687.4842020584282,3184.1141508214982,3011.8447029628283,3440.8102430800413,3509.349513234847,0.006874842020584282,0.03184114150821498,0.030118447029628282,0.03440810243080041,0.03509349513234847,8190,8190,0,false,true,pass,none
D8,development,12,2,true,100000.0,687.4842020584282,3184.1141508214982,3011.8447029628283,3440.8102430800413,3509.349513234847,0.006874842020584282,0.03184114150821498,0.030118447029628282,0.03440810243080041,0.03509349513234847,8190,8190,0,false,true,pass,none
D9,development,20,3,false,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,false,true,pass,none
D10,development,20,3,false,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,false,true,pass,none
D11,development,20,3,false,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,false,true,pass,none
D12,development,12,3,true,100000.0,850.2939712823062,3009.086461175253,2889.4752621761877,3341.5260925206485,3386.66477670407,0.008502939712823062,0.030090864611752532,0.028894752621761877,0.03341526092520648,0.0338666477670407,12285,12285,0,false,true,pass,none
D13,development,20,3,false,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,false,true,pass,none
D14,development,20,3,false,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,false,true,pass,none
C1,confirmation,12,3,true,100000.0,850.2939712823062,3009.086461175253,2889.4752621761877,3341.5260925206485,3386.66477670407,0.008502939712823062,0.030090864611752532,0.028894752621761877,0.03341526092520648,0.0338666477670407,12285,12285,0,false,true,pass,none
C2,confirmation,12,3,true,100000.0,850.2939712823062,3009.086461175253,2889.4752621761877,3341.5260925206485,3386.66477670407,0.008502939712823062,0.030090864611752532,0.028894752621761877,0.03341526092520648,0.0338666477670407,12285,12285,0,false,true,pass,none
C3,confirmation,20,3,false,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,false,true,pass,none
C4,confirmation,20,3,false,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,false,true,pass,none
C5,confirmation,20,3,false,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,false,true,pass,none
C6,confirmation,10,1,true,100000.0,846.6893162850179,3228.3942477583623,3029.0638181493996,3681.997269950929,3734.586113495099,0.00846689316285018,0.03228394247758362,0.030290638181493995,0.03681997269950929,0.03734586113495099,1023,1023,0,false,true,pass,none
C7,confirmation,12,1,true,100000.0,681.7497900769338,2657.0118541812094,2540.4400420183997,2905.6382284067627,2991.453893237964,0.006817497900769338,0.026570118541812095,0.025404400420183996,0.029056382284067626,0.029914538932379643,4095,4095,0,false,true,pass,none
C8,confirmation,10,1,true,100000.0,658.8986018484353,2263.0366875923687,2119.0692887420632,2536.4700042065842,2596.749242625248,0.006588986018484353,0.022630366875923687,0.021190692887420634,0.02536470004206584,0.02596749242625248,1023,1023,0,false,true,pass,none
C9,confirmation,8,3,true,100000.0,441.5633977623809,2109.633160018119,1973.7108977595747,2554.785441150683,2593.8893389819095,0.004415633977623809,0.02109633160018119,0.019737108977595747,0.025547854411506827,0.025938893389819095,765,765,0,false,true,pass,none
