state_id,big_m_affected,old_min_matrix,m1_min_matrix,old_max_matrix,m1_max_matrix,max_matrix_reduction,old_max_abs_rhs,m1_max_abs_rhs,max_abs_rhs_reduction,old_matrix_range_ratio,m1_matrix_range_ratio,matrix_range_ratio_reduction,status
D1,true,0.0225,0.0225,100000.0,14815.36235775704,85184.63764224296,1200396.601775701,45530.72471551408,1154865.8770601868,4444444.444444445,658460.5492336462,3785983.895210799,pass
D2,true,0.0225,0.0225,100000.0,10441.020386061195,89558.9796139388,998393.4727395953,38458.745343641785,959934.7273959536,4444444.444444445,464045.35049160867,3980399.0939528365,pass
D3,true,0.0225,0.0225,100000.0,14202.910102962973,85797.08989703703,1199250.890193905,43045.82020592594,1156205.069987979,4444444.444444445,631240.4490205765,3813203.9954238683,pass
D4,true,0.0225,0.0225,100000.0,14202.910102962973,85797.08989703703,1199250.890193905,43045.82020592594,1156205.069987979,4444444.444444445,631240.4490205765,3813203.9954238683,pass
D5,true,0.0225,0.0225,100000.0,14202.910102962973,85797.08989703703,1199250.890193905,43045.82020592594,1156205.069987979,4444444.444444445,631240.4490205765,3813203.9954238683,pass
D6,true,0.0225,0.0225,100000.0,11748.087636016091,88251.91236398391,1198890.6504867652,41002.84464558332,1157887.805841182,4444444.444444445,522137.22826738184,3922307.216177063,pass
D7,true,0.0225,0.0225,100000.0,11748.087636016091,88251.91236398391,1198890.6504867652,41002.84464558332,1157887.805841182,4444444.444444445,522137.22826738184,3922307.216177063,pass
D8,true,0.0225,0.0225,100000.0,11748.087636016091,88251.91236398391,1198890.6504867652,41002.84464558332,1157887.805841182,4444444.444444445,522137.22826738184,3922307.216177063,pass
D9,false,0.0075,0.0075,15554.771562176666,15554.771562176666,0.0,49109.54312435333,49109.54312435333,0.0,2073969.5416235556,2073969.5416235556,0.0,pass
D10,false,0.0075,0.0075,15554.771562176666,15554.771562176666,0.0,49109.54312435333,49109.54312435333,0.0,2073969.5416235556,2073969.5416235556,0.0,pass
D11,false,0.0075,0.0075,15554.771562176666,15554.771562176666,0.0,49109.54312435333,49109.54312435333,0.0,2073969.5416235556,2073969.5416235556,0.0,pass
D12,true,0.0225,0.0225,100000.0,11601.853885134056,88398.14611486594,1199013.335223296,39653.31254374477,1159360.0226795513,4444444.444444445,515637.9504504025,3928806.4939940423,pass
D13,false,0.01225005,0.01225005,15752.355410581491,15752.355410581491,0.0,49504.71082116298,49504.71082116298,0.0,1285901.315552303,1285901.315552303,0.0,pass
D14,false,0.0075,0.0075,14743.04297047864,14743.04297047864,0.0,46586.26238772414,46586.26238772414,0.0,1965739.0627304853,1965739.0627304853,0.0,pass
C1,true,0.0225,0.0225,100000.0,11601.853885134056,88398.14611486594,1199013.335223296,39653.31254374477,1159360.0226795513,4444444.444444445,515637.9504504025,3928806.4939940423,pass
C2,true,0.0225,0.0225,100000.0,11601.853885134056,88398.14611486594,1199013.335223296,39653.31254374477,1159360.0226795513,4444444.444444445,515637.9504504025,3928806.4939940423,pass
C3,false,0.0075,0.0075,15286.824827540833,15286.824827540833,0.0,48213.64965508167,48213.64965508167,0.0,2038243.3103387777,2038243.3103387777,0.0,pass
C4,false,0.01425645,0.01425645,15371.778607262633,15371.778607262633,0.0,48743.557214525266,48743.557214525266,0.0,1078233.2633483533,1078233.2633483533,0.0,pass
C5,false,0.0075,0.0075,14299.041285588446,14299.041285588446,0.0,45518.08257117689,45518.08257117689,0.0,1906538.8380784595,1906538.8380784595,0.0,pass
C6,true,0.043478260869565216,0.043478260869565216,100000.0,13962.291353621633,86037.70864637836,998665.413886505,42324.58270724326,956340.8311792617,2300000.0,321132.7011332976,1978867.2988667025,pass
C7,true,0.0225,0.0225,100000.0,11524.935588033626,88475.06441196638,1199408.546106762,35305.992825617606,1164102.5532811445,4444444.444444445,512219.3594681612,3932225.084976284,pass
C8,true,0.0225,0.0225,100000.0,12234.386472861315,87765.61352713869,1000253.2507573748,37368.77294572264,962884.4778116521,4444444.444444445,543750.5099049474,3900693.934539498,pass
C9,true,0.0225,0.0225,100000.0,12768.962329494288,87231.03767050571,800256.110661018,39517.92465898858,760738.1860020295,4444444.444444445,567509.4368664129,3876935.007578032,pass
