candidate_policy,state_id,big_m_affected,d13_negative_control,baseline_certificate,candidate_certificate,work_ratio,work_absolute_increase,gi_ratio,gi_absolute_increase,gap_ratio,gap_absolute_increase,severe_regression,reason
m1-s1-route-start-order,D1,true,false,false,false,1.0364089282426925,23.40904849087292,0.7957050772022273,-0.035202277349328764,0.7147065100894987,-0.03683647239728223,false,none
m1-s1-route-start-order,D2,true,false,true,true,0.3897196957577179,-11.360571586785719,0.4795297308419187,-0.00580437432175575,0.0,0.0,false,none
m1-s1-route-start-order,D3,true,false,false,false,0.808018062718821,-130.7401106312035,0.75376314966524,-0.06196292311580098,0.6060460246797625,-0.06299388002788264,false,none
m1-s1-route-start-order,D4,true,false,true,true,0.7243361673998135,-96.69740292719186,0.8388282988133798,-0.015718073750717543,0.0,-2.1926290088907398e-16,false,none
m1-s1-route-start-order,D5,true,false,true,true,0.9119980258416676,-1.6930531758860816,0.9898624764860753,-4.1041459395153336e-05,0.0,0.0,false,none
m1-s1-route-start-order,D6,true,false,true,true,0.6097978498687814,-19.59067552480158,0.7751493424195711,-0.003059747730726186,0.0,1.3472293896142736e-07,false,none
m1-s1-route-start-order,D7,true,false,true,true,0.9056158665543435,-2.1526936936561576,0.950318715483472,-0.00041533076815390875,0.0,-4.5057552573669116e-09,false,none
m1-s1-route-start-order,D8,true,false,true,true,1.0365793015246156,0.06736656464285362,1.0219029947927087,4.8830189107862756e-05,0.0,0.0,false,none
m1-s1-route-start-order,D9,false,false,false,false,0.9709440252817085,-18.7718308009064,0.9547285120411912,-0.005191177700633071,0.9334179999400419,-0.006175898650507453,false,none
m1-s1-route-start-order,D10,false,false,true,true,0.42807106240556186,-113.98863459903737,0.496260786153222,-0.007440362903129713,0.0,0.0,false,none
m1-s1-route-start-order,D11,false,false,false,false,0.9382585834677313,-38.95632761559318,1.2236238546043936,0.009600734482008384,1.8763903242204054,0.0137198814927399,false,none
m1-s1-route-start-order,D12,true,false,true,false,0.8433508634147163,-83.82151487010873,0.8225071138858405,-0.03710375312590192,729651091.5,2.5036466352439106e-07,true,baseline_certifies_candidate_does_not
m1-s1-route-start-order,D13,false,true,true,false,1.241819579682382,113.61604582956915,0.9652183510656948,-0.0006360523586054836,0.0,0.006695942164623979,true,baseline_certifies_candidate_does_not
m1-s1-route-start-order,D14,false,false,false,false,0.904514014523745,-61.52836281865382,1.113563865293545,0.00930090129480396,3.4917057331465533,0.03874945288780797,false,none
m1-s1r-used-first-route-start-order,D1,true,false,false,false,0.9943123198566771,-3.6568827126171755,0.7210437909712715,-0.04806724368900317,0.5688913655610601,-0.05566380542970638,false,none
m1-s1r-used-first-route-start-order,D2,true,false,true,true,0.678428417052952,-5.986162363345091,0.7520322495150626,-0.0027653791750036592,0.0,0.0,false,none
m1-s1r-used-first-route-start-order,D3,true,false,false,true,0.7961538926379566,-138.81963587658026,0.6804691220300418,-0.08040659713548151,1.3712362440171052e-15,-0.159901622966683,false,none
m1-s1r-used-first-route-start-order,D4,true,false,true,true,0.7731674982146489,-79.56834095800144,0.857974408787914,-0.013850872707336995,0.0,-2.1926290088907398e-16,false,none
m1-s1r-used-first-route-start-order,D5,true,false,true,true,0.9424593193755784,-1.107014166506623,1.0199640214652597,8.082374114397675e-05,0.0,0.0,false,none
m1-s1r-used-first-route-start-order,D6,true,false,true,true,0.6538011178604822,-17.381426434384203,0.8356054848317634,-0.002237065926969409,0.0,0.0,false,none
m1-s1r-used-first-route-start-order,D7,true,false,true,true,1.0796425101069789,1.8164698132547166,1.1077652884158853,0.0009009074635179179,3.4888497408935964e-08,-4.505755100167881e-09,false,none
m1-s1r-used-first-route-start-order,D8,true,false,true,true,1.037334734101819,0.0687578131201172,1.0364771343172383,8.13215445504556e-05,0.0,0.0,false,none
m1-s1r-used-first-route-start-order,D9,false,false,false,false,0.9707725424648674,-18.882618563293136,0.9901436052596372,-0.001130210180663005,1.0198076181648859,0.0018372809796059902,false,none
m1-s1r-used-first-route-start-order,D10,false,false,true,true,0.9821931967859034,-3.548995428498415,1.0001583626591468,2.339058826409529e-06,0.0,0.0,false,none
m1-s1r-used-first-route-start-order,D11,false,false,false,false,0.9647103161633445,-22.266358017117227,0.9719830669429163,-0.0012028373974552684,0.9557770062075044,-0.0006923105120163597,false,none
m1-s1r-used-first-route-start-order,D12,true,false,true,true,1.0236392161410597,12.649127537366212,1.0847541020714555,0.017717303203037577,1.0,0.0,false,none
m1-s1r-used-first-route-start-order,D13,false,true,true,false,1.198251415798875,93.14606357668316,0.841586997931419,-0.0028969001380529016,0.0,0.0018103466067606127,true,baseline_certifies_candidate_does_not
m1-s1r-used-first-route-start-order,D14,false,false,false,false,0.9439088344152593,-36.14349864857752,1.2597317607430647,0.021272078610150957,4.2174601260823374,0.05003593237977884,true,capped_gap_ratio_and_absolute
