stage,source_summary,state_id,policy,process_cap_seconds,executable_sha256,model_sha256,status,certificate,certificate_class,false_certificate,evidence_complete,cap_respected,failure_reason,artifact_dir,audit_status
stage0_reproduction,baseline_reproduction_raw.csv,D2,interval-mip-v0,120,a4cb86dd18ba16e205cbdde99eaab46e11efdd026d6da6c21f8a6730651e954d,624c61c9136decd50c41af5ea9d62718694ace1cdc3e4056b472ea0c726dbe89,exact,true,strict_fixed_interval_optimal,false,true,true,none,results/gf_k1_tight_big_m_sparse_branching_round51/baseline_reproduction_runs/D2__interval-mip-v0,pass
stage0_reproduction,baseline_reproduction_raw.csv,D5,interval-mip-v0,120,a4cb86dd18ba16e205cbdde99eaab46e11efdd026d6da6c21f8a6730651e954d,2fd56622b90d18d9e4a8d6a0a1f8aaca6a0823d87437ded52f59c80e809748df,exact,true,strict_fixed_interval_cutoff_infeasible,false,true,true,none,results/gf_k1_tight_big_m_sparse_branching_round51/baseline_reproduction_runs/D5__interval-mip-v0,pass
stage0_reproduction,baseline_reproduction_raw.csv,D6,interval-mip-v0,120,a4cb86dd18ba16e205cbdde99eaab46e11efdd026d6da6c21f8a6730651e954d,9aca6b4020aa81a484913fce9237bb15e995527b24365d079612606665c858bd,exact,true,strict_fixed_interval_optimal,false,true,true,none,results/gf_k1_tight_big_m_sparse_branching_round51/baseline_reproduction_runs/D6__interval-mip-v0,pass
stage0_reproduction,baseline_reproduction_raw.csv,C6,interval-mip-v0,120,a4cb86dd18ba16e205cbdde99eaab46e11efdd026d6da6c21f8a6730651e954d,fb6fb2c22fa7f358b6d48d7057bddf3842869ffd20f18c76685f33eb2fd006fc,exact,true,strict_fixed_interval_optimal,false,true,true,none,results/gf_k1_tight_big_m_sparse_branching_round51/baseline_reproduction_runs/C6__interval-mip-v0,pass
m1_small_exact,big_m_small_exact_raw.csv,D2,m1-tight-big-m-v0,120,cd12f5086f02e62ce0914d7d70a18ab437213eca1669c0afaf1321cffb5b311c,bd4be8c65dae2fda3b45d5be50dd4f43128bd0ac10b27f026d1d8fa5b8a20814,exact,true,strict_fixed_interval_optimal,false,true,true,none,results/gf_k1_tight_big_m_sparse_branching_round51/big_m_small_exact_runs/D2__m1-tight-big-m-v0,pass
m1_small_exact,big_m_small_exact_raw.csv,D5,m1-tight-big-m-v0,120,cd12f5086f02e62ce0914d7d70a18ab437213eca1669c0afaf1321cffb5b311c,b955db3473f5892f3b8f46f1745645fcbedb3d644e6950f28654101d9bfa91a3,exact,true,strict_fixed_interval_cutoff_infeasible,false,true,true,none,results/gf_k1_tight_big_m_sparse_branching_round51/big_m_small_exact_runs/D5__m1-tight-big-m-v0,pass
m1_small_exact,big_m_small_exact_raw.csv,D6,m1-tight-big-m-v0,120,cd12f5086f02e62ce0914d7d70a18ab437213eca1669c0afaf1321cffb5b311c,95f8e4a56832ad5f336995b98c66084993492c0b043ee633c5c25729bc646675,exact,true,strict_fixed_interval_optimal,false,true,true,none,results/gf_k1_tight_big_m_sparse_branching_round51/big_m_small_exact_runs/D6__m1-tight-big-m-v0,pass
m1_small_exact,big_m_small_exact_raw.csv,C6,m1-tight-big-m-v0,120,cd12f5086f02e62ce0914d7d70a18ab437213eca1669c0afaf1321cffb5b311c,fe8af475a6072515eacd0f2201d47a3adc1f592536a89189a097211ec2a51ee8,exact,true,strict_fixed_interval_optimal,false,true,true,none,results/gf_k1_tight_big_m_sparse_branching_round51/big_m_small_exact_runs/C6__m1-tight-big-m-v0,pass
m1_core_comparator,m1_core_v0_raw.csv,D1,interval-mip-v0,120,cd12f5086f02e62ce0914d7d70a18ab437213eca1669c0afaf1321cffb5b311c,8980c08bac1bf433434719c74f503f2e85ff942440699fe406787f74335fb8c1,capped,false,certificate_rejected,false,true,true,none,results/gf_k1_tight_big_m_sparse_branching_round51/m1_core_runs/D1__interval-mip-v0,pass
m1_core_comparator,m1_core_v0_raw.csv,D2,interval-mip-v0,120,cd12f5086f02e62ce0914d7d70a18ab437213eca1669c0afaf1321cffb5b311c,624c61c9136decd50c41af5ea9d62718694ace1cdc3e4056b472ea0c726dbe89,exact,true,strict_fixed_interval_optimal,false,true,true,none,results/gf_k1_tight_big_m_sparse_branching_round51/m1_core_runs/D2__interval-mip-v0,pass
