stage,state_id,policy,root_lp_work,child_probe_work,terminal_mip_work,total_work,root_lp_solver_time,child_probe_solver_time,terminal_mip_solver_time,total_solver_time,total_process_time,root_model_reads,probe_model_reads,terminal_model_reads,candidate_count,probe_count,priority_count,priority_retry_used,fallback_reason,lifecycle_valid,model_count,model_read_count,optimize_count,in_memory_model_reused,end_to_end_work_reconciled,run_audit_pass
core_120s,D1,a1-root-sparse-2x2,0.31680542258080457,2.5097103148220623,251.58623860535459,254.41275434275749,0.1119999885559082,0.92400002479553223,116.00300002098083,117.03900003433228,118.0800028,1,8,1,4,8,0,0,all_valid_candidates_zero_improvement,1,10,10,10,0,true,true
core_120s,D2,a1-root-sparse-2x2,0.13206009960852372,0.89921838023764178,17.377453160213918,18.40873164006009,0.04700016975402832,0.3320000171661377,10.052999973297119,10.432000160217285,10.7576714,1,8,1,4,8,2,0,none,1,10,10,10,0,true,true
core_120s,D3,a1-root-sparse-2x2,0.39849707812017943,3.1149749026394278,259.63091677577728,263.14438875653684,0.13400006294250488,1.0969998836517334,115.83400011062622,117.06500005722046,118.0894783,1,8,1,4,8,0,0,all_valid_candidates_zero_improvement,1,10,10,10,0,true,true
core_120s,D4,a1-root-sparse-2x2,0.39495288471362283,3.5540082463405236,247.50605591309866,251.45501704415284,0.13299989700317383,1.2309999465942383,115.70599985122681,117.06999969482422,118.0890941,1,8,1,4,8,2,0,none,1,10,10,10,0,true,true
core_120s,D5,a1-root-sparse-2x2,0.45727005131146919,3.5696398809880767,17.741466075943237,21.768376008242782,0.14899992942810059,1.2159998416900635,8.8059999942779541,10.170999765396118,11.173204200000001,1,8,1,4,8,2,0,none,1,10,10,10,0,true,true
core_120s,D6,a1-root-sparse-2x2,0.22210768163496603,1.7969148983204732,42.069727435005134,44.088750014960574,0.081000089645385742,0.68199992179870605,23.595000028610229,24.358000040054321,25.053111300000001,1,8,1,4,8,2,0,none,1,10,10,10,0,true,true
core_120s,D9,a1-root-sparse-2x2,0.73320858909251196,4.6729436169776619,235.48093813076625,240.88709033683642,0.25799989700317383,1.7560005187988281,115.59800004959106,117.61200046539307,118.0409295,1,8,1,4,8,2,0,none,1,10,10,10,0,true,true
core_120s,D10,a1-root-sparse-2x2,0.81444038782172512,5.3832464405078531,199.30559044359478,205.50327727192436,0.3040001392364502,2.108999490737915,98.98799991607666,101.40099954605103,101.8136914,1,8,1,4,8,2,0,none,1,10,10,10,0,true,true
core_120s,D11,a1-root-sparse-2x2,0.65844637948576712,4.9973986604426415,229.34569953319755,235.00154457312593,0.24100017547607422,1.8519999980926514,115.51599979400635,117.60899996757507,118.0451307,1,8,1,4,8,2,0,none,1,10,10,10,0,true,true
revision_core_120s,D1,a1r-root-sparse-top1,0.31680542258080457,2.5097103148220623,252.04613069435476,254.87264643175766,0.11299991607666016,0.94300031661987305,116.02500009536743,117.08100032806396,118.0823161,1,8,1,4,8,0,0,all_valid_candidates_zero_improvement,1,10,10,10,0,true,true
revision_core_120s,D2,a1r-root-sparse-top1,0.13206009960852372,0.89921838023764178,19.124089001675664,20.155367481521836,0.046000003814697266,0.33800029754638672,11.036999940872192,11.421000242233276,11.743985800000001,1,8,1,4,8,1,0,none,1,10,10,10,0,true,true
revision_core_120s,D3,a1r-root-sparse-top1,0.39849707812017943,3.1149749026394278,259.40501191481047,262.91848389557003,0.13400006294250488,1.0879998207092285,115.82200002670288,117.04399991035461,118.08610659999999,1,8,1,4,8,0,0,all_valid_candidates_zero_improvement,1,10,10,10,0,true,true
revision_core_120s,D4,a1r-root-sparse-top1,0.39495288471362283,3.5540082463405236,248.42205588017123,252.3710170112254,0.13299989700317383,1.2179996967315674,115.71399998664856,117.0649995803833,118.0847789,1,8,1,4,8,1,0,none,1,10,10,10,0,true,true
revision_core_120s,D5,a1r-root-sparse-top1,0.45727005131146919,3.5696398809880767,19.021035905444059,23.047945837743605,0.15199995040893555,1.2249996662139893,9.5720000267028809,10.948999643325806,11.9431347,1,8,1,4,8,1,0,none,1,10,10,10,0,true,true
revision_core_120s,D6,a1r-root-sparse-top1,0.22210768163496603,1.7969148983204732,55.683811549263162,57.702834129218601,0.085999965667724609,0.68399953842163086,26.305999994277954,27.07599949836731,27.779311700000001,1,8,1,4,8,1,0,none,1,10,10,10,0,true,true
revision_core_120s,D9,a1r-root-sparse-top1,0.73320858909251196,4.6729436169776619,233.02293197141321,238.42908417748339,0.25600004196166992,1.8019993305206299,115.56699991226196,117.62499928474426,118.0545589,1,8,1,4,8,1,0,none,1,10,10,10,0,true,true
revision_core_120s,D10,a1r-root-sparse-top1,0.81444038782172512,5.3832464405078531,199.30559044359478,205.50327727192436,0.30299997329711914,2.0820004940032959,99.107000112533569,101.49200057983398,101.907856,1,8,1,4,8,1,0,none,1,10,10,10,0,true,true
revision_core_120s,D11,a1r-root-sparse-top1,0.65844637948576712,4.9973986604426415,230.47728188251344,236.13312692244182,0.24099993705749512,1.8399999141693115,115.52799987792969,117.60899972915649,118.0439722,1,8,1,4,8,1,0,none,1,10,10,10,0,true,true
