parent_id,parent_L,parent_U,left_id,left_L,left_U,right_id,right_L,right_U,exact_coverage,atomic_replacement,tolerance
ROOT,0,0.94999999999999996,R,0,0.94999999999999996,NA,0,0,1,true,9.9999999999999995e-08
R,0,0.94999999999999996,R.0,0,0.47499999999999998,R.1,0.47499999999999998,0.94999999999999996,true,true,9.9999999999999995e-08
R.0,0,0.47499999999999998,R.0.0,0,0.23749999999999999,R.0.1,0.23749999999999999,0.47499999999999998,true,true,9.9999999999999995e-08
R.1,0.47499999999999998,0.94999999999999996,R.1.0,0.47499999999999998,0.71249999999999991,R.1.1,0.71249999999999991,0.94999999999999996,true,true,9.9999999999999995e-08
R.1.0,0.47499999999999998,0.71249999999999991,R.1.0.0,0.47499999999999998,0.59375,R.1.0.1,0.59375,0.71249999999999991,true,true,9.9999999999999995e-08
R.1.1,0.71249999999999991,0.94999999999999996,R.1.1.0,0.71249999999999991,0.83124999999999993,R.1.1.1,0.83124999999999993,0.94999999999999996,true,true,9.9999999999999995e-08
R.1.0.1,0.59375,0.71249999999999991,R.1.0.1.0,0.59375,0.65312499999999996,R.1.0.1.1,0.65312499999999996,0.71249999999999991,true,true,9.9999999999999995e-08
R.1.0.0,0.47499999999999998,0.59375,R.1.0.0.0,0.47499999999999998,0.53437500000000004,R.1.0.0.1,0.53437500000000004,0.59375,true,true,9.9999999999999995e-08
R.1.0.0.1,0.53437500000000004,0.59375,R.1.0.0.1.0,0.53437500000000004,0.56406250000000002,R.1.0.0.1.1,0.56406250000000002,0.59375,true,true,9.9999999999999995e-08
R.1.0.0.0,0.47499999999999998,0.53437500000000004,R.1.0.0.0.0,0.47499999999999998,0.50468749999999996,R.1.0.0.0.1,0.50468749999999996,0.53437500000000004,true,true,9.9999999999999995e-08
R.1.0.0.0.0,0.47499999999999998,0.50468749999999996,R.1.0.0.0.0.0,0.47499999999999998,0.48984374999999997,R.1.0.0.0.0.1,0.48984374999999997,0.50468749999999996,true,true,9.9999999999999995e-08
R.1.0.0.0.1,0.50468749999999996,0.53437500000000004,R.1.0.0.0.1.0,0.50468749999999996,0.51953125,R.1.0.0.0.1.1,0.51953125,0.53437500000000004,true,true,9.9999999999999995e-08
R.1.0.0.0.1.0,0.50468749999999996,0.51953125,R.1.0.0.0.1.0.0,0.50468749999999996,0.51210937499999998,R.1.0.0.0.1.0.1,0.51210937499999998,0.51953125,true,true,9.9999999999999995e-08
R.1.0.0.0.1.1,0.51953125,0.53437500000000004,R.1.0.0.0.1.1.0,0.51953125,0.52695312500000002,R.1.0.0.0.1.1.1,0.52695312500000002,0.53437500000000004,true,true,9.9999999999999995e-08
R.1.0.0.0.1.1.0,0.51953125,0.52695312500000002,R.1.0.0.0.1.1.0.0,0.51953125,0.52324218749999996,R.1.0.0.0.1.1.0.1,0.52324218749999996,0.52695312500000002,true,true,9.9999999999999995e-08
R.1.0.0.0.1.1.1,0.52695312500000002,0.53437500000000004,R.1.0.0.0.1.1.1.0,0.52695312500000002,0.53066406250000009,R.1.0.0.0.1.1.1.1,0.53066406250000009,0.53437500000000004,true,true,9.9999999999999995e-08
R.1.0.0.0.1.1.1.1,0.53066406250000009,0.53437500000000004,R.1.0.0.0.1.1.1.1.0,0.53066406250000009,0.53251953125000007,R.1.0.0.0.1.1.1.1.1,0.53251953125000007,0.53437500000000004,true,true,9.9999999999999995e-08
R.1.0.0.0.1.1.1.0,0.52695312500000002,0.53066406250000009,R.1.0.0.0.1.1.1.0.0,0.52695312500000002,0.52880859375,R.1.0.0.0.1.1.1.0.1,0.52880859375,0.53066406250000009,true,true,9.9999999999999995e-08
R.1.0.0.0.1.1.1.0.0,0.52695312500000002,0.52880859375,R.1.0.0.0.1.1.1.0.0.0,0.52695312500000002,0.52788085937499996,R.1.0.0.0.1.1.1.0.0.1,0.52788085937499996,0.52880859375,true,true,9.9999999999999995e-08
R.1.0.0.0.1.1.1.0.1,0.52880859375,0.53066406250000009,R.1.0.0.0.1.1.1.0.1.0,0.52880859375,0.52973632812500004,R.1.0.0.0.1.1.1.0.1.1,0.52973632812500004,0.53066406250000009,true,true,9.9999999999999995e-08
R.1.0.0.0.1.1.1.1.0,0.53066406250000009,0.53251953125000007,R.1.0.0.0.1.1.1.1.0.0,0.53066406250000009,0.53159179687500013,R.1.0.0.0.1.1.1.1.0.1,0.53159179687500013,0.53251953125000007,true,true,9.9999999999999995e-08
R.1.0.0.0.1.1.1.1.1,0.53251953125000007,0.53437500000000004,R.1.0.0.0.1.1.1.1.1.0,0.53251953125000007,0.533447265625,R.1.0.0.0.1.1.1.1.1.1,0.533447265625,0.53437500000000004,true,true,9.9999999999999995e-08
R.1.0.0.0.1.1.0.0,0.51953125,0.52324218749999996,R.1.0.0.0.1.1.0.0.0,0.51953125,0.52138671874999998,R.1.0.0.0.1.1.0.0.1,0.52138671874999998,0.52324218749999996,true,true,9.9999999999999995e-08
