panel_row_id,instance_id,V,M,scenario,hga_verified_proof_upper,simple_verified_proof_upper,ub_values_differ,weaker_proof_upper,stronger_proof_upper,legacy_weaker_endpoints,legacy_stronger_endpoints,legacy_relevant_boundaries_preserved,nested_weaker_level,nested_stronger_level,nested_weaker_endpoints,nested_stronger_endpoints,nested_relevant_boundaries_preserved,interpretation
r36_01_V12_M1,V12_M1,12,1,v12,0.3572005832084155,0.3930800180051011,True,0.3930800180051011,0.3572005832084155,0;0.098270004501275279;0.19654000900255056;0.29481001350382585;0.39308001800510112,0;0.089300145802103881;0.17860029160420776;0.26790043740631164;0.35720058320841552,False,3,3,0;0.11458333333333333;0.22916666666666666;0.34375;0.39308001800510112,0;0.11458333333333333;0.22916666666666666;0.34375;0.35720058320841552,True,geometry_projection_on_preexisting_verified_ub_pairs_no_runtime_monotonicity_claim
r36_02_V12_M2,V12_M2,12,2,v12,0.7185040707549709,0.7893423968012562,True,0.7893423968012562,0.7185040707549709,0;0.19733559920031404;0.39467119840062809;0.5920067976009421;0.78934239680125617,0;0.17962601768874273;0.35925203537748546;0.53887805306622816;0.71850407075497091,False,2,2,0;0.22916666666666666;0.45833333333333331;0.6875;0.78934239680125617,0;0.22916666666666666;0.45833333333333331;0.6875;0.71850407075497091,True,geometry_projection_on_preexisting_verified_ub_pairs_no_runtime_monotonicity_claim
r36_03_high_imbalance_seed3202,high_imbalance_seed3202,20,3,high_imbalance,0.95,0.95,False,0.95,0.95,0;0.23749999999999999;0.47499999999999998;0.71249999999999991;0.94999999999999996,0;0.23749999999999999;0.47499999999999998;0.71249999999999991;0.94999999999999996,True,2,2,0;0.23749999999999999;0.47499999999999998;0.71249999999999991;0.94999999999999996,0;0.23749999999999999;0.47499999999999998;0.71249999999999991;0.94999999999999996,True,geometry_projection_on_preexisting_verified_ub_pairs_no_runtime_monotonicity_claim
r36_04_round32_multi_m_tight_T_V20_M2_seed89001413,round32_multi_m_tight_T_V20_M2_seed89001413,20,2,tight_T,0.35363892908469974,0.42185791230189496,True,0.42185791230189496,0.35363892908469974,0;0.10546447807547374;0.21092895615094748;0.31639343422642119;0.42185791230189496,0;0.088409732271174934;0.17681946454234987;0.2652291968135248;0.35363892908469974,False,3,3,0;0.11874999999999999;0.23749999999999999;0.35624999999999996;0.42185791230189496,0;0.11874999999999999;0.23749999999999999;0.35363892908469974,True,geometry_projection_on_preexisting_verified_ub_pairs_no_runtime_monotonicity_claim
r36_05_tight_T_seed5103,tight_T_seed5103,20,3,tight_T,0.2849628509699851,0.47493373175620823,True,0.47493373175620823,0.2849628509699851,0;0.11873343293905206;0.23746686587810412;0.3562002988171562;0.47493373175620823,0;0.071240712742496271;0.14248142548499254;0.21372213822748881;0.28496285096998508,False,3,3,0;0.11874999999999999;0.23749999999999999;0.35624999999999996;0.47493373175620823,0;0.11874999999999999;0.23749999999999999;0.28496285096998508,True,geometry_projection_on_preexisting_verified_ub_pairs_no_runtime_monotonicity_claim
r36_06_moderate_seed5301,moderate_seed5301,20,3,moderate,0.16885733659692667,0.24325805444040238,True,0.24325805444040238,0.16885733659692667,0;0.060814513610100596;0.12162902722020119;0.18244354083030179;0.24325805444040238,0;0.042214334149231668;0.084428668298463336;0.126643002447695;0.16885733659692667,False,3,4,0;0.11874999999999999;0.23749999999999999;0.24325805444040238,0;0.059374999999999997;0.11874999999999999;0.16885733659692667,True,geometry_projection_on_preexisting_verified_ub_pairs_no_runtime_monotonicity_claim
r36_07_high_imbalance_seed5203,high_imbalance_seed5203,20,3,high_imbalance,0.95,0.95,False,0.95,0.95,0;0.23749999999999999;0.47499999999999998;0.71249999999999991;0.94999999999999996,0;0.23749999999999999;0.47499999999999998;0.71249999999999991;0.94999999999999996,True,2,2,0;0.23749999999999999;0.47499999999999998;0.71249999999999991;0.94999999999999996,0;0.23749999999999999;0.47499999999999998;0.71249999999999991;0.94999999999999996,True,geometry_projection_on_preexisting_verified_ub_pairs_no_runtime_monotonicity_claim
r36_08_tight_T_seed5102,tight_T_seed5102,20,3,tight_T,0.3623546627845846,0.440522065322945,True,0.440522065322945,0.3623546627845846,0;0.11013051633073626;0.22026103266147251;0.33039154899220879;0.44052206532294502,0;0.090588665696146153;0.18117733139229231;0.27176599708843846;0.36235466278458461,False,3,3,0;0.11874999999999999;0.23749999999999999;0.35624999999999996;0.44052206532294502,0;0.11874999999999999;0.23749999999999999;0.35624999999999996;0.36235466278458461,True,geometry_projection_on_preexisting_verified_ub_pairs_no_runtime_monotonicity_claim
r36_09_round31_sealed_moderate_V50_seed1112848618,round31_sealed_moderate_V50_seed1112848618,50,3,moderate,0.6874838397370203,0.7588125173791058,True,0.7588125173791058,0.6874838397370203,0;0.18970312934477646;0.37940625868955291;0.56910938803432942;0.75881251737910582,0;0.17187095993425508;0.34374191986851016;0.51561287980276527;0.68748383973702032,False,2,2,0;0.245;0.48999999999999999;0.73499999999999999;0.75881251737910582,0;0.245;0.48999999999999999;0.68748383973702032,True,geometry_projection_on_preexisting_verified_ub_pairs_no_runtime_monotonicity_claim
r36_10_high_imbalance_seed6202,high_imbalance_seed6202,50,3,high_imbalance,0.98,0.98,False,0.98,0.98,0;0.245;0.48999999999999999;0.73499999999999999;0.97999999999999998,0;0.245;0.48999999999999999;0.73499999999999999;0.97999999999999998,True,2,2,0;0.245;0.48999999999999999;0.73499999999999999;0.97999999999999998,0;0.245;0.48999999999999999;0.73499999999999999;0.97999999999999998,True,geometry_projection_on_preexisting_verified_ub_pairs_no_runtime_monotonicity_claim
