instance_id,diagnostic_role,candidate,p_grb_seconds,k4_seconds,candidate_seconds,candidate_over_p_grb_time_ratio,candidate_over_k4_time_ratio,k4_work,candidate_work,candidate_over_k4_work_ratio,k4_integer_jobs,candidate_integer_jobs,k4_split_count,candidate_split_count,candidate_strict_certificate,candidate_expected_unresolved_endpoint
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,round39_easy_p_grb_win,C6-K1-SINGLE,0.0505268,2.4657144,2.4420041,48.330867975015245,0.9903840039219466,0.0,0.0,1.0,0,0,0,0,True,False
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,round39_easy_p_grb_win,C6-K1-ADAPTIVE,0.0505268,2.4657144,2.4375562,48.2428374644743,0.9885801048166811,0.0,0.0,1.0,0,0,0,0,True,False
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,round39_easy_p_grb_win,C6-K1-ADAPTIVE-DECISIVE,0.0505268,2.4657144,2.4538474,48.56526437454975,0.9951871960515783,0.0,0.0,1.0,0,0,0,0,True,False
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,round39_easy_p_grb_win_largest_easy,C6-K1-SINGLE,1.6591912,30.1220781,17.3853921,10.478233069220714,0.5771644320914233,47.3035471806965,26.92093860322223,0.5691103565740214,7,1,1,0,True,False
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,round39_easy_p_grb_win_largest_easy,C6-K1-ADAPTIVE,1.6591912,30.1220781,22.0393739,13.283203225764458,0.7316684402328802,47.3035471806965,31.69166292110626,0.6699637724850983,7,4,1,2,True,False
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,round39_easy_p_grb_win_largest_easy,C6-K1-ADAPTIVE-DECISIVE,1.6591912,30.1220781,18.0451394,10.875864939495822,0.5990668817766593,47.3035471806965,27.71145439194351,0.5858219106928184,7,1,1,0,True,False
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,major_round39_medium_regression,C6-K1-SINGLE,934.6871832,1911.4661885,1414.1596593,1.512976410416237,0.7398298059406139,4373.077783569157,3052.419542372892,0.6980025724311748,8,1,1,0,True,False
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,major_round39_medium_regression,C6-K1-ADAPTIVE,934.6871832,1911.4661885,1644.5807784,1.7594985872916376,0.8603765990182463,4373.077783569157,3650.2731346873443,0.8347148885396948,8,4,1,1,True,False
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,major_round39_medium_regression,C6-K1-ADAPTIVE-DECISIVE,934.6871832,1911.4661885,1332.2623796,1.4253564224972675,0.6969845386830916,4373.077783569157,3053.144664602985,0.6981683875083311,8,1,1,0,True,False
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,additional_medium_c6_win,C6-K1-SINGLE,4.3065391,3.8686028,2.7520499,0.6390398034468094,0.7113808375468269,3.407074912530055,2.2719420251745115,0.6668306636930954,6,1,1,0,True,False
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,additional_medium_c6_win,C6-K1-ADAPTIVE,4.3065391,3.8686028,3.3782874,0.7844552949722434,0.8732577560043124,3.407074912530055,2.9338241260959674,0.8610976281461752,6,4,1,1,True,False
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,additional_medium_c6_win,C6-K1-ADAPTIVE-DECISIVE,4.3065391,3.8686028,2.8534963,0.6625961668384713,0.737603844985068,3.407074912530055,2.3515125227806797,0.6901851538786605,6,1,1,0,True,False
round39_small_medium_V10_M2_Q20_slot05_seed968549317,additional_medium_c6_win,C6-K1-SINGLE,292.1943537,65.3808308,22.3720539,0.07656566123440461,0.34218063041193414,109.91515934198168,37.11258637258066,0.3376475692230166,7,1,0,0,True,False
round39_small_medium_V10_M2_Q20_slot05_seed968549317,additional_medium_c6_win,C6-K1-ADAPTIVE,292.1943537,65.3808308,23.6559916,0.08095978344704065,0.36181846132184664,109.91515934198168,41.00785229828848,0.3730864108625796,7,4,0,1,True,False
round39_small_medium_V10_M2_Q20_slot05_seed968549317,additional_medium_c6_win,C6-K1-ADAPTIVE-DECISIVE,292.1943537,65.3808308,22.3569545,0.07651398535563146,0.34194968504438156,109.91515934198168,37.3005140975814,0.33935732178240685,7,1,0,0,True,False
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,round39_hard_p_grb_win,C6-K1-SINGLE,0.6111954,1.6598264,1.3734665,2.2471806888598964,0.827475993875022,1.1499275494877275,1.0575616258379967,0.9196767451211356,3,1,2,0,True,False
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,round39_hard_p_grb_win,C6-K1-ADAPTIVE,0.6111954,1.6598264,1.4115948,2.309563848157234,0.8504472515920942,1.1499275494877275,1.066432914018878,0.9273913947830497,3,2,2,0,True,False
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,round39_hard_p_grb_win,C6-K1-ADAPTIVE-DECISIVE,0.6111954,1.6598264,1.5038354,2.46048219603747,0.9060196897699663,1.1499275494877275,1.1378014614477294,0.9894549112721058,3,1,2,0,True,False
round39_small_hard_V10_M1_Q20_slot01_seed561355351,round39_hard_p_grb_win,C6-K1-SINGLE,0.5189224,1.6887786,1.3068472,2.5183865641567986,0.7738416391586203,0.989274344317732,0.849163151506068,0.8583697296746396,3,1,3,0,True,False
