round_id,part,serial_order,run_id,instance_id,instance_sha256,diagnostic_role,smoke_subset,difficulty_stratum,V,M,Q,arm,coarse_start_policy,gurobi_presolve,process_cap_seconds,shutdown_margin_seconds,watchdog_seconds,one_thread,gurobi_seed,relative_gap,absolute_gap,selection_basis,mechanism_uses_historical_outcome
40,1,11,k1__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__c6_k1_single,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,29e0ca2c95ec2e061aa1cc524aaf6a41bf6c4a34355dca86df6966aa8a29b6b4,major_round39_medium_regression,False,small-medium,12,3,30,C6-K1-SINGLE,k1-single,-1,10800.0,20,10980.0,True,0,0.0,0.0,predeclared_round39_diagnostic_roles,False
40,1,12,k1__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__c6_k1_adaptive,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,29e0ca2c95ec2e061aa1cc524aaf6a41bf6c4a34355dca86df6966aa8a29b6b4,major_round39_medium_regression,False,small-medium,12,3,30,C6-K1-ADAPTIVE,k1-adaptive,-1,10800.0,20,10980.0,True,0,0.0,0.0,predeclared_round39_diagnostic_roles,False
40,1,13,k1__round39_small_medium_V8_M3_Q30_slot03_seed1177285734__p_grb,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,fcbe294480dcacf0303cc2dc12c948335d8d8c8f4f875de2feb58ae21ed83bbb,additional_medium_c6_win,True,small-medium,8,3,30,P-GRB,not_applicable,-1,10800.0,20,10980.0,True,0,0.0,0.0,predeclared_round39_diagnostic_roles,False
40,1,14,k1__round39_small_medium_V8_M3_Q30_slot03_seed1177285734__c6_hga_full_k4,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,fcbe294480dcacf0303cc2dc12c948335d8d8c8f4f875de2feb58ae21ed83bbb,additional_medium_c6_win,True,small-medium,8,3,30,C6-HGA-FULL-K4,off,-1,10800.0,20,10980.0,True,0,0.0,0.0,predeclared_round39_diagnostic_roles,False
40,1,15,k1__round39_small_medium_V8_M3_Q30_slot03_seed1177285734__c6_k1_single,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,fcbe294480dcacf0303cc2dc12c948335d8d8c8f4f875de2feb58ae21ed83bbb,additional_medium_c6_win,True,small-medium,8,3,30,C6-K1-SINGLE,k1-single,-1,10800.0,20,10980.0,True,0,0.0,0.0,predeclared_round39_diagnostic_roles,False
40,1,16,k1__round39_small_medium_V8_M3_Q30_slot03_seed1177285734__c6_k1_adaptive,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,fcbe294480dcacf0303cc2dc12c948335d8d8c8f4f875de2feb58ae21ed83bbb,additional_medium_c6_win,True,small-medium,8,3,30,C6-K1-ADAPTIVE,k1-adaptive,-1,10800.0,20,10980.0,True,0,0.0,0.0,predeclared_round39_diagnostic_roles,False
40,1,17,k1__round39_small_medium_V10_M2_Q20_slot05_seed968549317__p_grb,round39_small_medium_V10_M2_Q20_slot05_seed968549317,26d880932532ff3cff9602b44f5451acc7c47d6642a0faa5c23392bc77c83e4a,additional_medium_c6_win,False,small-medium,10,2,20,P-GRB,not_applicable,-1,10800.0,20,10980.0,True,0,0.0,0.0,predeclared_round39_diagnostic_roles,False
40,1,18,k1__round39_small_medium_V10_M2_Q20_slot05_seed968549317__c6_hga_full_k4,round39_small_medium_V10_M2_Q20_slot05_seed968549317,26d880932532ff3cff9602b44f5451acc7c47d6642a0faa5c23392bc77c83e4a,additional_medium_c6_win,False,small-medium,10,2,20,C6-HGA-FULL-K4,off,-1,10800.0,20,10980.0,True,0,0.0,0.0,predeclared_round39_diagnostic_roles,False
40,1,19,k1__round39_small_medium_V10_M2_Q20_slot05_seed968549317__c6_k1_single,round39_small_medium_V10_M2_Q20_slot05_seed968549317,26d880932532ff3cff9602b44f5451acc7c47d6642a0faa5c23392bc77c83e4a,additional_medium_c6_win,False,small-medium,10,2,20,C6-K1-SINGLE,k1-single,-1,10800.0,20,10980.0,True,0,0.0,0.0,predeclared_round39_diagnostic_roles,False
40,1,20,k1__round39_small_medium_V10_M2_Q20_slot05_seed968549317__c6_k1_adaptive,round39_small_medium_V10_M2_Q20_slot05_seed968549317,26d880932532ff3cff9602b44f5451acc7c47d6642a0faa5c23392bc77c83e4a,additional_medium_c6_win,False,small-medium,10,2,20,C6-K1-ADAPTIVE,k1-adaptive,-1,10800.0,20,10980.0,True,0,0.0,0.0,predeclared_round39_diagnostic_roles,False
40,1,21,k1__round39_small_hard_V10_M1_Q30_slot02_seed1721447042__p_grb,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,065d0f472f63fb8fe2f6e82c0834e9622db12c64af879f96bd576660c39272c9,round39_hard_p_grb_win,True,small-hard,10,1,30,P-GRB,not_applicable,-1,10800.0,20,10980.0,True,0,0.0,0.0,predeclared_round39_diagnostic_roles,False
40,1,22,k1__round39_small_hard_V10_M1_Q30_slot02_seed1721447042__c6_hga_full_k4,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,065d0f472f63fb8fe2f6e82c0834e9622db12c64af879f96bd576660c39272c9,round39_hard_p_grb_win,True,small-hard,10,1,30,C6-HGA-FULL-K4,off,-1,10800.0,20,10980.0,True,0,0.0,0.0,predeclared_round39_diagnostic_roles,False
40,1,23,k1__round39_small_hard_V10_M1_Q30_slot02_seed1721447042__c6_k1_single,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,065d0f472f63fb8fe2f6e82c0834e9622db12c64af879f96bd576660c39272c9,round39_hard_p_grb_win,True,small-hard,10,1,30,C6-K1-SINGLE,k1-single,-1,10800.0,20,10980.0,True,0,0.0,0.0,predeclared_round39_diagnostic_roles,False
40,1,24,k1__round39_small_hard_V10_M1_Q30_slot02_seed1721447042__c6_k1_adaptive,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,065d0f472f63fb8fe2f6e82c0834e9622db12c64af879f96bd576660c39272c9,round39_hard_p_grb_win,True,small-hard,10,1,30,C6-K1-ADAPTIVE,k1-adaptive,-1,10800.0,20,10980.0,True,0,0.0,0.0,predeclared_round39_diagnostic_roles,False
40,1,25,k1__round39_small_hard_V10_M1_Q20_slot01_seed561355351__p_grb,round39_small_hard_V10_M1_Q20_slot01_seed561355351,08cc363f365dec28647189686a8f1d7081f922d88e40c1ccac9c42e1b696893c,round39_hard_p_grb_win,True,small-hard,10,1,20,P-GRB,not_applicable,-1,10800.0,20,10980.0,True,0,0.0,0.0,predeclared_round39_diagnostic_roles,False
40,1,26,k1__round39_small_hard_V10_M1_Q20_slot01_seed561355351__c6_hga_full_k4,round39_small_hard_V10_M1_Q20_slot01_seed561355351,08cc363f365dec28647189686a8f1d7081f922d88e40c1ccac9c42e1b696893c,round39_hard_p_grb_win,True,small-hard,10,1,20,C6-HGA-FULL-K4,off,-1,10800.0,20,10980.0,True,0,0.0,0.0,predeclared_round39_diagnostic_roles,False
40,1,27,k1__round39_small_hard_V10_M1_Q20_slot01_seed561355351__c6_k1_single,round39_small_hard_V10_M1_Q20_slot01_seed561355351,08cc363f365dec28647189686a8f1d7081f922d88e40c1ccac9c42e1b696893c,round39_hard_p_grb_win,True,small-hard,10,1,20,C6-K1-SINGLE,k1-single,-1,10800.0,20,10980.0,True,0,0.0,0.0,predeclared_round39_diagnostic_roles,False
40,1,28,k1__round39_small_hard_V10_M1_Q20_slot01_seed561355351__c6_k1_adaptive,round39_small_hard_V10_M1_Q20_slot01_seed561355351,08cc363f365dec28647189686a8f1d7081f922d88e40c1ccac9c42e1b696893c,round39_hard_p_grb_win,True,small-hard,10,1,20,C6-K1-ADAPTIVE,k1-adaptive,-1,10800.0,20,10980.0,True,0,0.0,0.0,predeclared_round39_diagnostic_roles,False
40,1,29,k1__round39_small_hard_V12_M3_Q20_slot07_seed621538683__p_grb,round39_small_hard_V12_M3_Q20_slot07_seed621538683,963a8887d9c69a19824a0c250de4099a68b8c0e17288196b25cc46d74eb890b1,round39_unresolved_endpoint_witness,False,small-hard,12,3,20,P-GRB,not_applicable,-1,10800.0,20,10980.0,True,0,0.0,0.0,predeclared_round39_diagnostic_roles,False
40,1,30,k1__round39_small_hard_V12_M3_Q20_slot07_seed621538683__c6_hga_full_k4,round39_small_hard_V12_M3_Q20_slot07_seed621538683,963a8887d9c69a19824a0c250de4099a68b8c0e17288196b25cc46d74eb890b1,round39_unresolved_endpoint_witness,False,small-hard,12,3,20,C6-HGA-FULL-K4,off,-1,10800.0,20,10980.0,True,0,0.0,0.0,predeclared_round39_diagnostic_roles,False
40,1,31,k1__round39_small_hard_V12_M3_Q20_slot07_seed621538683__c6_k1_single,round39_small_hard_V12_M3_Q20_slot07_seed621538683,963a8887d9c69a19824a0c250de4099a68b8c0e17288196b25cc46d74eb890b1,round39_unresolved_endpoint_witness,False,small-hard,12,3,20,C6-K1-SINGLE,k1-single,-1,10800.0,20,10980.0,True,0,0.0,0.0,predeclared_round39_diagnostic_roles,False
40,1,32,k1__round39_small_hard_V12_M3_Q20_slot07_seed621538683__c6_k1_adaptive,round39_small_hard_V12_M3_Q20_slot07_seed621538683,963a8887d9c69a19824a0c250de4099a68b8c0e17288196b25cc46d74eb890b1,round39_unresolved_endpoint_witness,False,small-hard,12,3,20,C6-K1-ADAPTIVE,k1-adaptive,-1,10800.0,20,10980.0,True,0,0.0,0.0,predeclared_round39_diagnostic_roles,False
40,1,33,k1__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__p_grb,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,strong_round39_c6_positive_control,False,small-hard,12,3,30,P-GRB,not_applicable,-1,10800.0,20,10980.0,True,0,0.0,0.0,predeclared_round39_diagnostic_roles,False
40,1,34,k1__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__c6_hga_full_k4,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,strong_round39_c6_positive_control,False,small-hard,12,3,30,C6-HGA-FULL-K4,off,-1,10800.0,20,10980.0,True,0,0.0,0.0,predeclared_round39_diagnostic_roles,False
40,1,35,k1__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__c6_k1_single,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,strong_round39_c6_positive_control,False,small-hard,12,3,30,C6-K1-SINGLE,k1-single,-1,10800.0,20,10980.0,True,0,0.0,0.0,predeclared_round39_diagnostic_roles,False
40,1,36,k1__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__c6_k1_adaptive,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,strong_round39_c6_positive_control,False,small-hard,12,3,30,C6-K1-ADAPTIVE,k1-adaptive,-1,10800.0,20,10980.0,True,0,0.0,0.0,predeclared_round39_diagnostic_roles,False
40,1,37,k1__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__p_grb,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,7c4b46a1932e53e6ae193d01085bcc226236ffdc01c03a27bdbb6ebb483455a8,additional_hard_c6_win,True,small-hard,10,3,20,P-GRB,not_applicable,-1,10800.0,20,10980.0,True,0,0.0,0.0,predeclared_round39_diagnostic_roles,False
40,1,38,k1__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__c6_hga_full_k4,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,7c4b46a1932e53e6ae193d01085bcc226236ffdc01c03a27bdbb6ebb483455a8,additional_hard_c6_win,True,small-hard,10,3,20,C6-HGA-FULL-K4,off,-1,10800.0,20,10980.0,True,0,0.0,0.0,predeclared_round39_diagnostic_roles,False
40,1,39,k1__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__c6_k1_single,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,7c4b46a1932e53e6ae193d01085bcc226236ffdc01c03a27bdbb6ebb483455a8,additional_hard_c6_win,True,small-hard,10,3,20,C6-K1-SINGLE,k1-single,-1,10800.0,20,10980.0,True,0,0.0,0.0,predeclared_round39_diagnostic_roles,False
40,1,40,k1__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__c6_k1_adaptive,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,7c4b46a1932e53e6ae193d01085bcc226236ffdc01c03a27bdbb6ebb483455a8,additional_hard_c6_win,True,small-hard,10,3,20,C6-K1-ADAPTIVE,k1-adaptive,-1,10800.0,20,10980.0,True,0,0.0,0.0,predeclared_round39_diagnostic_roles,False
