instance_id,hga_full_proof_upper,hga_light_proof_upper,ub_values_differ,weaker_proof_upper,stronger_proof_upper,legacy_weaker_endpoints,legacy_stronger_endpoints,legacy_relevant_boundaries_preserved,nested_weaker_level,nested_stronger_level,nested_weaker_endpoints,nested_stronger_endpoints,nested_relevant_boundaries_preserved,interpretation
round39_small_easy_V8_M1_Q30_slot01_seed432322553,0.02306393542412984,0.02306393542412984,False,0.02306393542412984,0.02306393542412984,0;0.0057659838560324599;0.01153196771206492;0.017297951568097381;0.02306393542412984,0;0.0057659838560324599;0.01153196771206492;0.017297951568097381;0.02306393542412984,True,7,7,0;0.0068359375;0.013671875;0.0205078125;0.02306393542412984,0;0.0068359375;0.013671875;0.0205078125;0.02306393542412984,True,geometry_projection_only_no_runtime_monotonicity_claim
round39_small_easy_V8_M2_Q20_slot02_seed944712007,0.024406570011031435,0.024406570011031435,False,0.024406570011031435,0.024406570011031435,0;0.0061016425027578588;0.012203285005515718;0.018304927508273575;0.024406570011031435,0;0.0061016425027578588;0.012203285005515718;0.018304927508273575;0.024406570011031435,True,7,7,0;0.0068359375;0.013671875;0.0205078125;0.024406570011031435,0;0.0068359375;0.013671875;0.0205078125;0.024406570011031435,True,geometry_projection_only_no_runtime_monotonicity_claim
round39_small_easy_V8_M2_Q30_slot03_seed1019524729,0.011571906354515056,0.011571906354515056,False,0.011571906354515056,0.011571906354515056,0;0.002892976588628764;0.005785953177257528;0.008678929765886292;0.011571906354515056,0;0.002892976588628764;0.005785953177257528;0.008678929765886292;0.011571906354515056,True,8,8,0;0.00341796875;0.0068359375;0.01025390625;0.011571906354515056,0;0.00341796875;0.0068359375;0.01025390625;0.011571906354515056,True,geometry_projection_only_no_runtime_monotonicity_claim
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,0.0,0.0,False,0.0,0.0,0;0;0;0;0,0;0;0;0;0,True,0,0,0;0,0;0,True,geometry_projection_only_no_runtime_monotonicity_claim
round39_small_easy_V10_M2_Q30_slot05_seed332426708,0.015268500023226654,0.015268500023226654,False,0.015268500023226654,0.015268500023226654,0;0.0038171250058066635;0.007634250011613327;0.011451375017419991;0.015268500023226654,0;0.0038171250058066635;0.007634250011613327;0.011451375017419991;0.015268500023226654,True,7,7,0;0.0070312500000000002;0.0140625;0.015268500023226654,0;0.0070312500000000002;0.0140625;0.015268500023226654,True,geometry_projection_only_no_runtime_monotonicity_claim
round39_small_easy_V10_M3_Q20_slot06_seed1178207568,0.013591474820774569,0.013591474820774569,False,0.013591474820774569,0.013591474820774569,0;0.0033978687051936423;0.0067957374103872845;0.010193606115580928;0.013591474820774569,0;0.0033978687051936423;0.0067957374103872845;0.010193606115580928;0.013591474820774569,True,8,8,0;0.0035156250000000001;0.0070312500000000002;0.010546875000000001;0.013591474820774569,0;0.0035156250000000001;0.0070312500000000002;0.010546875000000001;0.013591474820774569,True,geometry_projection_only_no_runtime_monotonicity_claim
round39_small_easy_V12_M2_Q30_slot07_seed1210444511,0.020382503842219304,0.020382503842219304,False,0.020382503842219304,0.020382503842219304,0;0.0050956259605548261;0.010191251921109652;0.015286877881664478;0.020382503842219304,0;0.0050956259605548261;0.010191251921109652;0.015286877881664478;0.020382503842219304,True,7,7,0;0.007161458333333333;0.014322916666666666;0.020382503842219304,0;0.007161458333333333;0.014322916666666666;0.020382503842219304,True,geometry_projection_only_no_runtime_monotonicity_claim
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,0.021337006039780566,0.021337006039780566,False,0.021337006039780566,0.021337006039780566,0;0.0053342515099451416;0.010668503019890283;0.016002754529835427;0.021337006039780566,0;0.0053342515099451416;0.010668503019890283;0.016002754529835427;0.021337006039780566,True,7,7,0;0.007161458333333333;0.014322916666666666;0.021337006039780566,0;0.007161458333333333;0.014322916666666666;0.021337006039780566,True,geometry_projection_only_no_runtime_monotonicity_claim
round39_small_medium_V8_M1_Q20_slot01_seed244478273,0.2726456459420083,0.2726456459420083,False,0.2726456459420083,0.2726456459420083,0;0.068161411485502074;0.13632282297100415;0.20448423445650621;0.2726456459420083,0;0.068161411485502074;0.13632282297100415;0.20448423445650621;0.2726456459420083,True,3,3,0;0.109375;0.21875;0.2726456459420083,0;0.109375;0.21875;0.2726456459420083,True,geometry_projection_only_no_runtime_monotonicity_claim
round39_small_medium_V8_M2_Q20_slot02_seed890603285,0.06925116214905465,0.06925116214905465,False,0.06925116214905465,0.06925116214905465,0;0.017312790537263662;0.034625581074527324;0.05193837161179099;0.069251162149054649,0;0.017312790537263662;0.034625581074527324;0.05193837161179099;0.069251162149054649,True,5,5,0;0.02734375;0.0546875;0.069251162149054649,0;0.02734375;0.0546875;0.069251162149054649,True,geometry_projection_only_no_runtime_monotonicity_claim
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,0.023397909764811306,0.023397909764811306,False,0.023397909764811306,0.023397909764811306,0;0.0058494774412028265;0.011698954882405653;0.01754843232360848;0.023397909764811306,0;0.0058494774412028265;0.011698954882405653;0.01754843232360848;0.023397909764811306,True,7,7,0;0.0068359375;0.013671875;0.0205078125;0.023397909764811306,0;0.0068359375;0.013671875;0.0205078125;0.023397909764811306,True,geometry_projection_only_no_runtime_monotonicity_claim
round39_small_medium_V10_M1_Q20_slot04_seed1035775879,0.3169771781062932,0.3169771781062932,False,0.3169771781062932,0.3169771781062932,0;0.079244294526573306;0.15848858905314661;0.23773288357971992;0.31697717810629322,0;0.079244294526573306;0.15848858905314661;0.23773288357971992;0.31697717810629322,True,3,3,0;0.1125;0.22500000000000001;0.31697717810629322,0;0.1125;0.22500000000000001;0.31697717810629322,True,geometry_projection_only_no_runtime_monotonicity_claim
round39_small_medium_V10_M2_Q20_slot05_seed968549317,0.13561306168269485,0.13561306168269485,False,0.13561306168269485,0.13561306168269485,0;0.033903265420673713;0.067806530841347426;0.10170979626202115;0.13561306168269485,0;0.033903265420673713;0.067806530841347426;0.10170979626202115;0.13561306168269485,True,4,4,0;0.056250000000000001;0.1125;0.13561306168269485,0;0.056250000000000001;0.1125;0.13561306168269485,True,geometry_projection_only_no_runtime_monotonicity_claim
round39_small_medium_V10_M3_Q30_slot06_seed2147082032,0.05842218740424529,0.06482732335696341,True,0.06482732335696341,0.05842218740424529,0;0.016206830839240852;0.032413661678481705;0.048620492517722561;0.064827323356963409,0;0.014605546851061323;0.029211093702122645;0.043816640553183968;0.05842218740424529,False,5,5,0;0.028125000000000001;0.056250000000000001;0.064827323356963409,0;0.028125000000000001;0.056250000000000001;0.05842218740424529,True,geometry_projection_only_no_runtime_monotonicity_claim
