study,round_id,part,serial_order,run_id,instance_id,instance_sha256,diagnostic_role,smoke_subset,difficulty_stratum,V,M,Q,arm,coarse_start_policy,gurobi_presolve,process_cap_seconds,shutdown_margin_seconds,watchdog_seconds,one_thread,gurobi_seed,relative_gap,absolute_gap,selection_basis,mechanism_uses_historical_outcome,return_code,watchdog_timeout,total_process_seconds,hga_startup_seconds,exact_phase_seconds,objective,valid_lower_bound,verified_upper_bound,solver_work,solver_nodes,strict_certificate,certificate_class,original_problem_verifier_passed,gurobi_presolve_effective,status,backend_parameter_roundtrip_valid,initial_interval_count,initial_interval_widths,initial_lp_bounds,all_lp_widths,initial_model_sha256,native_target_sequence,split_lookahead_sequence,terminal_mip_sequence,closure_sequence,lp_optimize_count,partial_mip_optimize_count,terminal_mip_optimize_count,independent_integer_proof_jobs,lp_work,partial_mip_work,terminal_mip_work,split_count,requeue_count,final_leaf_count,reported_coarse_start_policy,exactness_passed,ub_geometry_policy,startup_verified_ub,reported_ub_geometry_policy,stable_root_upper,nested_dyadic_level,nested_dyadic_global_cell_count,nested_dyadic_reason,anchor_cell_indices,anchor_endpoints,active_initial_intervals,truncated_initial_interval_count,root_coverage_valid,geometry_sha256,initial_lp_model_sequence_sha256,controlling_leaf_sequence,controlling_leaf_sequence_sha256,geometry_contract_passed
part1_k1,40,1,9,k1__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__p_grb,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,29e0ca2c95ec2e061aa1cc524aaf6a41bf6c4a34355dca86df6966aa8a29b6b4,major_round39_medium_regression,False,small-medium,12,3,30,P-GRB,not_applicable,-1,10800.0,20,10980.0,True,0,7.709616552462928e-16,0.0,predeclared_round39_diagnostic_roles,False,0,False,934.6871832,0.0,934.6871832,0.04500155005562836,0.04500155005562832,0.04500155005562836,1607.9153648352515,145209.0,True,engineering_exact_original_problem_optimal,True,-1,optimal,True,0,,,,,,,,,0,0,1,1,0.0,0.0,1607.9153648352515,0,0,0,not_applicable,True,,,,,,,,,,,,,,,,,
part1_k1,40,1,10,k1__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__c6_hga_full_k4,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,29e0ca2c95ec2e061aa1cc524aaf6a41bf6c4a34355dca86df6966aa8a29b6b4,major_round39_medium_regression,False,small-medium,12,3,30,C6-HGA-FULL-K4,off,-1,10800.0,20,10980.0,True,0,1.3877309794433272e-14,0.0,predeclared_round39_diagnostic_roles,False,0,False,1911.4661885,2.167574,1909.2934072,0.04500155005562836,0.04500155005562773,0.04500155005562836,4373.077783569157,33322.0,True,engineering_exact_original_problem_optimal,True,-1,optimal,True,4,,L0|0|0.012367170653604861|0.028210692227058676|OPTIMAL|0.34282813574306203;L1|0.012367170653604861|0.024734341307209723|0.032852225758396171|OPTIMAL|0.35570539746263696;L2|0.024734341307209723|0.037101511960814584|0.037802754977028653|OPTIMAL|0.35142806136133503;L3|0.037101511960814584|0.049468682614419446|0.046945261960814583|OPTIMAL|0.39004241811584583,0.012367170653604861|0.012367170653604861|0.012367170653604861|0.0061835853268024307|0.0061835853268024307|0.0061835853268024307|0.0061835853268024307|0.012367170653604861|0.0061835853268024307|0.0061835853268024307|0.0030917926634012154|0.0030917926634012154|0.0030917926634012119|0.0030917926634012188,L0|9628d84ff2571fa2f61b90da9a03bf73263b0e9b1e00af8ef45f937076199229;L1|26a6debac7a61f58d7e3df62b25d82dd74b7aef107dceda6fa0bdcd14e5f74d6;L2|a72c109c73da54b3c8aeb600056bbbf0e638ff24e9bccec0a00417527622a8f3;L3|5dce3a83ca79a6d94b16a3288b71ebbaccf9d67f577d9157df5ff8aed83ff2d7,1|L0|next_leaf|0.028210692227058676|0.032852225758396171|target_reached_requeue|1.8940341770778961|1;1|L1|next_leaf|0.032852225758396171|0.032862773128212029|target_reached_requeue|1.7123860029054827|1;1|L2.0|next_leaf|0.039154805079827541|0.041957188086599047|target_reached_requeue|50.899135783303045|1287;1|L2.1|next_leaf|0.041957188086599047|0.041978974536311407|target_reached_requeue|1.3879431994968456|1,L0|0|current_child_gain_not_strict|0.02993232489654531|0|;L1|0|current_child_gain_not_strict|0.034528448501144372|0|;L2|1|current_normalized_child_gain_reaches_rho|0.039154805079827541|0.18781616757201625|;L2.0|0|current_child_gain_not_strict|0.039983404280085677|0|;L2.1|0|current_child_gain_not_strict|0.042296546395181697|0|,L0|INFEASIBLE|8.9760000705718994|18.003537296746337|184|9628d84ff2571fa2f61b90da9a03bf73263b0e9b1e00af8ef45f937076199229;L1|OPTIMAL|510.38299989700317|1189.8050043941787|13633|26a6debac7a61f58d7e3df62b25d82dd74b7aef107dceda6fa0bdcd14e5f74d6;L2.0|OPTIMAL|152.5530002117157|343.44171822470872|5759|d8aae9303502dd3f9e50caf909a3f2344b1699dc40f5a076ef4ca9d9994f1558;L2.1|INFEASIBLE|1206.2200000286102|2760.8319095312968|12456|c25e34a36deb7ee7e46e32e7eea08c36cebf7281d6d0f43333d1a2ae336c4b86,lp_bound_prune|L3|0.037101511960814584|0.049468682614419446|complete_lp_bound_ge_verified_cutoff_minus_tolerance,14,4,4,8,5.102114959443336,55.89349916278327,4312.0821694469305,1,4,5,off,True,,,,,,,,,,,,,,,,,
part1_k1,40,1,11,k1__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__c6_k1_single,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,29e0ca2c95ec2e061aa1cc524aaf6a41bf6c4a34355dca86df6966aa8a29b6b4,major_round39_medium_regression,False,small-medium,12,3,30,C6-K1-SINGLE,k1-single,-1,10800.0,20,10980.0,True,0,0.0,0.0,predeclared_round39_diagnostic_roles,False,0,False,1414.1596593,2.0796426,1412.0755831,0.04500155005562836,0.04500155005562837,0.04500155005562836,3052.419542372892,37107.0,True,engineering_exact_original_problem_optimal,True,-1,optimal,True,1,,L0|0|0.049468682614419446|0.020977495607439198|OPTIMAL|0.36591833126503104,0.049468682614419446,L0|30f435a99413755eb3351e459649149edbaef7bb592134b42404d487894ef946,,L0|false|structurally_terminal|||,L0|OPTIMAL|1411.5320000648499|3052.0536240416268|37107|30f435a99413755eb3351e459649149edbaef7bb592134b42404d487894ef946,,1,0,1,1,0.36591833126503104,0.0,3052.053624041627,0,0,1,k1-single,True,,,,,,,,,,,,,,,,,
part1_k1,40,1,12,k1__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__c6_k1_adaptive,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,29e0ca2c95ec2e061aa1cc524aaf6a41bf6c4a34355dca86df6966aa8a29b6b4,major_round39_medium_regression,False,small-medium,12,3,30,C6-K1-ADAPTIVE,k1-adaptive,-1,10800.0,20,10980.0,True,0,4.6257699314777576e-15,0.0,predeclared_round39_diagnostic_roles,False,0,False,1644.5807784,2.2586264,1642.3165196,0.04500155005562836,0.04500155005562815,0.04500155005562836,3650.2731346873443,38258.0,True,engineering_exact_original_problem_optimal,True,-1,optimal,True,1,,L0|0|0.049468682614419446|0.020977495607439198|OPTIMAL|0.36591833126503104,0.049468682614419446|0.024734341307209723|0.024734341307209723|0.012367170653604861|0.012367170653604861|0.012367170653604861|0.012367170653604861,L0|30f435a99413755eb3351e459649149edbaef7bb592134b42404d487894ef946,1|L0.0|next_leaf|0.024872307366954508|0.037649503710854168|target_reached_requeue|31.546687000965271|270;1|L0.1|next_leaf|0.037649503710854168|0.037885533381676995|target_reached_requeue|1.5930970663932773|1,L0|1|current_normalized_child_gain_reaches_rho|0.024872307366954508|0.13670233390279926|;L0.0|0|current_child_gain_not_strict|0.028210692227058676|0|;L0.1|0|current_child_gain_not_strict|0.037802754977028653|0|,L0.0|OPTIMAL|594.40000009536743|1278.9686858919156|15283|60cbc736afdf0fd2b55e25801b920c62339b514b9b0e4e0939387d020c6f6f6a;L0.1|OPTIMAL|1026.8600001335144|2335.6336201540294|22704|6761c60cd46972c67a5047dfd419a69e5c6fa25198bdb24cdccd0e8b031ab08f,,7,2,2,4,2.5310445740408496,33.13978406735855,3614.6023060459447,1,2,2,k1-adaptive,True,,,,,,,,,,,,,,,,,
part1_k1,40,1,3,k1_iterative__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__c6_k1_adaptive_decisive,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,29e0ca2c95ec2e061aa1cc524aaf6a41bf6c4a34355dca86df6966aa8a29b6b4,major_round39_medium_regression,False,small-medium,12,3,30,C6-K1-ADAPTIVE-DECISIVE,k1-adaptive-decisive,-1,10800.0,20,10980.0,True,0,0.0,0.0,frozen_round40_k1_panel_iteration_2,False,0,False,1332.2623796,2.0884679,1330.1687595,0.04500155005562836,0.04500155005562837,0.04500155005562836,3053.144664602985,37107.0,True,engineering_exact_original_problem_optimal,True,-1,optimal,True,1,,L0|0|0.049468682614419446|0.020977495607439198|OPTIMAL|0.36591833126503104,0.049468682614419446|0.024734341307209723|0.024734341307209723,L0|30f435a99413755eb3351e459649149edbaef7bb592134b42404d487894ef946,,L0|0|round40_nondecisive_child_evidence_close_parent|0.024872307366954508|0.13670233390279926|,L0|OPTIMAL|1328.981999874115|3052.0536240416268|37107|30f435a99413755eb3351e459649149edbaef7bb592134b42404d487894ef946,,3,0,1,1,1.09104056135797,0.0,3052.053624041627,0,0,1,k1-adaptive-decisive,True,,,,,,,,,,,,,,,,,
part1_k1,40,1,33,k1__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__p_grb,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,strong_round39_c6_positive_control,False,small-hard,12,3,30,P-GRB,not_applicable,-1,10800.0,20,10980.0,True,0,1.2356004071098407e-08,0.0,predeclared_round39_diagnostic_roles,False,0,False,6327.6113147,0.0,6327.6113147,0.506343307565206,0.506343301308826,0.506343307565206,10383.731286460352,4283241.0,True,engineering_exact_original_problem_optimal,True,-1,optimal,True,0,,,,,,,,,0,0,1,1,0.0,0.0,10383.731286460352,0,0,0,not_applicable,True,,,,,,,,,,,,,,,,,
part1_k1,40,1,34,k1__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__c6_hga_full_k4,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,strong_round39_c6_positive_control,False,small-hard,12,3,30,C6-HGA-FULL-K4,off,-1,10800.0,20,10980.0,True,0,3.0696806124470356e-15,0.0,predeclared_round39_diagnostic_roles,False,0,False,82.5178879,2.0445824,80.4681494,0.506343307565206,0.5063433075652044,0.506343307565206,133.73490192498448,7878.0,True,engineering_exact_original_problem_optimal,True,-1,optimal,True,4,,L0|0|0.12660569730604074|0.093948255393593263|OPTIMAL|0.40284897564279282;L1|0.12660569730604074|0.25321139461208148|0.1983636356358682|OPTIMAL|0.43246634656858651;L2|0.25321139461208148|0.37981709191812218|0.32496933294190877|OPTIMAL|0.49160000379376095;L3|0.37981709191812218|0.50642278922416295|0.45157503024794959|OPTIMAL|0.43013053201198487,0.12660569730604074|0.12660569730604074|0.12660569730604071|0.063302848653020355|0.063302848653020383|0.12660569730604077|0.063302848653020369|0.063302848653020369|0.063302848653020327|0.063302848653020383,L0|ac053c97a0779121c0a10bebbe165d3e8d93fe0342b68307b9b21706357a4c20;L1|50f0035b64e91a4a1d0758f86f2687087303ed47822b5a6e9b93f73ffc44d69d;L2|f0b4f929d05809045de8be29f146993690150dd5d87a110e6018e4f01cec1325;L3|f1ab8b17325793b249ae14d6e64c88a720a0cb6ee93eb6b649ace553b0ccb87e,1|L0|next_leaf|0.093948255393593263|0.12660569730604074|target_reached_requeue|1.8186212790287555|1;1|L1|next_leaf|0.1983636356358682|0.25321139461208148|target_reached_requeue|1.6846304592113037|1;1|L2|next_leaf|0.32496933294190877|0.36859147830827088|target_reached_requeue|1.550956100561506|1;1|L3|next_leaf|0.45157503024794959|0.48580624567635278|exact_closure|0.87354240545648221|1,L1|0|current_child_gain_not_strict|0.19836363563586817|0|;L0|0|current_child_gain_not_strict|0.094812110477775102|0|;L2|0|current_child_gain_not_strict|0.32496933294190883|0|,L1|OPTIMAL|67.238999843597412|113.09683679810325|7678|50f0035b64e91a4a1d0758f86f2687087303ed47822b5a6e9b93f73ffc44d69d;L0|INFEASIBLE|0.63700008392333984|1.3953949329102664|1|ac053c97a0779121c0a10bebbe165d3e8d93fe0342b68307b9b21706357a4c20;L2|INFEASIBLE|4.9520001411437988|8.8110402496158908|195|f0b4f929d05809045de8be29f146993690150dd5d87a110e6018e4f01cec1325,,10,4,3,7,4.503879700097041,5.927750244258047,123.3032719806294,0,3,4,off,True,,,,,,,,,,,,,,,,,
part1_k1,40,1,35,k1__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__c6_k1_single,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,strong_round39_c6_positive_control,False,small-hard,12,3,30,C6-K1-SINGLE,k1-single,-1,10800.0,20,10980.0,True,0,4.0828682536125e-08,0.0,predeclared_round39_diagnostic_roles,False,0,False,432.4003684,2.0302653,430.3639507,0.506343307565206,0.5063432868918758,0.506343307565206,739.7839003001452,24652.0,True,engineering_exact_original_problem_optimal,True,-1,optimal,True,1,,L0|0|0.50642278922416295|0.093948255393593263|OPTIMAL|0.39589217087371414,0.50642278922416295,L0|b676d66df7da22169dffb846698809df0caf0993da1219d3f2b620e17d77875b,,L0|false|structurally_terminal|||,L0|OPTIMAL|429.89400005340576|739.3880081292715|24652|b676d66df7da22169dffb846698809df0caf0993da1219d3f2b620e17d77875b,,1,0,1,1,0.39589217087371414,0.0,739.3880081292715,0,0,1,k1-single,True,,,,,,,,,,,,,,,,,
part1_k1,40,1,36,k1__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__c6_k1_adaptive,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,strong_round39_c6_positive_control,False,small-hard,12,3,30,C6-K1-ADAPTIVE,k1-adaptive,-1,10800.0,20,10980.0,True,0,4.0828682536125e-08,0.0,predeclared_round39_diagnostic_roles,False,0,False,431.5390163,2.0334817,429.50008760000003,0.506343307565206,0.5063432868918758,0.506343307565206,740.6340681077912,24652.0,True,engineering_exact_original_problem_optimal,True,-1,optimal,True,1,,L0|0|0.50642278922416295|0.093948255393593263|OPTIMAL|0.39589217087371414,0.50642278922416295|0.25321139461208148|0.25321139461208148,L0|b676d66df7da22169dffb846698809df0caf0993da1219d3f2b620e17d77875b,,L0|0|current_child_gain_not_strict|0.093948255393593263|0|,L0|OPTIMAL|428.06499981880188|739.3880081292715|24652|b676d66df7da22169dffb846698809df0caf0993da1219d3f2b620e17d77875b,,3,0,1,1,1.2460599785197581,0.0,739.3880081292715,0,0,1,k1-adaptive,True,,,,,,,,,,,,,,,,,
part1_k1,40,1,9,k1_iterative__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__c6_k1_adaptive_decisive,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,strong_round39_c6_positive_control,False,small-hard,12,3,30,C6-K1-ADAPTIVE-DECISIVE,k1-adaptive-decisive,-1,10800.0,20,10980.0,True,0,4.0828682536125e-08,0.0,frozen_round40_k1_panel_iteration_2,False,0,False,432.3282312,2.0251906,430.2964777,0.506343307565206,0.5063432868918758,0.506343307565206,740.6340681077912,24652.0,True,engineering_exact_original_problem_optimal,True,-1,optimal,True,1,,L0|0|0.50642278922416295|0.093948255393593263|OPTIMAL|0.39589217087371414,0.50642278922416295|0.25321139461208148|0.25321139461208148,L0|b676d66df7da22169dffb846698809df0caf0993da1219d3f2b620e17d77875b,,L0|0|round40_nondecisive_child_evidence_close_parent|0.093948255393593263|0|,L0|OPTIMAL|429.03299999237061|739.3880081292715|24652|b676d66df7da22169dffb846698809df0caf0993da1219d3f2b620e17d77875b,,3,0,1,1,1.2460599785197581,0.0,739.3880081292715,0,0,1,k1-adaptive-decisive,True,,,,,,,,,,,,,,,,,
