study,run_id,instance_id,difficulty_stratum,arm,process_seconds,solver_work,solver_nodes,initial_interval_count,independent_integer_proof_jobs,split_count,strict_certificate,exactness_passed
part1_k1,k1__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__p_grb,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,small-easy,P-GRB,0.0505268,0.02713133726856121,1.0,0,1,0,True,True
part1_k1,k1__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__c6_hga_full_k4,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,small-easy,C6-HGA-FULL-K4,2.4657144,0.0,0.0,4,0,0,True,True
part1_k1,k1__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__c6_k1_single,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,small-easy,C6-K1-SINGLE,2.4420041,0.0,0.0,1,0,0,True,True
part1_k1,k1__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__c6_k1_adaptive,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,small-easy,C6-K1-ADAPTIVE,2.4375562,0.0,0.0,1,0,0,True,True
part1_k1,k1__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__p_grb,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,small-easy,P-GRB,1.6591912,2.080721906744143,1086.0,0,1,0,True,True
part1_k1,k1__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__c6_hga_full_k4,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,small-easy,C6-HGA-FULL-K4,30.1220781,47.3035471806965,146.0,4,7,1,True,True
part1_k1,k1__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__c6_k1_single,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,small-easy,C6-K1-SINGLE,17.3853921,26.92093860322223,43.0,1,1,0,True,True
part1_k1,k1__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__c6_k1_adaptive,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,small-easy,C6-K1-ADAPTIVE,22.0393739,31.69166292110626,88.0,1,4,2,True,True
part1_k1,k1__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__p_grb,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,small-medium,P-GRB,934.6871832,1607.9153648352515,145209.0,0,1,0,True,True
part1_k1,k1__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__c6_hga_full_k4,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,small-medium,C6-HGA-FULL-K4,1911.4661885,4373.077783569157,33322.0,4,8,1,True,True
