instance_id,diagnostic_role,candidate,k4_seconds,candidate_seconds,candidate_over_k4_time_ratio,k4_work,candidate_work,candidate_over_k4_work_ratio,k4_integer_jobs,candidate_integer_jobs,k4_terminal_work,candidate_terminal_work,k4_split_count,candidate_split_count,same_objective,both_exact,expected_unresolved
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,round39_easy_p_grb_win,C6-K1-SINGLE,2.4657144,2.4420041,0.9903840039219466,0.0,0.0,1.0,0,0,0.0,0.0,0,0,True,True,False
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,round39_easy_p_grb_win,C6-K1-ADAPTIVE,2.4657144,2.4375562,0.9885801048166811,0.0,0.0,1.0,0,0,0.0,0.0,0,0,True,True,False
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,round39_easy_p_grb_win,C6-K1-ADAPTIVE-DECISIVE,2.4657144,2.4538474,0.9951871960515783,0.0,0.0,1.0,0,0,0.0,0.0,0,0,True,True,False
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,round39_easy_p_grb_win_largest_easy,C6-K1-SINGLE,30.1220781,17.3853921,0.5771644320914233,47.3035471806965,26.92093860322223,0.5691103565740214,7,1,22.641257191025698,26.583136578401216,1,0,True,True,False
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,round39_easy_p_grb_win_largest_easy,C6-K1-ADAPTIVE,30.1220781,22.0393739,0.7316684402328802,47.3035471806965,31.69166292110626,0.6699637724850983,7,4,22.641257191025698,24.531121647925687,1,2,True,True,False
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,round39_easy_p_grb_win_largest_easy,C6-K1-ADAPTIVE-DECISIVE,30.1220781,18.0451394,0.5990668817766593,47.3035471806965,27.71145439194351,0.5858219106928184,7,1,22.641257191025698,26.583136578401216,1,0,True,True,False
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,major_round39_medium_regression,C6-K1-SINGLE,1911.4661885,1414.1596593,0.7398298059406139,4373.077783569157,3052.419542372892,0.6980025724311748,8,1,4312.0821694469305,3052.053624041627,1,0,True,True,False
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,major_round39_medium_regression,C6-K1-ADAPTIVE,1911.4661885,1644.5807784,0.8603765990182463,4373.077783569157,3650.2731346873443,0.8347148885396948,8,4,4312.0821694469305,3614.6023060459447,1,1,True,True,False
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,major_round39_medium_regression,C6-K1-ADAPTIVE-DECISIVE,1911.4661885,1332.2623796,0.6969845386830916,4373.077783569157,3053.144664602985,0.6981683875083311,8,1,4312.0821694469305,3052.053624041627,1,0,True,True,False
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,additional_medium_c6_win,C6-K1-SINGLE,3.8686028,2.7520499,0.7113808375468269,3.407074912530055,2.2719420251745115,0.6668306636930954,6,1,1.8790767224958826,2.235030638017564,1,0,True,True,False
