instance_id,difficulty_stratum,baseline_seconds,candidate_seconds,candidate_over_baseline_time_ratio,baseline_work,candidate_work,candidate_over_baseline_work_ratio,baseline_nodes,candidate_nodes,baseline_initial_intervals,candidate_initial_intervals,baseline_integer_jobs,candidate_integer_jobs,baseline_geometry_sha256,candidate_geometry_sha256,geometry_changed,same_objective,both_exact,expected_unresolved,baseline_outcome_accepted,candidate_outcome_accepted,candidate_improved_endpoint_certificate
round39_small_easy_V8_M1_Q30_slot01_seed432322553,small-easy,3.4404131,3.4898432,1.0143674897645287,0.3908992764865721,0.3531528750353934,0.9034370137738658,8.0,29.0,4,4,5,4,44e49214e7b4a7cfbb8d5db7db40bf36425736d4460f2b486db72557430acd6d,b78e8c4fed99fdd1a749bb6ec8cf422b6ca5e572b1c756a9c414c4e944f8aaac,True,True,True,False,True,True,False
round39_small_easy_V8_M2_Q20_slot02_seed944712007,small-easy,3.1988087,3.7344193,1.1674406475135573,0.8696625354401063,1.1642745345376158,1.338765885721887,28.0,37.0,4,4,5,6,b9787dc414e54fb2f452f5f33991d1c6f5e2bb1f3a288e1ac3e5d51e34746094,287509280380911006442f4d9bacbda1d41e1f35f6b0782fee89963ad3749088,True,True,True,False,True,True,False
round39_small_easy_V8_M2_Q30_slot03_seed1019524729,small-easy,2.945699,2.3793106,0.8077235997296398,0.3414208347308303,0.11590920150633688,0.3394907097503803,1.0,0.0,4,4,6,3,7f32855c5b6032b6294e96f47aa7ef5e2ad11673281c9a83e89835bb1f3e9f23,05b4509a3cc43eb5ce0a2beb12f3ff0218e658e5d55ece4a7a1f799a61363bbd,True,True,True,False,True,True,False
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,small-easy,2.570464,2.5659777,0.9982546730862599,0.0,0.0,1.0,0.0,0.0,4,1,0,0,af609c8aa7d94bb0669928810852e22fa5fd4087c862bb929923040722b8addc,510024b14bdaa4ba1027de2bd833235a1060ce4205a197ae1ba5891553abe5cf,True,True,True,False,True,True,False
round39_small_easy_V10_M2_Q30_slot05_seed332426708,small-easy,6.8158432,5.1328145,0.7530710947106296,2.4226676298664764,1.093855671752415,0.45150876590228023,15.0,91.0,4,3,8,3,543e04dadfbc1255e0dd92dc3140720e309bf2d37bba4865d58c2e7599e4087f,650986b433b113dbe9870e52c70cbb2a7152d362fcdb90de86f1950274150772,True,True,True,False,True,True,False
round39_small_easy_V10_M3_Q20_slot06_seed1178207568,small-easy,6.6651386,7.65428,1.1484052259618427,3.3447293532894102,4.008793705291582,1.1985405340342683,87.0,73.0,4,4,6,6,b3a30369f5fc2fe9c2be8715e3101211bbbb03fb14aa81a02db0df3410de81e0,5df63cdabfd9f47c84ea2060ede0047913ca12d9fdbc2a8b8db0b1e33486757e,True,True,True,False,True,True,False
round39_small_easy_V12_M2_Q30_slot07_seed1210444511,small-easy,11.7622665,16.5898955,1.410433567374111,9.380035587911921,15.683780175838013,1.6720384511173652,73.0,213.0,4,3,4,5,e7e7265cb6dc283cfc25b23a08f02b6d0e337c271a45092b2d45d7d538324cfd,c1d7717f99871796d1442043caf3ed37a07d54c886677ac8244d3f1f5a1cd190,True,True,True,False,True,True,False
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,small-easy,31.7739748,33.8765489,1.0661728384073623,47.3035471806965,49.93908355861607,1.0557154068774588,146.0,69.0,4,3,7,8,07a51eda303b9ebdb23cb4ff600006e8489edb084428b307cd09b9c1eb1d6a0b,79a6381976ac1de96a26f7b6d5eb548b546859c90bb01f1ff227f366a7c9806c,True,True,True,False,True,True,False
round39_small_medium_V8_M1_Q20_slot01_seed244478273,small-medium,1.721119,1.9107031,1.1101516513384606,0.740659965783762,0.9880236565158633,1.3339774014521528,23.0,57.0,4,3,6,5,f4c77d722bbc913bbcdd43fdf55a94d2b9f215db79f7a9d0daad096e48b2b782,bfabe6922257c87f1e1f58be258429278f5d56988a721abfa11331f2a3ec01e2,True,True,True,False,True,True,False
round39_small_medium_V8_M2_Q20_slot02_seed890603285,small-medium,12.9856524,15.1071088,1.1633692582130106,14.858987962360878,17.59402902509822,1.1840664431296022,7393.0,6546.0,4,3,7,5,bd85f3daf1b3f97818133dd237a2767881691ec58363485fbbda9b4876236831,83608d13231a695853b39f668867a515ff29f5825d15d830e18f581ddf6e3342,True,True,True,False,True,True,False
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,small-medium,3.9522238,3.8994683,0.9866516921435472,3.407074912530055,3.506244269174826,1.0291068905705771,241.0,634.0,4,4,6,5,d51a0383d614630cbd05f2a763265a2f711428ba47f32b8813f430633aa9d4ee,83e075039ece8738c970e7a3006ad2d5aae95f442f056ce53adecc59f68fea94,True,True,True,False,True,True,False
round39_small_medium_V10_M1_Q20_slot04_seed1035775879,small-medium,4.3604312,4.3166746,0.9899650750136821,3.2562245050146514,3.4910427016120873,1.072113638428742,56.0,166.0,4,3,7,5,6fa2cff7b4bdd3c342124c1b8f8e2a32777d2253a2a6d0267749de0eda621d40,368ad84fb735e5eb80fa62c1267abf288deaf3c40bbcbef330c29bb6ca5fff56,True,True,True,False,True,True,False
round39_small_medium_V10_M2_Q20_slot05_seed968549317,small-medium,67.9758402,34.6272878,0.5094058079770525,109.91515934198168,54.09018033653575,0.4921084649319724,6507.0,4505.0,4,3,7,4,0b56336569a14896ec7802ac2a11ea09f1a666da6c1b37950596f5f5138960d0,00904f5845e71abbdc2ed8c3134fa888185c8de2fb19cd19857b6c6877059146,True,True,True,False,True,True,False
round39_small_medium_V10_M3_Q30_slot06_seed2147082032,small-medium,56.9287866,33.797389,0.5936783658761489,84.92954014505797,49.04320802633425,0.5774575953498562,6373.0,5472.0,4,3,8,5,f557bf90cf37cc665bc40226e67295438a83eec0caf7334cad4774cad8dde9a9,416dd9d20028f3537773640edea2d83a39d0feb0f753095d78489ec92671415f,True,True,True,False,True,True,False
round39_small_medium_V12_M1_Q30_slot07_seed907224013,small-medium,10.9090825,10.9841419,1.0068804503036803,11.212953219085438,10.078602017261879,0.8988356430585305,138.0,237.0,4,3,8,4,9d53c1ffca57acddaaa99fdbae5ae2d99e49b6c294f461b85fd0fd1fe5c7d1e0,fe4b84876694ed94ba983382a3871c42fceebc43318a8125619785bc5d1429d9,True,True,True,False,True,True,False
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,small-medium,2077.631002,2252.9172511,1.0843683257186976,4373.077783569157,4669.518500901572,1.0677876616890336,33322.0,41202.0,4,4,8,6,d9034c3f278bb39f85b83e189e04c9b8830e099f8d6836d79c885f7a1eb10f37,01ff74be1a5ffd2a7757f02d3ad9508276dd2541f807800a4651167553ef323b,True,True,True,False,True,True,False
round39_small_hard_V10_M1_Q20_slot01_seed561355351,small-hard,1.9621615,2.1881924,1.1151948501690612,0.989274344317732,1.0988589800638315,1.1107727460795278,2.0,2.0,4,4,3,3,6f947fa632ed31c7e510e217e7e61098a63d365e1350cc8049a74383abae2950,6b8fa503db852a403c8a91c27a1a49382bca0f2647b848a10d326d8d00e3c130,True,True,True,False,True,True,False
