run_id,instance,arm,flow_variant,checkpoint_seconds,status,observation_elapsed_seconds,lower_bound,upper_bound,gap,nodes,open_nodes,simplex_iterations,event_source,observation_source,not_observed_reason
stage4__V12_M2__f3__3600s,V12_M2,F3,normalized-start-coupled,30,observed,3.5459002,0.37822168614483404,0.7185040707549709,0.3402823846101369,0,1,3069,global_progress,global_bound_trajectory,
stage4__V12_M2__f3__3600s,V12_M2,F3,normalized-start-coupled,60,observed,3.5459002,0.37822168614483404,0.7185040707549709,0.3402823846101369,0,1,3069,global_progress,global_bound_trajectory,
stage4__V12_M2__f3__3600s,V12_M2,F3,normalized-start-coupled,120,observed,3.5459002,0.37822168614483404,0.7185040707549709,0.3402823846101369,0,1,3069,global_progress,global_bound_trajectory,
stage4__V12_M2__f3__3600s,V12_M2,F3,normalized-start-coupled,300,observed,3.5459002,0.37822168614483404,0.7185040707549709,0.3402823846101369,0,1,3069,global_progress,global_bound_trajectory,
stage4__V12_M2__f3__3600s,V12_M2,F3,normalized-start-coupled,600,observed,3.5459002,0.37822168614483404,0.7185040707549709,0.3402823846101369,0,1,3069,global_progress,global_bound_trajectory,
stage4__V12_M2__f3__3600s,V12_M2,F3,normalized-start-coupled,900,observed,701.4377435,0.7185040707549712,0.7185040707549709,0.0,73175,0,4650388,solver_final,full_precision_final_json,
stage4__V12_M2__f3__3600s,V12_M2,F3,normalized-start-coupled,1200,observed,701.4377435,0.7185040707549712,0.7185040707549709,0.0,73175,0,4650388,solver_final,full_precision_final_json,
stage4__V12_M2__f3__3600s,V12_M2,F3,normalized-start-coupled,1800,observed,701.4377435,0.7185040707549712,0.7185040707549709,0.0,73175,0,4650388,solver_final,full_precision_final_json,
stage4__V12_M2__f3__3600s,V12_M2,F3,normalized-start-coupled,2400,observed,701.4377435,0.7185040707549712,0.7185040707549709,0.0,73175,0,4650388,solver_final,full_precision_final_json,
stage4__V12_M2__f3__3600s,V12_M2,F3,normalized-start-coupled,3000,observed,701.4377435,0.7185040707549712,0.7185040707549709,0.0,73175,0,4650388,solver_final,full_precision_final_json,
stage4__V12_M2__f3__3600s,V12_M2,F3,normalized-start-coupled,3600,observed,701.4377435,0.7185040707549712,0.7185040707549709,0.0,73175,0,4650388,solver_final,full_precision_final_json,
