row,instance,instance_scope,method,status,objective,lower_bound,upper_bound,gap,runtime_seconds,certified_original_problem,verifier_passed,unresolved_intervals,invalid_bound_intervals,open_nodes,frontier_covers_all_improving_gini_values,frontier_range_certificate_scope,full_certificate_basis,route_mask_all_subset_enumeration_certifying,large_compact_flow_relaxation,interval_exact_cutoff_certificate_basis,interval_exact_cutoff_solver_status,result_file
v4_smoke_30s,gcap_smoke_V4_M1.txt,smoke,gcap-frontier,optimal,0,0,0,0,0.9314349,True,True,0,0,0,True,original_full_improving_range,zero_objective_nonnegative,True,off,,,E:\codes\ExactEBRP\results\v20_exact_certificate_round\raw\v4_smoke_30s.json
v12_m2_canonical_300s,regen_candidate_V12_M2_average.txt,regenerated_engineering,gcap-frontier,optimal,0.718504070755,0.718504070755,0.718504070755,0,207.5435619,True,True,0,0,0,True,original_full_improving_range,frontier_all_intervals_closed_or_fathomed,True,off,,,E:\codes\ExactEBRP\results\v20_exact_certificate_round\raw\v12_m2_canonical_300s.json
v12_m1_diagnostic_300s,regen_candidate_V12_M1_average.txt,regenerated_engineering,gcap-frontier,gcap_frontier_not_closed,0.357200583208,0.332675660948,0.357200583208,0.0686586848205,300.3662868,False,True,1,0,1,True,original_full_improving_range,not_certified,True,off,,,E:\codes\ExactEBRP\results\v20_exact_certificate_round\raw\v12_m1_diagnostic_300s.json
v12_m1_600s,regen_candidate_V12_M1_average.txt,regenerated_engineering,gcap-frontier,optimal,0.357200583208,0.357200583208,0.357200583208,0,473.4937565,True,True,0,0,0,True,original_full_improving_range,frontier_all_intervals_closed_or_fathomed,True,off,,,E:\codes\ExactEBRP\results\v20_exact_certificate_round\raw\v12_m1_600s.json
