source,instance_name,method,status,method_scope,solves_original_objective,is_bpc,certified_original_problem,verifier_passed,gap,unresolved_intervals,invalid_bound_intervals,open_nodes,audit_passed,failure_count,failures,warnings
results\v20_exact_certificate_round\raw\certificate_basis_test.json,gcap_smoke_V4_M1.txt,certificate-basis-test,diagnostic_passed,diagnostic,False,False,False,True,1.0,0,0,0,True,0,,
results\v20_exact_certificate_round\raw\high_imbalance_seed3202_reproduced_baseline.json,high_imbalance_seed3202.txt,gcap-frontier,optimal,original_bpc,True,True,True,True,0.0,0,0,0,True,0,,
results\v20_exact_certificate_round\raw\interval_oracle_13_0p554166666667_0p573958333333.json,high_imbalance_seed3202.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.315201554018,0,0,0,True,0,,
results\v20_exact_certificate_round\raw\interval_oracle_18_0p534375_0p554166666667.json,high_imbalance_seed3202.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.325943924333,0,0,0,True,0,,
results\v20_exact_certificate_round\raw\interval_oracle_19_0p514583333333_0p524479166667.json,high_imbalance_seed3202.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.331641410789,0,0,0,True,0,,
results\v20_exact_certificate_round\raw\interval_oracle_20_0p524479166667_0p534375.json,high_imbalance_seed3202.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.330663083378,0,0,0,True,0,,
results\v20_exact_certificate_round\raw\option_consistency_test.json,gcap_smoke_V4_M1.txt,option-consistency-test,diagnostic_complete,diagnostic,False,False,False,True,1.0,0,0,0,True,0,,
results\v20_exact_certificate_round\raw\smoke_interval_13_oracle.json,high_imbalance_seed3202.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.317767010423,0,0,0,True,0,,
results\v20_exact_certificate_round\raw\v12_m1_600s.json,regen_candidate_V12_M1_average.txt,gcap-frontier,optimal,original_bpc,True,True,True,True,0.0,0,0,0,True,0,,
results\v20_exact_certificate_round\raw\v12_m1_diagnostic_300s.json,regen_candidate_V12_M1_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.0686586848205,1,0,1,True,0,,
results\v20_exact_certificate_round\raw\v12_m2_canonical_300s.json,regen_candidate_V12_M2_average.txt,gcap-frontier,optimal,original_bpc,True,True,True,True,0.0,0,0,0,True,0,,
results\v20_exact_certificate_round\raw\v4_smoke_30s.json,gcap_smoke_V4_M1.txt,gcap-frontier,optimal,original_bpc,True,True,True,True,0.0,0,0,0,True,0,,
