file,method,algorithm_preset,status,certified_original_problem,verifier_passed,thread_fairness_class,audit_passed,failures
results\gf_tailored_bc_structural_cut_round\raw\dominant_k4_high_imbalance_seed3201_hard_all_new_structural_cuts_300s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_closed,False,False,one_thread_fair,True,
results\gf_tailored_bc_structural_cut_round\raw\dominant_k4_high_imbalance_seed3201_hard_all_new_structural_cuts_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_closed,False,False,one_thread_fair,True,
results\gf_tailored_bc_structural_cut_round\raw\dominant_k4_low_gini_1_all_new_structural_cuts_10s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_tailored_bc_structural_cut_round\raw\dominant_k4_low_gini_1_all_new_structural_cuts_300s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_tailored_bc_structural_cut_round\raw\dominant_k4_low_gini_1_all_new_structural_cuts_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_tailored_bc_structural_cut_round\raw\dominant_k4_low_gini_1_current_best_new_combined_paper_safe_300s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_tailored_bc_structural_cut_round\raw\dominant_k4_low_gini_1_current_best_new_combined_paper_safe_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_tailored_bc_structural_cut_round\raw\dominant_k4_low_gini_1_disaggregated_sp_estimator_300s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_tailored_bc_structural_cut_round\raw\dominant_k4_low_gini_1_disaggregated_sp_estimator_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_tailored_bc_structural_cut_round\raw\dominant_k4_low_gini_1_gs_plus_disagg_sp_300s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_tailored_bc_structural_cut_round\raw\dominant_k4_low_gini_1_gs_plus_disagg_sp_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_tailored_bc_structural_cut_round\raw\dominant_k4_low_gini_1_gs_product_coupling_300s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_tailored_bc_structural_cut_round\raw\dominant_k4_low_gini_1_gs_product_coupling_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_tailored_bc_structural_cut_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_10s.json,interval-cutoff-oracle,custom,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_tailored_bc_structural_cut_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_300s.json,interval-cutoff-oracle,custom,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_tailored_bc_structural_cut_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_60s.json,interval-cutoff-oracle,custom,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_tailored_bc_structural_cut_round\raw\dominant_k4_low_gini_1_static_tailored_compact_bc_10s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_tailored_bc_structural_cut_round\raw\dominant_k4_low_gini_1_static_tailored_compact_bc_300s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_tailored_bc_structural_cut_round\raw\dominant_k4_low_gini_1_static_tailored_compact_bc_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_tailored_bc_structural_cut_round\raw\dominant_k4_low_gini_1_vector_route_structural_300s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_tailored_bc_structural_cut_round\raw\dominant_k4_low_gini_1_vector_route_structural_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_tailored_bc_structural_cut_round\raw\dominant_k4_low_gini_2_all_new_structural_cuts_300s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_tailored_bc_structural_cut_round\raw\dominant_k4_low_gini_2_all_new_structural_cuts_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_tailored_bc_structural_cut_round\raw\dominant_k4_tight_T_seed3102_hard_all_new_structural_cuts_300s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_closed,False,False,one_thread_fair,True,
results\gf_tailored_bc_structural_cut_round\raw\dominant_k4_tight_T_seed3102_hard_all_new_structural_cuts_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_closed,False,False,one_thread_fair,True,
