variant,budget_seconds,lower_bound,gap_to_cutoff,gs_product_coupling,disaggregated_sp_estimator,vector_support_cover,vector_route_cutset
static_tailored_compact_bc,300,0.048388162834,0.0007643898306999991,0,0,0,0
gs_product_coupling,300,0.0487181971446,0.0004343555200999952,5,0,0,0
disaggregated_sp_estimator,300,0.048388162834,0.0007643898306999991,0,81,0,0
vector_route_structural,300,0.0429769807153,0.006175571949400001,0,0,0,11400
gs_plus_disagg_sp,300,0.048388162834,0.0007643898306999991,5,81,0,0
all_new_structural_cuts,300,0.0440671889108,0.0050853637539000004,5,81,0,11400
current_best_new_combined_paper_safe,300,0.044109402111,0.005043150553699999,5,81,0,11400
plain_fixed_interval_mip,300,0.045508251143,0.0036443015216999983,0,0,0,0
all_new_structural_cuts,300,0.048374510694,0.0007780419706999997,5,81,0,11400
all_new_structural_cuts,300,2.44340319194,0.0,5,81,0,11400
all_new_structural_cuts,300,0.600704436685,0.0,5,81,0,11400
